match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_sofascoreId,stat_goalAssist,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_keyPass,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,player_firstName,player_lastName,stat_totalCross,stat_unsuccessfulTouch,stat_goals,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_bigChanceMissed,stat_totalOffside,stat_punches,stat_outfielderBlock,stat_penaltyWon
10433933,home,Fenerbahçe,İrfan Can Eğribayat,irfan-can-egribayat,İ. C. Eğribayat,G,71,193,1983,M,594618,EUR,891216000,G,70,70,False,35.0,25.0,16.0,7.0,22.0,27.0,3.0,8.0,1.0,1.0,10.0,1.0,2.0,1.0,4.0,90.0,45.0,7.2,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433933,home,Fenerbahçe,Ferdi Kadıoğlu,ferdi-kadioglu,F. Kadıoğlu,D,24,174,20994,M,825844,EUR,939254400,D,7,7,False,81.0,71.0,7.0,6.0,39.0,46.0,32.0,35.0,1.0,9.0,10.0,,,,,90.0,103.0,7.0,10.0,0,ferdikadioglu,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,
10433933,home,Fenerbahçe,Samet Akaydın,samet-akaydin,S. Akaydın,D,3,190,969,M,863600,EUR,763516800,D,3,3,False,53.0,48.0,4.0,4.0,37.0,41.0,11.0,12.0,4.0,6.0,8.0,,,,,90.0,66.0,7.2,5.0,2,,,3.0,3.0,,,,2.0,1.0,,,,,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,
10433933,home,Fenerbahçe,Attila Szalai,attila-szalai,A. Szalai,D,41,192,2464,M,823092,EUR,885254400,D,41,41,False,42.0,39.0,3.0,3.0,32.0,34.0,7.0,9.0,2.0,3.0,4.0,,,,,90.0,49.0,6.6,6.0,0,,,,2.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,
10433933,home,Fenerbahçe,Luan Peres,luan-peres,L. Peres,D,14,190,1198,M,842098,EUR,774576000,D,28,28,False,84.0,70.0,18.0,10.0,44.0,48.0,26.0,36.0,1.0,6.0,5.0,,,,,90.0,103.0,7.7,17.0,1,,,,2.0,1.0,1.0,,4.0,2.0,,1.0,,,1.0,,4.0,1.0,,,,,1.0,,,,,,,,,
10433933,home,Fenerbahçe,Arda Güler,arda-guler,A. Güler,M,15,176,398152,M,1091116,EUR,1109289600,M,10,10,False,58.0,42.0,7.0,5.0,17.0,20.0,28.0,47.0,,10.0,9.0,,,,,90.0,94.0,7.8,31.0,2,AGüler,1.0,1.0,10.0,4.0,5.0,2.0,4.0,4.0,,4.0,1.0,4.0,1.0,,,1.0,Arda Guler,,9.0,5.0,,3.0,1.0,1.0,1.0,,,,,
10433933,home,Fenerbahçe,Willian Arão,willian-arao,Willian Arão,M,15,181,1888,M,242213,EUR,700358400,M,5,5,False,37.0,32.0,3.0,1.0,15.0,17.0,17.0,20.0,4.0,7.0,4.0,,,,,82.0,44.0,6.8,6.0,0,,,,2.0,2.0,,,3.0,3.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,
10433933,home,Fenerbahçe,Miha Zajc,miha-zajc,M. Zajc,M,8,180,1173,M,139256,EUR,773020800,M,26,26,False,39.0,35.0,,,20.0,21.0,16.0,19.0,1.0,3.0,5.0,,,,,72.0,48.0,7.2,7.0,0,,1.0,,3.0,,4.0,2.0,,,,,,2.0,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,
10433933,home,Fenerbahçe,Diego Rossi,diego-rossi,D. Rossi,F,10,170,1997,M,831809,EUR,894153600,M,9,9,False,32.0,25.0,,,9.0,9.0,17.0,25.0,2.0,8.0,7.0,,,,,89.0,52.0,6.9,13.0,1,,,1.0,6.0,1.0,4.0,4.0,,,,2.0,1.0,2.0,,,1.0,,,,2.0,1.0,,1.0,3.0,,1.0,,,,,
10433933,home,Fenerbahçe,Enner Valencia,enner-valencia,E. Valencia,F,10,177,9801,M,106456,EUR,626140800,F,13,13,False,16.0,15.0,,,7.0,8.0,8.0,9.0,,6.0,4.0,,,,,72.0,36.0,7.5,9.0,4,ennervalencia,,2.0,6.0,3.0,6.0,5.0,1.0,1.0,,,1.0,,2.0,1.0,,2.0,,,1.0,6.0,1.0,,,,1.0,1.0,,,,
