match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_expectedGoals,stat_challengeLost,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_totalOffside,stat_goals,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot,stat_accurateCross
12437495,home,Sevilla,Ørjan Nyland,,,orjan-nyland,Ø. Nyland,G,13,192,1050,M,22209,EUR,652924800,G,13,13,False,27.0,11.0,20.0,4.0,0.0,7.0,9.0,4.0,18.0,2.0,2.0,1.0,10.0,2.0,3.0,1.0,90.0,41.0,7.2,17.0,0.00090421,0,0.4907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437495,home,Sevilla,Juanlu Sánchez,,,juanlu-sanchez,J. Sánchez,M,16,186,1123,M,1010655,EUR,1060905600,D,26,26,False,38.0,33.0,3.0,2.0,0.0,12.0,14.0,21.0,28.0,,12.0,2.0,3.0,2.0,,,90.0,70.0,8.6,12.0,0.0941956,0,,4.0,2.0,2.0,2.0,2.0,1.0,8.0,4.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
12437495,home,Sevilla,Loïc Badé,,,loic-bade,L. Badé,D,5,191,3177,M,1006489,EUR,955411200,D,22,22,False,37.0,30.0,7.0,4.0,0.0,18.0,18.0,12.0,19.0,2.0,7.0,8.0,3.0,1.0,,,90.0,57.0,7.7,8.0,0.00682064,0,,,4.0,,,2.0,,4.0,2.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,
12437495,home,Sevilla,Kike Salas,,,kike-salas,K. Salas,D,4,186,890,M,1097719,EUR,1019433600,D,4,4,False,22.0,17.0,4.0,,0.0,15.0,15.0,2.0,7.0,1.0,2.0,2.0,3.0,,,,44.0,29.0,6.6,7.0,0.00127131,0,,,3.0,,,,,1.0,1.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,
12437495,home,Sevilla,José Ángel Carmona,,,jose-angel-carmona,J. Á. Carmona,D,2,183,1021,M,1015240,EUR,1012262400,D,2,2,False,31.0,24.0,5.0,1.0,0.0,14.0,15.0,10.0,18.0,,3.0,2.0,3.0,2.0,,,90.0,54.0,7.4,12.0,0.00615284,1,,2.0,3.0,,,,3.0,1.0,,2.0,4.0,1.0,,,1.0,1.0,0.0617,,,,,,,,,,,,,
12437495,home,Sevilla,Lucien Agoumé,,,lucien-agoume,L. Agoumé,M,18,185,2096,M,960006,EUR,1013212800,M,18,18,False,41.0,34.0,4.0,1.0,1.0,15.0,16.0,19.0,28.0,,6.0,3.0,10.0,,,,90.0,63.0,7.3,14.0,0.0825303,0,,3.0,8.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,,,,1.0,,,,,,,,,,,,
12437495,home,Sevilla,Djibril Sow,,,djibril-sow,D. Sow,M,20,184,1941,M,799054,EUR,855187200,M,20,20,False,32.0,27.0,1.0,,0.0,11.0,12.0,16.0,20.0,1.0,3.0,,3.0,1.0,,,76.0,43.0,7.0,7.0,0.066539,1,,,2.0,,,1.0,3.0,1.0,,2.0,2.0,,,,,1.0,0.0275,,,,,,,,,,,,,
12437495,home,Sevilla,Suso,,,suso,Suso,M,11,176,1350,M,96370,EUR,753667200,M,10,10,False,34.0,27.0,2.0,1.0,0.0,10.0,11.0,17.0,35.0,,8.0,2.0,6.0,2.0,,,90.0,72.0,6.9,25.0,0.0547801,1,,12.0,9.0,5.0,2.0,,2.0,4.0,3.0,,2.0,,,3.0,,1.0,0.0984,1.0,True,,,,,,,,,,,
12437495,home,Sevilla,Albert Sambi Lokonga,,,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3626,M,901892,EUR,940550400,M,12,12,False,21.0,19.0,3.0,3.0,0.0,7.0,8.0,12.0,13.0,,1.0,,3.0,,,,59.0,30.0,7.1,5.0,0.0770824,3,,,5.0,,,,,1.0,,2.0,2.0,1.0,2.0,1.0,,,0.2784,,,2.0,1.0,0.1973,,,,,,,,
12437495,home,Sevilla,Dodi Lukebakio,,,dodi-lukebakio,D. Lukebakio,M,11,187,4874,M,823631,EUR,875059200,M,11,11,False,27.0,21.0,2.0,,0.0,6.0,7.0,15.0,21.0,,6.0,1.0,3.0,4.0,,,90.0,45.0,7.0,13.0,0.0246464,2,,1.0,3.0,2.0,1.0,,,1.0,1.0,5.0,1.0,,1.0,,,1.0,0.595,,,1.0,,,DLukebakio,1.0,,,,,,
