match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_totalContest,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_challengeLost,stat_dispossessed,stat_errorLeadToAShot,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_expectedGoals,stat_totalOffside,player_sofascoreId,stat_wonContest,stat_keyPass,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals
12436626,home,Leicester City,Mads Hermansen,mads-hermansen,M. Hermansen,G,1,187,1770,M,856640,EUR,963273600,G,30,30,False,41.0,16.0,30.0,5.0,0.0,13.0,20.0,3.0,21.0,1.0,4.0,14.0,1.0,2.0,5.0,7.0,2.0,1.0,1.0,90.0,65.0,7.9,26.0,0.00067273,0,-0.4706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436626,home,Leicester City,Ricardo Pereira,ricardo-pereira,R. Pereira,D,21,175,985,M,221200,EUR,749865600,D,21,21,False,27.0,20.0,,,0.0,12.0,15.0,8.0,12.0,3.0,5.0,1.0,,,,,,,,83.0,48.0,7.2,10.0,0.00430768,0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12436626,home,Leicester City,Wout Faes,wout-faes,W. Faes,D,25,185,1743,M,361696,EUR,891561600,D,3,3,False,39.0,33.0,6.0,2.0,0.0,27.0,28.0,6.0,11.0,,4.0,4.0,,,,,,,,90.0,48.0,6.3,9.0,0.00964428,0,,,,,3.0,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12436626,home,Leicester City,Conor Coady,conor-coady,C. Coady,D,15,184,629,M,98449,EUR,730598400,D,4,4,False,56.0,50.0,7.0,2.0,0.0,41.0,41.0,9.0,15.0,,8.0,2.0,,,,,,,,90.0,67.0,6.8,7.0,0.00342508,0,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
12436626,home,Leicester City,Luke Thomas,luke-thomas,L. Thomas,D,33,178,491,M,991584,EUR,992131200,D,33,33,False,38.0,33.0,5.0,3.0,0.0,21.0,23.0,13.0,17.0,5.0,8.0,4.0,1.0,,,,,,,90.0,76.0,7.6,13.0,0.0186671,0,,,,1.0,2.0,,,1.0,3.0,3.0,3.0,2.0,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,
12436626,home,Leicester City,Wilfred Ndidi,wilfred-ndidi,W. Ndidi,M,4,186,9690,M,787885,EUR,850694400,M,6,6,False,19.0,13.0,3.0,1.0,0.0,4.0,4.0,10.0,16.0,7.0,1.0,,,,,,,,,83.0,32.0,7.4,8.0,0.018607,2,,,,3.0,10.0,1.0,1.0,3.0,,4.0,3.0,,2.0,5.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0641,,,,,,,,,,
12436626,home,Leicester City,Boubakary Soumaré,boubakary-soumare,B. Soumaré,M,34,188,1043,M,887581,EUR,920073600,M,24,24,False,43.0,35.0,2.0,,0.0,27.0,29.0,8.0,14.0,5.0,6.0,2.0,2.0,,,,,,,90.0,55.0,6.7,8.0,0.00173752,0,,,,3.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
12436626,home,Leicester City,Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1230,M,151499,EUR,728611200,M,14,14,False,6.0,4.0,,,0.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,,,,,,,,61.0,10.0,6.4,4.0,0.00309696,0,,,,1.0,4.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,
12436626,home,Leicester City,Bilal El Khannouss,bilal-el-khannouss,B. E. Khannouss,M,11,180,25212,M,1126569,EUR,1084147200,M,11,11,False,31.0,28.0,2.0,2.0,0.0,17.0,18.0,11.0,16.0,4.0,2.0,6.0,1.0,,,,,,,90.0,46.0,6.7,10.0,0.00608663,1,,Bilal,El Khannouss,1.0,10.0,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,3.0,,1.0,,,0.0445,,bilalekns_34,1.0,,,,,,,
12436626,home,Leicester City,Stephy Mavididi,stephy-mavididi,S. Mavididi,M,10,182,1545,M,605338,EUR,896572800,M,10,10,False,28.0,24.0,1.0,,0.0,13.0,15.0,11.0,14.0,6.0,1.0,3.0,1.0,,,,,,,85.0,45.0,6.7,13.0,0.0369233,0,,,,,6.0,3.0,,,,4.0,3.0,1.0,2.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,1.0,,,,,,
