match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_aerialLost,player_sofascoreId,stat_keyPass,stat_totalCross,captain,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_bigChanceMissed,stat_accurateCross
11406900,home,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194,1818,M,308182,EUR,763862400,G,94,94,False,36.0,21.0,17.0,3.0,20.0,25.0,1.0,11.0,8.0,1.0,3.0,3.0,1.0,1.0,90.0,43.0,7.2,15.0,0.00016789,0,0.4452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406900,home,Lazio,Adam Marušić,adam-marusic,A. Marušić,D,77,185,1131,M,267619,EUR,719280000,D,77,77,False,25.0,21.0,4.0,3.0,12.0,14.0,9.0,11.0,5.0,,,,,,90.0,42.0,6.9,9.0,0.00342583,0,,1.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
11406900,home,Lazio,Patric,patric,Patric,D,4,184,495,M,217784,EUR,735004800,D,4,4,False,18.0,17.0,2.0,1.0,15.0,15.0,2.0,3.0,2.0,,,,,,24.0,23.0,6.9,1.0,0.00064257,1,,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0399,,,,,,,,,,,,,
11406900,home,Lazio,Mario Gila Fuentes,mario-gila-fuentes,M. Gila,D,34,183,1766,M,965828,EUR,967507200,D,34,34,False,54.0,47.0,10.0,4.0,40.0,43.0,7.0,11.0,10.0,,,,,,90.0,63.0,7.3,7.0,0.00199153,0,,1.0,4.0,4.0,,,,,2.0,2.0,1.0,,,,,1.0,1.0,1.0,2.0,,3.0,,,,,,,,,,,,
11406900,home,Lazio,Luca Pellegrini,luca-pellegrini,L. Pellegrini,D,3,178,1350,M,826186,EUR,920764800,D,3,3,False,46.0,35.0,3.0,,21.0,27.0,14.0,19.0,5.0,,,,,,65.0,63.0,6.8,13.0,0.0126729,0,,1.0,2.0,6.0,,,1.0,,4.0,5.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,
11406900,home,Lazio,Mattéo Guendouzi,matteo-guendouzi,M. Guendouzi,M,6,185,7016,M,852404,EUR,924048000,M,8,8,False,43.0,35.0,2.0,,14.0,15.0,21.0,28.0,7.0,,,,,,90.0,50.0,7.0,10.0,0.160994,0,,1.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,,,,,2.0,,1.0,,1.0,MatteoGuendouzi,1.0,,,,,,,,,,
11406900,home,Lazio,Nicolò Rovella,nicolo-rovella,N. Rovella,M,6,179,2966,M,937324,EUR,1007424000,M,65,65,False,81.0,77.0,8.0,7.0,45.0,48.0,32.0,34.0,7.0,,,,,,90.0,94.0,7.2,8.0,0.112044,0,,,7.0,5.0,3.0,1.0,,,1.0,4.0,2.0,2.0,,,,,2.0,1.0,2.0,,1.0,,1.0,1.0,,,,,,,,,
11406900,home,Lazio,Luis Alberto,luis-alberto,L. Alberto,M,32,182,1864,M,111416,EUR,717638400,M,10,10,False,33.0,29.0,1.0,,14.0,14.0,15.0,20.0,7.0,,,,,,65.0,47.0,7.8,8.0,0.215297,2,,,2.0,5.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,,1.0,,,2.0,,0.053,,,3.0,1.0,True,1.0,2.0,1.0,,,,,
11406900,home,Lazio,Gustav Isaksen,gustav-isaksen,G. Isaksen,M,18,181,3333,M,976381,EUR,987638400,F,18,18,False,11.0,6.0,2.0,,1.0,2.0,5.0,9.0,3.0,,,,,,45.0,18.0,6.4,9.0,0.0494243,1,,,4.0,1.0,2.0,,3.0,1.0,,,,2.0,,,,,,,,0.0824,,,,,,,,,1.0,0.0744,,,
11406900,home,Lazio,Felipe Anderson,felipe-anderson,F. Anderson,M,7,175,6043,M,152276,EUR,734832000,F,7,7,False,32.0,22.0,4.0,,3.0,3.0,19.0,29.0,5.0,,,,,,90.0,45.0,7.6,13.0,0.0613605,1,,,6.0,6.0,1.0,1.0,2.0,,,5.0,3.0,,,,,,,1.0,,0.3741,2.0,F_Andersoon,1.0,,,,,,1.0,0.6734,1.0,,
