match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_shotValueNormalized,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_outfielderBlock,stat_errorLeadToAGoal,stat_wasFouled,stat_fouls,stat_expectedGoalsOnTarget,captain,stat_totalCross,stat_interceptionWon,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_keyPass,player_sofascoreId,stat_goals,stat_totalOffside,stat_goodHighClaim
13981547,home,Genoa,Nicola Leali,nicola-leali,N. Leali,G,1,193.0,635,M,98059,EUR,729907200,G,1,1,False,26.0,18.0,11.0,3.0,0.0,15.0,16.0,3.0,10.0,9.0,4.0,4.0,1.0,1.0,90.0,36.0,8.0,8.0,0.00033868,33.916963930587,7.0,19.005,9.135,0.9394,0,0.9896,0.02,-0.01,-0.06,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981547,home,Genoa,Alessandro Marcandalli,alessandro-marcandalli,A. Marcandalli,D,27,190.0,311,M,1068885,EUR,1035504000,D,27,27,False,62.0,48.0,6.0,2.0,0.0,21.0,26.0,27.0,36.0,3.0,,,,,90.0,70.0,6.8,15.0,0.0241327,185.45080323897,20.0,133.56,27.93,,1,,0.23,0.1,-0.13,,,,1.0,4.0,2.0,6.0,1.0,1.0,3.0,2.0,2.0,0.0227,-0.28,,,,,,,,,,,,,,,,,,,,,,,
13981547,home,Genoa,Leo Østigård,leo-ostigard,L. Østigård,D,5,182.0,1809,M,879746,EUR,943747200,D,5,5,False,66.0,63.0,10.0,8.0,0.0,43.0,43.0,20.0,23.0,1.0,,,,,90.0,88.0,7.4,4.0,0.0099984,365.45583504542,39.0,259.455,34.545,,2,,0.3,0.23,-0.07,,,,1.0,3.0,5.0,8.0,1.0,1.0,10.0,2.0,2.0,0.101,-0.27,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0454,,,,,,,,,,,,
13981547,home,Genoa,Johan Vásquez,johan-vasquez,J. Vásquez,D,22,185.0,4788,M,889785,EUR,909014400,D,22,22,False,61.0,51.0,10.0,6.0,0.0,39.0,42.0,12.0,19.0,6.0,,,,,90.0,76.0,6.7,15.0,0.00589538,233.50612000727,27.0,96.075,22.47,,0,,0.06,0.09,0.14,,,,4.0,3.0,6.0,4.0,1.0,,5.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,True,1.0,1.0,1.0,,,,,,,,
13981547,home,Genoa,Mikael Ellertsson,mikael-ellertsson,M. Ellertsson,M,77,182.0,433,M,933203,EUR,1015804800,M,77,77,False,18.0,15.0,1.0,1.0,1.0,8.0,9.0,7.0,9.0,2.0,,,,,85.0,39.0,7.5,10.0,0.329334,38.869768270726,6.0,2.73,8.505,,3,,0.48,-0.03,-0.02,,,,2.0,1.0,4.0,5.0,2.0,1.0,4.0,,,0.1608,0.04,,,,,1.0,,,,4.0,,0.11,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,
13981547,home,Genoa,Ruslan Malinovskyi,ruslan-malinovskyi,R. Malinovskyi,M,17,181.0,4666,M,195850,EUR,736473600,M,17,17,False,47.0,38.0,6.0,5.0,0.0,17.0,18.0,21.0,29.0,4.0,,,,,85.0,58.0,6.6,13.0,0.0539886,210.78029420147,20.0,-0.84000000000002,15.015,,2,,0.27,0.16,-0.05,,,,,,3.0,,1.0,2.0,2.0,,,0.0935,-0.51,,,,,,,,,,2.0,,,3.0,,2.0,2.0,,,1.0,malinovskyi18,,,
13981547,home,Genoa,Morten Frendrup,morten-frendrup,M. Frendrup,M,32,178.0,1679,M,918440,EUR,986601600,M,32,32,False,50.0,42.0,4.0,1.0,0.0,18.0,21.0,24.0,29.0,10.0,,,,,90.0,72.0,6.8,13.0,0.0120327,160.85571372256,21.0,26.985,13.23,,0,,0.06,0.08,0.15,,,,3.0,,9.0,7.0,2.0,,5.0,4.0,3.0,,,3.0,2.0,1.0,,,,,,2.0,,,,,1.0,1.0,,,,,,,,
13981547,home,Genoa,Morten Thorsby,morten-thorsby,M. Thorsby,M,2,189.0,697,M,280991,EUR,831254400,M,2,2,False,37.0,22.0,,,0.0,8.0,15.0,14.0,22.0,1.0,,,,,90.0,64.0,8.3,21.0,0.0151035,59.251901286274,11.0,-4.62,6.09,,4,,0.09,0.04,-0.12,,,,7.0,21.0,13.0,27.0,,2.0,4.0,3.0,,0.6655,0.41,3.0,1.0,1.0,,1.0,,,,2.0,3.0,0.8825,,2.0,1.0,4.0,1.0,,1.0,1.0,,1.0,2.0,
13981547,home,Genoa,Aarón Martín,aaron-martin,A. Martín,D,3,180.0,1144,M,797286,EUR,861667200,M,3,3,False,49.0,43.0,4.0,1.0,0.0,18.0,20.0,25.0,29.0,5.0,,,,,90.0,75.0,7.8,13.0,0.546538,160.83636160187,22.0,16.38,7.98,,0,,0.65,0.0,-0.02,,,,1.0,1.0,2.0,6.0,,,3.0,4.0,2.0,,,,1.0,,,,,,,1.0,,,,9.0,,,5.0,1.0,,5.0,,,,
13981547,home,Genoa,Lorenzo Colombo,lorenzo-colombo,L. Colombo,F,29,183.0,2440,M,930191,EUR,1015545600,F,29,29,False,16.0,15.0,,,0.0,4.0,4.0,11.0,12.0,1.0,,,,,67.0,27.0,7.0,7.0,0.00871364,30.996244905033,4.0,-3.255,7.875,,1,,-0.12,0.02,-0.05,,,,2.0,,9.0,1.0,1.0,,,,,0.6233,0.51,1.0,5.0,1.0,,1.0,,,,,1.0,0.9154,,,,,,,,1.0,,1.0,,
