match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_outfielderBlock,stat_keyPass,captain,stat_challengeLost,stat_accurateCross,stat_dispossessed,stat_totalContest,player_firstName,player_lastName,stat_wonContest,stat_blockedScoringAttempt
11067399,home,Vasco da Gama,Léo Jardim,leo-jardim,L. Jardim,G,1,188,5904,M,leocjardim,595598,EUR,795657600,G,1,1,False,16.0,6.0,13.0,3.0,3.0,3.0,3.0,13.0,1.0,5.0,1.0,2.0,90.0,20.0,7.2,10.0,0.00138901,0,0.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067399,home,Vasco da Gama,Paulo Henrique,paulo-henrique,P. Henrique,D,96,175,6662,M,,1021721,EUR,838252800,D,96,96,False,25.0,13.0,5.0,1.0,4.0,11.0,9.0,17.0,1.0,12.0,,,90.0,56.0,8.0,25.0,0.0257167,3,,3.0,2.0,1.0,4.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,1.0,2.0,1.0,0.177,0.9235,,,,,,,,,,,,
11067399,home,Vasco da Gama,Maicon,maicon,Maicon,D,3,191,836,M,,44691,EUR,590198400,D,4,4,False,26.0,18.0,9.0,4.0,13.0,14.0,5.0,12.0,7.0,4.0,,,90.0,41.0,7.8,9.0,0.00221067,0,,,3.0,5.0,5.0,6.0,,,,,1.0,1.0,1.0,,2.0,,,,1.0,4.0,1.0,,,,,,,,,
11067399,home,Vasco da Gama,Gary Medel,gary-medel,G. Medel,D,17,171,1841,M,,22975,EUR,554947200,D,17,17,False,38.0,33.0,6.0,1.0,28.0,29.0,5.0,9.0,4.0,3.0,,,90.0,44.0,6.5,6.0,0.00152617,0,,,1.0,,3.0,,,,,1.0,,,1.0,,1.0,,,,,,,True,1.0,,,,,,,
11067399,home,Vasco da Gama,Lucas Piton,lucas-piton,L. Piton,D,6,176,3645,M,,982174,EUR,971049600,D,6,6,False,43.0,34.0,5.0,2.0,18.0,19.0,17.0,30.0,1.0,4.0,,,90.0,71.0,6.9,17.0,0.0776857,0,,6.0,,,5.0,,,,,4.0,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,2.0,,,,
11067399,home,Vasco da Gama,Zé Gabriel,ze-gabriel,Zé Gabriel,M,35,184,375,M,,988852,EUR,916876800,M,23,23,False,39.0,31.0,2.0,,17.0,18.0,14.0,21.0,1.0,8.0,,,90.0,49.0,6.9,9.0,0.00806908,0,,,1.0,2.0,5.0,7.0,,,,,3.0,1.0,1.0,2.0,5.0,,,,,1.0,,,,,,,,,,
11067399,home,Vasco da Gama,Gabriel Pec,gabriel-pec,G. Pec,F,11,172,4603,M,GabrielPec,995072,EUR,981849600,M,11,11,False,6.0,4.0,1.0,,3.0,3.0,1.0,3.0,,3.0,,,89.0,21.0,6.6,7.0,0.00054822,1,,,2.0,,7.0,5.0,,1.0,,,1.0,1.0,1.0,2.0,,,0.0449,0.2848,,,,,2.0,,2.0,3.0,,,2.0,
11067399,home,Vasco da Gama,Paulinho Paula,paulinho-paula,Paulinho,M,18,173,1795,M,,879902,EUR,852681600,M,18,18,False,30.0,18.0,3.0,2.0,8.0,13.0,11.0,20.0,1.0,6.0,,,86.0,52.0,7.1,21.0,0.0307569,2,,3.0,1.0,3.0,10.0,9.0,2.0,,,1.0,1.0,1.0,1.0,2.0,4.0,,0.1412,,,1.0,1.0,,,1.0,5.0,3.0,,,3.0,
11067399,home,Vasco da Gama,Bruno Praxedes,bruno-praxedes,B. Praxedes,M,25,186,445,M,,1018093,EUR,1013126400,M,21,21,False,48.0,33.0,7.0,1.0,14.0,23.0,19.0,26.0,2.0,6.0,,,90.0,69.0,6.2,20.0,0.0160101,1,,1.0,3.0,,10.0,6.0,,,,1.0,2.0,1.0,2.0,1.0,3.0,,0.0347,,,,,,4.0,,,4.0,,,3.0,1.0
11067399,home,Vasco da Gama,Erick Marcus,erick-marcus,Erick Marcus,M,77,172,690,M,,1403439,EUR,1078099200,M,16,16,False,18.0,16.0,1.0,1.0,5.0,6.0,12.0,14.0,1.0,5.0,,,51.0,24.0,6.7,4.0,0.108708,1,,2.0,,1.0,3.0,2.0,1.0,,,,1.0,1.0,,,,,0.0188,,,,2.0,,2.0,1.0,,1.0,,,,
