match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_aerialLost,stat_dispossessed,stat_shotOffTarget,stat_goals,player_sofascoreId,captain,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated
11067492,home,Atlético Mineiro,Everson,everson,Everson,G,22,193,2202,M,870748,EUR,648604800,G,22,22,False,29.0,25.0,10.0,6.0,21.0,23.0,4.0,6.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,90.0,40.0,6.6,4.0,0.0,0.0,0.00144621,0,0.1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067492,home,Atlético Mineiro,Mariano,mariano,Mariano,D,,177,308,M,40076,EUR,519868800,D,25,25,False,64.0,52.0,9.0,6.0,19.0,22.0,33.0,42.0,,5.0,,,,,,82.0,79.0,7.2,14.0,0.0,0.0,0.022613,0,,4.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,
11067492,home,Atlético Mineiro,Nathan Silva,nathan-silva,Nathan Silva,D,6,182,463,M,841129,EUR,862876800,D,40,40,False,71.0,65.0,3.0,1.0,46.0,48.0,19.0,23.0,,6.0,,,,,,90.0,74.0,6.9,6.0,0.0236,0.0342,0.00704254,1,,2.0,3.0,,,1.0,,1.0,,,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,
11067492,home,Atlético Mineiro,Jemerson,jemerson,Jemerson,D,21,184,1651,M,328519,EUR,714614400,D,34,34,False,55.0,46.0,5.0,1.0,30.0,34.0,16.0,21.0,3.0,5.0,,,,,,90.0,63.0,6.6,10.0,0.0,0.0,0.0104118,0,,3.0,3.0,1.0,1.0,1.0,,,,2.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,
11067492,home,Atlético Mineiro,Rubens,rubens,Rubens,M,44,178,1492,M,1093196,EUR,993081600,D,44,44,False,27.0,23.0,4.0,2.0,9.0,9.0,15.0,19.0,5.0,1.0,,,,,,77.0,48.0,6.8,5.0,0.0125,0.0217,0.0265504,1,,5.0,2.0,,,,2.0,2.0,2.0,,4.0,,Rubens,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11067492,home,Atlético Mineiro,Rodrigo Battaglia,rodrigo-battaglia,R. Battaglia,D,5,187,1317,M,158257,EUR,679276800,M,21,21,False,43.0,36.0,3.0,1.0,18.0,22.0,18.0,21.0,1.0,9.0,,,,,,90.0,59.0,7.1,10.0,0.1082,0.0263,0.00983908,2,,6.0,11.0,2.0,1.0,,,4.0,4.0,4.0,3.0,,,,2.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,
11067492,home,Atlético Mineiro,Cristian Pavón,cristian-pavon,C. Pavón,M,7,169,2406,M,358956,EUR,822182400,M,9,9,False,49.0,39.0,7.0,3.0,18.0,20.0,21.0,35.0,1.0,9.0,,,,,,90.0,73.0,7.6,19.0,0.2951,0.189,0.00844837,1,,5.0,9.0,5.0,3.0,,,3.0,3.0,3.0,2.0,1.0,,,,1.0,1.0,6.0,,,1.0,,,1.0,,,,,,,,
11067492,home,Atlético Mineiro,Matías Zaracho,matias-zaracho,M. Zaracho,M,11,171,1332,M,859970,EUR,889488000,M,15,15,False,63.0,58.0,1.0,1.0,29.0,29.0,29.0,34.0,1.0,7.0,,,,,,90.0,76.0,6.4,7.0,0.0,0.0,0.0216269,0,,10.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,,,,1.0,,2.0,,,6.0,1.0,,,,,,,,,,,
11067492,home,Atlético Mineiro,Hyoran,hyoran,Hyoran,M,19,174,485,M,551348,EUR,738288000,M,20,20,False,18.0,14.0,2.0,2.0,2.0,3.0,12.0,18.0,,1.0,,,,,,69.0,31.0,6.8,8.0,0.0,0.0,0.0293321,0,,3.0,4.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,,,,,,1.0,3.0,,1.0,,,,,,,,,,,,
11067492,home,Atlético Mineiro,Hulk,hulk,Hulk,F,7,180,24458,M,34705,EUR,522633600,F,7,7,False,21.0,10.0,2.0,,,1.0,12.0,26.0,1.0,2.0,,,,,,90.0,54.0,6.5,29.0,0.1788,0.0,0.0817829,3,,11.0,4.0,6.0,2.0,,,,,1.0,,2.0,,,1.0,,6.0,6.0,2.0,1.0,2.0,4.0,1.0,,Hulk,True,2.0,,,,,
11067492,home,Atlético Mineiro,Paulinho,paulinho,Paulinho,F,10,175,11050,M,885179,EUR,963619200,F,10,10,False,14.0,12.0,,,4.0,5.0,8.0,9.0,,4.0,,,,,,90.0,24.0,6.6,7.0,0.1613,0.0,0.0470711,1,,6.0,3.0,3.0,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,,2.0,,,2.0,,1.0,1.0,,paulinho10,,,,,,,
