match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_keyPass,stat_totalContest,stat_wonContest,stat_shotOffTarget,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed,stat_accurateKeeperSweeper,stat_lastManTackle
12421176,home,Royale Union Saint-Gilloise,Anthony Moris,anthony-moris,A. Moris,G,49,184.0,297,M,39457,EUR,641347200,G,49,49,False,True,33.0,21.0,24.0,12.0,0.0,10.0,11.0,11.0,22.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,3.0,1.0,90.0,40.0,7.0,12.0,0.00365368,0,-0.2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421176,home,Royale Union Saint-Gilloise,Ross Sykes,ross-sykes,R. Sykes,D,26,196.0,234,M,845558,EUR,922406400,D,26,26,False,,30.0,22.0,3.0,,0.0,16.0,19.0,6.0,11.0,5.0,,3.0,7.0,,,,,,90.0,49.0,7.4,13.0,0.00633215,3,,,,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.2619,0.7661,,,,,,,,,,,,
12421176,home,Royale Union Saint-Gilloise,Christian Burgess,christian-burgess,C. Burgess,D,16,196.0,311,M,303634,EUR,686793600,D,16,16,False,,29.0,21.0,2.0,,0.0,16.0,20.0,5.0,9.0,1.0,,3.0,3.0,,,,,,90.0,38.0,6.6,9.0,0.00213149,0,,,,,1.0,3.0,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,
12421176,home,Royale Union Saint-Gilloise,Koki Machida,koki-machida,K. Machida,D,28,190.0,1344,M,790977,EUR,872467200,D,28,28,False,,30.0,18.0,4.0,2.0,0.0,10.0,16.0,8.0,14.0,5.0,,3.0,6.0,,,,,,49.0,41.0,5.4,13.0,0.00455931,0,,,,1.0,4.0,6.0,,,,,,,2.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,
12421176,home,Royale Union Saint-Gilloise,Kevin Mac Allister,kevin-mac-allister,K. Mac Allister,D,5,175.0,9946,M,895327,EUR,878860800,M,5,5,False,,24.0,15.0,6.0,1.0,0.0,6.0,8.0,10.0,17.0,2.0,,5.0,3.0,,,,,,90.0,40.0,7.9,11.0,0.10525,2,,,,,4.0,7.0,,2.0,,1.0,2.0,1.0,2.0,,1.0,2.0,,0.2765,0.5167,1.0,1.0,1.0,1.0,,,,,,,,
12421176,home,Royale Union Saint-Gilloise,Noah Sadiki,noah-sadiki,N. Sadiki,M,27,173.0,15438,M,1171539,EUR,1103241600,M,27,27,False,,32.0,30.0,1.0,,0.0,9.0,11.0,21.0,21.0,3.0,,1.0,4.0,,,,,,90.0,49.0,7.3,4.0,0.0684265,0,,,,,1.0,5.0,1.0,,,,,3.0,3.0,2.0,,1.0,,,,1.0,,,1.0,2.0,1.0,,,,,,
12421176,home,Royale Union Saint-Gilloise,Kamiel Van de Perre,van-de-perre-kamiel,K. V. D. Perre,M,6,181.0,375,M,1146316,EUR,1076544000,M,6,6,False,,34.0,25.0,4.0,4.0,0.0,12.0,13.0,13.0,21.0,5.0,3.0,1.0,6.0,,,,,,90.0,53.0,7.2,12.0,0.0241579,0,,,,,,9.0,,,,,1.0,1.0,7.0,4.0,3.0,2.0,,,,2.0,,,,,,,,,,,
12421176,home,Royale Union Saint-Gilloise,Loïc Lapoussin,loic-lapoussin,L. Lapoussin,M,,181.0,702,M,902987,EUR,827884800,M,94,94,False,,43.0,29.0,4.0,2.0,0.0,10.0,12.0,21.0,34.0,6.0,2.0,2.0,16.0,,,,,,89.0,81.0,7.0,26.0,0.35043,4,,,,,2.0,10.0,2.0,,3.0,,,,4.0,1.0,5.0,,,0.1997,,2.0,3.0,2.0,3.0,4.0,2.0,1.0,,,,,
12421176,home,Royale Union Saint-Gilloise,Sofiane Boufal,sofiane-boufal,S. Boufal,F,17,175.0,14022,M,257205,EUR,748224000,F,23,23,False,,18.0,14.0,,,1.0,5.0,6.0,12.0,17.0,2.0,,,2.0,,,,,,52.0,31.0,7.3,9.0,0.21262,0,,,,,,2.0,,,,,,1.0,,,2.0,1.0,,,,1.0,5.0,3.0,3.0,2.0,1.0,,Sofianeboufal_19,1.0,,,
12421176,home,Royale Union Saint-Gilloise,Franjo Ivanović,franjo-ivanovic,F. Ivanović,F,9,185.0,6334,M,1103333,EUR,1064966400,F,9,9,False,,11.0,9.0,,,0.0,2.0,2.0,7.0,9.0,3.0,,,1.0,,,,,,45.0,17.0,6.9,5.0,0.0276258,2,,,,1.0,,1.0,,1.0,,,,,,,3.0,2.0,,0.1267,0.0366,1.0,,,1.0,,,1.0,,,,,
