match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_fouls,player_lastName,stat_interceptionWon,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_aerialWon,stat_errorLeadToAShot,stat_accurateCross,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_outfielderBlock,stat_totalOffside,player_sofascoreId,stat_blockedScoringAttempt,stat_lastManTackle,stat_goodHighClaim,stat_bigChanceCreated,stat_goals,stat_hitWoodwork,stat_bigChanceMissed
14167876,home,Metz,Jonathan Fischer,jonathan-fischer,J. Fischer,G,1,197.0,267,M,1004550,EUR,999993600,G,1,1,False,43.0,38.0,10.0,6.0,0.0,34.0,35.0,4.0,8.0,1.0,7.0,4.0,6.0,1.0,1.0,1.0,90.0,54.0,7.6,5.0,0.0037628,0.8193,0,-0.4596,0.07,-0.04,-0.28,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14167876,home,Metz,Sadibou Sané,sane-sadibou,S. Sané,D,38,185.0,730,M,1471683,EUR,1086825600,D,38,38,False,49.0,41.0,4.0,1.0,0.0,37.0,42.0,4.0,7.0,4.0,1.0,,,,,,90.0,59.0,6.1,9.0,0.00117881,,0,,0.0,0.05,-0.46,,Sadibou Sané,1.0,3.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14167876,home,Metz,Jean-Philippe Gbamin,jean-philippe-gbamin,J. Gbamin,M,5,186.0,1191,M,326343,EUR,811987200,D,5,5,False,15.0,11.0,1.0,,0.0,11.0,14.0,,1.0,,,,,,,,21.0,16.0,6.5,4.0,2.145e-05,,0,,0.0,0.03,-0.05,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14167876,home,Metz,Terry Yegbe,terry-yegbe,T. Yegbe,D,15,195.0,357,M,1200442,EUR,980380800,D,15,15,False,43.0,38.0,8.0,3.0,0.0,30.0,31.0,8.0,12.0,3.0,3.0,,,,,,90.0,53.0,6.0,7.0,0.00157891,,0,,0.06,0.02,-0.48,,Terry Yegbe,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
14167876,home,Metz,Koffi Kouao,kouao-koffi,K. Kouao,D,39,173.0,315,M,867575,EUR,895622400,M,39,39,False,24.0,20.0,3.0,2.0,0.0,12.0,14.0,8.0,10.0,3.0,2.0,,,,,,90.0,38.0,6.4,8.0,0.0133187,,0,,-0.09,0.13,-0.25,,,4.0,4.0,2.0,2.0,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14167876,home,Metz,Boubacar Traoré,boubacar-traore,B. Traoré,M,8,183.0,1011,M,982613,EUR,998265600,M,8,8,False,39.0,34.0,3.0,2.0,0.0,19.0,22.0,15.0,17.0,,9.0,,,,,,90.0,49.0,6.2,8.0,0.00854981,,0,,0.16,0.05,-0.3,,,4.0,2.0,1.0,1.0,1.0,2.0,,,2.0,,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
14167876,home,Metz,Jessy Deminguet,jessy-deminguet,J. Deminguet,M,20,178.0,128,M,902657,EUR,884131200,M,20,20,False,21.0,20.0,1.0,1.0,0.0,10.0,10.0,10.0,11.0,,3.0,,,,,,79.0,28.0,6.5,5.0,0.0175416,,0,,0.03,0.1,-0.17,,,2.0,2.0,,1.0,1.0,,1.0,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14167876,home,Metz,Fodé Ballo-Touré,fode-ballo-toure,F. Ballo-Touré,D,97,177.0,1466,M,788170,EUR,852249600,M,97,97,False,26.0,24.0,,,0.0,17.0,18.0,7.0,8.0,1.0,2.0,,,,,,79.0,44.0,7.0,7.0,0.0572064,,1,,0.12,0.13,0.21,,,2.0,5.0,,3.0,1.0,2.0,1.0,,,,,2.0,,2.0,,1.0,,1.0,1.0,0.0166,-0.16,,,,,,,,,,,,,,
14167876,home,Metz,Gauthier Hein,gauthier-hein,G. Hein,M,10,170.0,632,M,842391,EUR,839376000,F,10,10,False,42.0,37.0,2.0,2.0,0.0,24.0,25.0,13.0,17.0,1.0,1.0,,,,,,90.0,59.0,6.5,17.0,0.168154,,1,,0.17,0.18,0.22,,,5.0,1.0,,,,2.0,,2.0,,,,5.0,3.0,,,1.0,,,,0.0548,-0.09,True,1.0,0.1374,1.0,,,,,,,,,,
14167876,home,Metz,Cheick Tidiane Sabaly,cheick-tidiane-sabaly,C. T. Sabaly,F,14,168.0,3796,M,942834,EUR,920505600,F,14,14,False,20.0,17.0,2.0,1.0,0.0,6.0,6.0,11.0,14.0,1.0,2.0,,,,,,90.0,31.0,6.8,5.0,0.033969,,0,,0.06,0.18,-0.03,,,4.0,4.0,1.0,1.0,,1.0,2.0,,2.0,,1.0,,,2.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,
