match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_wonTackle,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_totalOffside,captain,stat_shotOffTarget,stat_penaltyWon,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,stat_bigChanceMissed,stat_goals,stat_penaltyFaced,stat_penaltyConceded
10389986,home,Lorient,Yvon Mvogo,yvon-mvogo,Y. Mvogo,G,38,190,548,M,149656,EUR,770860800,G,38,38,False,24.0,22.0,7.0,5.0,19.0,20.0,3.0,4.0,1.0,1.0,1.0,11.0,1.0,1.0,90.0,35.0,6.7,2.0,0.0,0.0,0.00158221,0,-0.1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389986,home,Lorient,Gedeon Kalulu,gedeon-kalulu,G. Kalulu,D,2,176,4314,M,991200,EUR,872812800,D,24,24,False,37.0,31.0,4.0,2.0,14.0,15.0,19.0,25.0,,4.0,3.0,6.0,,,90.0,65.0,6.7,12.0,0.0,0.0,0.129132,0,,,,gedeon_K2,3.0,2.0,2.0,8.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,
10389986,home,Lorient,Julien Laporte,julien-laporte,J. Laporte,D,15,185,87,M,791048,EUR,752371200,D,15,15,False,25.0,22.0,3.0,2.0,20.0,22.0,2.0,3.0,,1.0,9.0,2.0,,,90.0,39.0,7.2,3.0,0.0,0.0,0.00074217,0,,,,,,,2.0,2.0,,,,,1.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,,
10389986,home,Lorient,Montassar Talbi,montassar-talbi,M. Talbi,D,3,190,3461,M,879618,EUR,896140800,D,3,3,False,41.0,37.0,5.0,2.0,31.0,33.0,6.0,8.0,2.0,8.0,2.0,3.0,,,90.0,54.0,7.2,5.0,0.0321,0.0,0.0032168,1,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,3.0,2.0,,,2.0,1.0,,,,,,,,,,,,
10389986,home,Lorient,Vincent Le Goff,vincent-le-goff,V. L. Goff,D,25,177,29,M,99945,EUR,624412800,D,25,25,False,35.0,30.0,4.0,2.0,17.0,21.0,13.0,14.0,,2.0,1.0,7.0,,,90.0,55.0,6.9,8.0,0.1603,0.0796,0.015293,2,,,,,,,1.0,2.0,,1.0,,,3.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
10389986,home,Lorient,Laurent Abergel,laurent-abergel,L. Abergel,M,6,170,153,M,296434,EUR,728524800,M,6,6,False,56.0,49.0,2.0,1.0,29.0,33.0,20.0,23.0,,7.0,,8.0,,,90.0,72.0,7.1,8.0,0.0254,0.0,0.0343192,1,,,,,,,,4.0,2.0,1.0,,,,6.0,,1.0,1.0,1.0,,2.0,,,,True,1.0,,,,,,,,
10389986,home,Lorient,Enzo Le Fée,enzo-le-fee,E. Le Fée,M,28,173,3108,M,984014,EUR,949536000,M,10,10,False,57.0,48.0,10.0,6.0,25.0,26.0,24.0,33.0,,7.0,1.0,5.0,,,81.0,78.0,7.4,17.0,0.0443,0.1049,0.0380495,1,,,,,2.0,1.0,,6.0,1.0,,5.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,
10389986,home,Lorient,Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177,33926,M,1106451,EUR,1013385600,M,11,11,False,25.0,13.0,1.0,1.0,4.0,9.0,9.0,17.0,1.0,8.0,,7.0,,,90.0,51.0,7.4,19.0,0.5128,0.1302,0.106414,6,,Dango Ouattara,,d.ouattara15,1.0,,2.0,9.0,1.0,,7.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,,2.0,3.0,1.0,,,2.0,1.0,,,,,,,
10389986,home,Lorient,Julien Ponceau,julien-ponceau,J. Ponceau,M,21,170,165,M,942844,EUR,975369600,M,21,21,False,27.0,21.0,,,4.0,6.0,17.0,22.0,,4.0,,2.0,,,73.0,42.0,7.3,12.0,0.1342,0.0,0.402218,2,,,,,1.0,,1.0,3.0,1.0,,3.0,2.0,,2.0,4.0,,1.0,3.0,,1.0,2.0,,,,,,1.0,1.0,,,,,
10389986,home,Lorient,Armand Laurienté,armand-lauriente,A. Laurienté,M,45,177,2531,M,932643,EUR,912729600,M,45,45,False,31.0,27.0,1.0,,10.0,10.0,17.0,22.0,,5.0,,5.0,,,89.0,46.0,8.3,5.0,0.423,0.103,0.59594,5,,,,,1.0,,,2.0,2.0,,3.0,3.0,,2.0,,,,4.0,,2.0,1.0,3.0,1.0,,1.0,,,1.0,1.0,,,,
10389986,home,Lorient,Terem Moffi,terem-moffi,T. Moffi,F,29,188,3115,M,894396,EUR,927590400,F,13,13,False,13.0,13.0,,,1.0,1.0,12.0,12.0,1.0,3.0,,1.0,,,73.0,24.0,8.1,4.0,1.5082,2.1883,0.0904151,3,,,,,,,1.0,1.0,,,2.0,2.0,,,4.0,,,1.0,,,,3.0,,,,,,,,1.0,2.0,,
10389986,home,Lorient,Théo Le Bris,theo-le-bris,T. L. Bris,M,11,170,139,M,1131540,EUR,1033430400,D,37,37,True,6.0,5.0,,,2.0,3.0,3.0,3.0,,1.0,,2.0,,,17.0,9.0,6.5,2.0,0.0,0.0,0.00346705,0,,,,,,,,2.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,
