match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_possessionLostCtrl,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_fouls,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,captain,stat_goals,stat_interceptionWon,stat_bigChanceMissed,stat_outfielderBlock,player_sofascoreId
10408257,home,Elche,Édgar Badía,,,edgar-badia,É. Badía,G,13,181.0,194,M,811557,EUR,697852800,G,13,13,False,24.0,24.0,6.0,6.0,20.0,20.0,4.0,4.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,1.0,90.0,37.0,6.7,0.0,0.0,0.00054732,0,-0.1058,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408257,home,Elche,Josan,,,josan,Josan,M,17,175.0,169,M,808955,EUR,628646400,D,17,17,False,47.0,47.0,2.0,2.0,24.0,24.0,26.0,28.0,,4.0,,6.0,,,,,79.0,71.0,7.1,0.0,0.0,0.0978438,0,,1.0,5.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,9.0,3.0,,,,,,,,,,,,,
10408257,home,Elche,John Donald,John Donald,,john-nwankwo,J. Donald,D,18,185.0,201,M,1094758,EUR,969840000,D,26,26,False,60.0,53.0,5.0,3.0,40.0,45.0,13.0,15.0,7.0,8.0,5.0,2.0,,,,,90.0,71.0,7.0,0.052,0.0,0.00494159,1,,,,,1.0,,,,1.0,1.0,,,,8.0,,1.0,1.0,,,,,,,,,,,
10408257,home,Elche,Pedro Bigas,,,pedro-bigas,P. Bigas,D,6,180.0,322,M,141832,EUR,635040000,D,6,6,False,64.0,57.0,7.0,4.0,41.0,44.0,16.0,20.0,2.0,4.0,3.0,1.0,,,,,90.0,75.0,6.8,0.049,0.0,0.00744851,1,,,,,2.0,,,,1.0,,2.0,1.0,,10.0,,1.0,,1.0,1.0,,,,,,,,,
10408257,home,Elche,Carlos Clerc,,,carlos-clerc,C. Clerc,D,18,182.0,71,M,192430,EUR,698630400,D,23,23,False,58.0,51.0,5.0,4.0,13.0,16.0,39.0,45.0,,1.0,,1.0,,,,,90.0,71.0,6.8,0.0,0.0,0.108344,0,,,3.0,1.0,4.0,,,,1.0,1.0,,,,9.0,1.0,2.0,,,2.0,,,,,,,,,
10408257,home,Elche,Nicolás Fernández,,,nicolas-fernandez,N. Fernández,M,7,172.0,663,M,962411,EUR,947548800,M,22,22,False,17.0,13.0,1.0,,4.0,6.0,10.0,14.0,,3.0,,1.0,,,,,45.0,29.0,6.5,0.0,0.0,0.0981717,0,,,3.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,9.0,1.0,1.0,,,3.0,2.0,,,,,,,,
10408257,home,Elche,Gerard Gumbau,,,gerard-gumbau,G. Gumbau,M,15,187.0,380,M,326471,EUR,787708800,M,20,20,False,79.0,70.0,11.0,6.0,39.0,39.0,36.0,46.0,1.0,2.0,2.0,4.0,,,,,90.0,94.0,8.1,0.0806,0.0843,0.657335,2,,,6.0,5.0,4.0,1.0,1.0,1.0,,,3.0,,,13.0,7.0,2.0,1.0,,1.0,,2.0,1.0,,,,,,
10408257,home,Elche,Fidel,,,fidel,Fidel,F,10,179.0,132,M,116607,EUR,625449600,M,16,16,False,61.0,48.0,7.0,6.0,14.0,17.0,34.0,46.0,,2.0,,3.0,,,,,72.0,73.0,6.2,0.0944,0.0,0.107587,1,,,2.0,,8.0,4.0,3.0,1.0,1.0,,,,1.0,20.0,,,1.0,,,2.0,,,True,,,,,
10408257,home,Elche,Tete Morente,,,tete-morente,T. Morente,F,15,180.0,435,M,605374,EUR,849657600,M,11,11,False,42.0,38.0,6.0,5.0,9.0,10.0,30.0,37.0,1.0,11.0,,7.0,,,,,90.0,71.0,8.7,0.1675,0.3822,0.071448,4,,,5.0,1.0,6.0,,10.0,7.0,1.0,1.0,1.0,2.0,1.0,12.0,3.0,2.0,,,1.0,,,4.0,,1.0,1.0,,,
10408257,home,Elche,Randy Nteka,,,randy-nteka,R. Nteka,F,11,190.0,949,M,932764,EUR,881366400,F,18,18,False,23.0,19.0,,,6.0,6.0,13.0,17.0,,2.0,,4.0,,,,,66.0,30.0,6.6,0.0,0.0,0.0161115,0,,,,,5.0,,2.0,1.0,1.0,1.0,1.0,,,8.0,,2.0,,,2.0,,,,,,,,,
