match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,confirmed,isHome,id,incidentClass,player_id,player_name,playerName,reason,rescinded,length,injury
13981469,FT,2.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
13981469,,,,,90,7.0,,1,,,varDecision,False,False,72871.0,goalAwarded,1217613.0,Gift Orban,,,,,
13981469,,,,,90,1.0,,1,,,card,,False,123973169.0,yellow,1103488.0,Rafik Belghali,Rafik Belghali,Argument,False,,
13981469,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,5.0,
13981469,,,,,89,,,2,,,substitution,,False,124633641.0,regular,,,,,,,False
13981469,,,,,84,,,7,,,substitution,,False,124633560.0,regular,,,,,,,False
13981469,,,,,84,,,7,,,substitution,,False,124633540.0,regular,,,,,,,False
13981469,,,,,82,,,9,,,substitution,,True,124633461.0,regular,,,,,,,False
13981469,,2.0,0.0,,79,,,12,,,goal,,True,323434856.0,regular,1082406.0,Matías Soulé,,,,,
13981469,,,,,74,,,17,,,substitution,,False,124633280.0,regular,,,,,,,False
13981469,,,,,71,,,20,,,substitution,,True,124633214.0,regular,,,,,,,False
13981469,,,,,60,,,31,,,substitution,,True,124633065.0,regular,,,,,,,False
13981469,,,,,59,,,32,,,substitution,,True,124633064.0,regular,,,,,,,False
13981469,,,,,59,,,32,,,substitution,,True,124632974.0,regular,,,,,,,False
13981469,,,,,53,,,38,,,card,,False,123972593.0,yellow,287057.0,Roberto Gagliardini,Roberto Gagliardini,Foul,False,,
13981469,,,,,46,,,45,,,substitution,,False,124632725.0,regular,,,,,,,False
13981469,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
13981469,,,,,45,,,1,,,card,,False,123972283.0,yellow,892521.0,Unai Núñez,Unai Núñez,Foul,False,,
13981469,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,2.0,
13981469,,,,,12,,,34,,,card,,False,123971839.0,yellow,164511.0,Jean-Daniel Akpa Akpro,Jean-Daniel Akpa Akpro,Foul,False,,
13981469,,1.0,0.0,,7,,,39,,,goal,,True,323428052.0,regular,798820.0,Artem Dovbyk,,,,,
