match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_blockedScoringAttempt,stat_expectedGoals,stat_keyPass,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_totalContest,captain,stat_challengeLost,stat_wonContest,stat_totalOffside,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals
13472905,home,Ceará,Bruno Ferreira,Bruno Ferreira,Ventura Diniz,bruno-ferreira,B. Ferreira,G,94,197,350,M,1066241,EUR,763776000,G,94,94,False,29.0,21.0,16.0,8.0,0.0,14.0,14.0,7.0,15.0,2.0,5.0,1.0,2.0,2.0,90.0,37.0,7.3,8.0,0.00381846,0,0.1772,,,,,,,,,,,,,,,,,,,,,,,,,,
13472905,home,Ceará,Fabiano Souza,,,fabiano-silva,F. Souza,D,70,175,374,M,1130513,EUR,952992000,D,70,70,False,41.0,34.0,3.0,1.0,0.0,14.0,15.0,20.0,26.0,2.0,4.0,,,,90.0,59.0,7.0,11.0,0.122531,1,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0149,1.0,,,,,,,,,,,,,,,,,
13472905,home,Ceará,Marcos Victor,Marcos Victor,,marcos-victor,M. Victor,D,44,184,514,M,1174196,EUR,1009324800,D,44,44,False,31.0,27.0,2.0,,0.0,21.0,23.0,6.0,8.0,5.0,2.0,,,,90.0,44.0,7.2,5.0,0.0016307,1,,,2.0,1.0,2.0,3.0,,,0.0584,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
13472905,home,Ceará,Willian Machado,,,willian-machado,W. Machado,D,23,185,452,M,925871,EUR,847843200,D,23,23,False,41.0,34.0,4.0,4.0,0.0,30.0,32.0,4.0,9.0,5.0,2.0,,,,90.0,52.0,7.2,8.0,0.00157334,0,,,1.0,1.0,2.0,2.0,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,
13472905,home,Ceará,Nicolas,,,nicolas,Nicolas,D,30,180,238,M,841336,EUR,856742400,D,30,30,False,31.0,24.0,3.0,,0.0,12.0,15.0,12.0,16.0,1.0,6.0,,,,89.0,47.0,6.5,12.0,0.00624472,1,,2.0,,,5.0,2.0,,,0.0182,,1.0,1.0,1.0,1.0,,,1.0,4.0,1.0,,,,,,,,
13472905,home,Ceará,Richardson,,,richardson,Richardson,M,26,173,291,M,870758,EUR,682387200,M,26,26,False,26.0,20.0,2.0,,0.0,9.0,10.0,11.0,16.0,,4.0,,,,71.0,32.0,7.0,7.0,0.00862395,0,,,1.0,1.0,3.0,6.0,,,,2.0,,5.0,3.0,,,,,,1.0,True,1.0,,,,,,
13472905,home,Ceará,Dieguinho,,,dieguinho,Dieguinho,M,20,175,466,M,1016930,EUR,815097600,M,20,20,False,33.0,26.0,6.0,4.0,0.0,16.0,19.0,10.0,14.0,,3.0,,,,89.0,45.0,7.1,10.0,0.0231184,1,,1.0,1.0,1.0,3.0,7.0,,,0.0161,1.0,1.0,2.0,1.0,2.0,,2.0,4.0,2.0,,,1.0,,,,,,
13472905,home,Ceará,Antonio Galeano,,,antonio-galeano,Galeano,M,27,169,1101,M,883207,EUR,953683200,M,27,27,False,30.0,24.0,2.0,1.0,1.0,10.0,12.0,14.0,18.0,,3.0,,,,90.0,42.0,7.0,10.0,0.0661531,0,,2.0,,,5.0,5.0,,,,1.0,,2.0,1.0,1.0,,,2.0,2.0,2.0,,2.0,1.0,1.0,,,,
13472905,home,Ceará,Lourenço,,,lourenco,Lourenço,M,97,169,376,M,879871,EUR,873590400,M,97,97,False,14.0,13.0,,,0.0,4.0,4.0,9.0,10.0,,1.0,,,,66.0,27.0,7.0,5.0,0.0658935,1,,4.0,1.0,,2.0,3.0,,,0.0287,,,,,1.0,,1.0,3.0,1.0,,,,,,1.0,1.0,0.0886,
13472905,home,Ceará,Aylon,,,aylon,Aylon,F,11,180,434,M,364528,EUR,702604800,M,11,11,False,12.0,9.0,,,0.0,4.0,5.0,5.0,7.0,,2.0,,,,66.0,22.0,7.3,6.0,0.0213307,2,,,2.0,1.0,7.0,3.0,2.0,,0.2486,,,,,1.0,,,1.0,3.0,1.0,,,1.0,,,2.0,0.3091,1.0
