match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,player_firstName,player_lastName,captain,stat_aerialLost,stat_challengeLost,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_wasFouled,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_dispossessed,stat_bigChanceMissed,stat_outfielderBlock
14109665,home,Kasımpaşa,Andreas Gianniotis,andreas-gianniotis,A. Gianniotis,G,1,190.0,177,M,236746,EUR,724636800,G,1,1,False,33.0,23.0,19.0,9.0,0.0,17.0,18.0,6.0,15.0,1.0,16.0,1.0,2.0,5.0,1.0,90.0,46.0,7.5,11.0,0.00093875,0.6111,0,0.5218,0.01,0.01,-0.02,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109665,home,Kasımpaşa,Nicholas Opoku,nicholas-opoku,N. Opoku,D,20,190.0,508,M,885683,EUR,871257600,D,20,20,False,48.0,47.0,2.0,1.0,0.0,28.0,28.0,19.0,20.0,2.0,3.0,,,,,90.0,58.0,7.0,1.0,0.0137674,,1,,0.19,0.04,0.15,,2.0,2.0,5.0,1.0,1.0,3.0,2.0,2.0,0.0957,-0.51,,,,,,,,,,,,,,,,,,,,
14109665,home,Kasımpaşa,Attila Szalai,attila-szalai,A. Szalai,D,41,192.0,2464,M,823092,EUR,885254400,D,41,41,False,54.0,47.0,11.0,7.0,0.0,25.0,25.0,22.0,29.0,3.0,3.0,,,,,90.0,60.0,7.3,8.0,0.296873,,1,,0.46,0.11,-0.19,,3.0,3.0,3.0,1.0,,,,,0.0177,-0.16,,,True,1.0,2.0,1.0,2.0,,,,,,,,,,,,,
14109665,home,Kasımpaşa,Godfried Frimpong,godfried-frimpong,G. Frimpong,D,21,180.0,172,M,931743,EUR,924652800,D,21,21,False,36.0,33.0,2.0,,0.0,18.0,20.0,15.0,16.0,2.0,10.0,,,,,90.0,47.0,6.4,6.0,0.00722329,,1,,0.0,0.1,-0.07,,1.0,1.0,1.0,,,,,1.0,0.0414,-0.1,,,,,,1.0,,2.0,1.0,0.3046,,,,,,,,,,
14109665,home,Kasımpaşa,Cláudio Winck,claudio-winck,C. Winck,D,2,183.0,184,M,155998,EUR,766368000,M,2,2,False,30.0,22.0,3.0,1.0,0.0,7.0,7.0,15.0,23.0,,1.0,,,,,90.0,56.0,7.6,17.0,0.0351717,,2,,0.09,0.2,-0.07,,3.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,0.909,0.45,,,,2.0,,2.0,,5.0,1.0,0.9944,1.0,3.0,,,,,,,,
14109665,home,Kasımpaşa,Cem Üstündag,cem-ustundag,C. Üstündag,M,6,,49,M,1387006,EUR,979948800,M,6,6,False,24.0,20.0,1.0,1.0,0.0,10.0,12.0,10.0,12.0,1.0,2.0,,,,,67.0,31.0,6.3,6.0,0.00741489,,0,,-0.03,0.07,-0.14,,2.0,7.0,3.0,,1.0,,,3.0,,,,,,3.0,1.0,2.0,,,,,,,1.0,1.0,,,,,,
14109665,home,Kasımpaşa,Andri Baldursson,andri-baldursson,A. Baldursson,M,16,187.0,234,M,932856,EUR,1010620800,M,16,16,False,28.0,25.0,2.0,1.0,0.0,10.0,10.0,15.0,18.0,,2.0,,,,,90.0,34.0,6.4,4.0,0.0174447,,0,,0.24,0.02,-0.2,,1.0,6.0,3.0,,,1.0,1.0,2.0,,,,,,1.0,3.0,1.0,,,,,,1.0,,,,,,,,
14109665,home,Kasımpaşa,Mortadha Ben Ouanes,mortadha-ben-ouanes,M. B. Ouanes,M,12,182.0,1246,M,919225,EUR,773107200,M,12,12,False,46.0,35.0,5.0,2.0,0.0,8.0,9.0,27.0,37.0,2.0,8.0,,,,,90.0,66.0,6.6,19.0,0.036696,,2,,0.24,0.07,0.16,,,3.0,2.0,,,1.0,,,0.1661,-0.36,,,,1.0,,5.0,2.0,1.0,,,,1.0,2.0,,2.0,,,,,
14109665,home,Kasımpaşa,Fousseni Diabaté,fousseni-diabate,F. Diabaté,M,34,175.0,1077,M,796374,EUR,813974400,F,34,34,False,27.0,21.0,3.0,1.0,0.0,4.0,4.0,17.0,23.0,,2.0,,,,,79.0,44.0,7.9,17.0,0.549502,,0,,0.85,0.29,-0.1,,1.0,2.0,4.0,,,,,,,,,,,,2.0,4.0,4.0,9.0,,,,3.0,,,,3.0,1.0,,,
14109665,home,Kasımpaşa,Pape Habib Gueye,pape-habib-gueye,P. H. Gueye,F,77,188.0,366,M,880778,EUR,937785600,F,77,77,False,20.0,16.0,2.0,1.0,0.0,2.0,3.0,14.0,17.0,2.0,3.0,,,,,90.0,40.0,6.1,13.0,0.167868,,2,,0.12,0.19,-0.04,,4.0,13.0,6.0,2.0,1.0,,,5.0,0.26,-0.62,,,,4.0,1.0,5.0,,1.0,,,,,3.0,2.0,,,,2.0,1.0,
