match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_penaltyWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_challengeLost,stat_wonContest,stat_fouls,stat_bigChanceCreated,stat_keyPass,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_penaltyFaced,stat_punches,stat_hitWoodwork,stat_penaltyConceded,stat_totalOffside
14035956,home,SV Zulte Waregem,Brent Gabriel,,,gabriel-brent,B. Gabriel,G,13,190,75,M,861977,EUR,917395200,G,13,13,False,46.0,36.0,23.0,13.0,0.0,30.0,30.0,6.0,16.0,9.0,1.0,2.0,2.0,90.0,55.0,7.6,10.0,0.00508137,112.05891979215,20.0,61.11,8.4,0.5003,0,0.6247,0.2,0.02,-0.14,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035956,home,SV Zulte Waregem,Benoit Nyssen,,,benoit-nyssen,B. Nyssen,D,19,186,33,M,938190,EUR,874022400,D,19,19,False,66.0,55.0,12.0,6.0,0.0,32.0,34.0,23.0,32.0,5.0,,,,66.0,86.0,6.7,18.0,0.0672681,152.06683959549,21.0,70.56,16.485,,0,,0.25,-0.51,-0.1,,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14035956,home,SV Zulte Waregem,Anton Tanghe,,,tanghe-anton,A. Tanghe,D,3,194,72,M,1005175,EUR,917481600,D,3,3,False,43.0,39.0,8.0,6.0,0.0,33.0,34.0,6.0,9.0,1.0,,,,45.0,47.0,7.5,4.0,0.0190161,96.171490725772,14.0,28.56,15.225,,1,,0.13,0.02,-0.17,,,,4.0,3.0,,1.0,,,,,,True,4.0,2.0,1.0,1.0,1.0,1.0,0.7884,0.8549,0.32,,,,,,,,,,,,,,
14035956,home,SV Zulte Waregem,Laurent Lemoine,,,laurent-lemoine,L. Lemoine,D,4,184,39,M,822698,EUR,893376000,D,4,4,False,85.0,77.0,3.0,2.0,0.0,68.0,70.0,9.0,15.0,5.0,,,,90.0,103.0,6.8,9.0,0.0111597,153.3250301158,26.0,19.32,20.58,,0,,0.11,0.08,-0.32,,,,5.0,7.0,,10.0,,,1.0,1.0,1.0,,4.0,5.0,,,1.0,,,,,1.0,,,,,,,,,,,,,
14035956,home,SV Zulte Waregem,Yannick Cappelle,,,yannick-cappelle,Y. Cappelle,D,55,180,117,M,1506998,EUR,1057536000,D,55,55,False,59.0,47.0,10.0,6.0,0.0,32.0,35.0,15.0,24.0,7.0,,,,61.0,76.0,6.6,20.0,0.0642821,296.59588657245,33.0,183.33,27.51,,0,,-0.01,0.18,-0.18,,5.0,1.0,2.0,3.0,3.0,,,,1.0,1.0,1.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
14035956,home,SV Zulte Waregem,Tochukwu Nnadi,,,tochukwu-nadi,T. Nnadi,M,21,176,966,M,1191892,EUR,1056931200,M,21,21,False,54.0,47.0,14.0,9.0,0.0,28.0,29.0,19.0,25.0,6.0,,,,90.0,65.0,7.0,9.0,0.0266663,121.23597109378,16.0,0.73500000000001,8.715,,0,,0.3,0.0,-0.09,,1.0,,1.0,3.0,,,,3.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,
14035956,home,SV Zulte Waregem,Thomas Claes,,,claes-thomas,T. Claes,M,8,181,137,M,1188173,EUR,1080259200,M,8,8,False,63.0,57.0,5.0,5.0,0.0,32.0,34.0,25.0,29.0,5.0,,,,90.0,74.0,6.8,10.0,0.151553,225.93243488421,25.0,43.575,25.095,,0,,0.44,0.3,-0.22,,4.0,1.0,6.0,2.0,,,,,1.0,1.0,1.0,,2.0,,,,1.0,,,,,2.0,,2.0,1.0,2.0,,,,,,,,,
14035956,home,SV Zulte Waregem,Emran Soglo,Emran Soglo,,soglo-emran,E. Soglo,D,17,178,351,M,1403124,EUR,1121040000,M,17,17,False,46.0,37.0,4.0,1.0,0.0,13.0,13.0,24.0,33.0,4.0,,,,90.0,70.0,6.6,15.0,0.200766,188.42885364038,25.0,-7.9800000000001,11.55,,3,,0.38,0.14,-0.16,,2.0,,10.0,6.0,3.0,,,,3.0,1.0,,,2.0,,1.0,,2.0,,0.4528,0.0205,-0.55,2.0,1.0,3.0,,,1.0,1.0,1.0,1.0,,,,,
14035956,home,SV Zulte Waregem,Jeppe Erenbjerg,,,erenbjerg-jeppe,J. Erenbjerg,M,10,184,356,M,1035095,EUR,956966400,M,24,24,False,33.0,29.0,1.0,,0.0,8.0,8.0,21.0,25.0,1.0,,,,77.0,46.0,6.3,12.0,0.0416455,116.30592651636,15.0,-7.98,8.085,,1,,0.18,0.09,-0.07,,1.0,,6.0,,3.0,,,,,,3.0,,2.0,,,,,,0.0683,,-0.21,,,,,1.0,1.0,,,1.0,,,,,
14035956,home,SV Zulte Waregem,Joseph Opoku,Joseph Okopu,,joseph-okopu,J. Okopu,M,22,179,340,M,1933796,EUR,1123459200,M,22,22,False,15.0,12.0,1.0,1.0,0.0,6.0,8.0,6.0,7.0,1.0,,,,77.0,24.0,7.4,6.0,0.0336324,99.582753628323,9.0,28.77,22.155,,2,,-0.22,0.35,-0.06,,1.0,,4.0,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,,0.1479,0.4922,0.52,,,2.0,,2.0,2.0,,1.0,,,,,,
