match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_keyPass,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,captain,stat_bigChanceMissed,stat_totalContest,stat_dispossessed,stat_wonContest,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_keeperSaveValue,stat_errorLeadToAShot,stat_goals
14723574,home,Manchester United,Senne Lammens,,,senne-lammens,S. Lammens,G,31,193,27298,M,964753,EUR,1026000000,G,31,31,False,18.0,14.0,4.0,1.0,0.0,12.0,14.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,25.0,6.4,5.0,0.00035567,30.868552724142,5.0,16.695,7.56,0,-0.5824,0.01,0.0,-0.08,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14723574,home,Manchester United,Leny Yoro,Leny Yoro,,leny-yoro,L. Yoro,D,15,190,20033,M,1153315,EUR,1131840000,D,15,15,False,85.0,77.0,3.0,2.0,0.0,26.0,30.0,51.0,55.0,7.0,3.0,7.0,1.0,,2.0,,,,90.0,97.0,7.2,10.0,0.0967712,341.2418085729,29.0,281.19,34.755,0,,0.34,0.27,-0.18,,YL15,5.0,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
14723574,home,Manchester United,Matthijs de Ligt,,,matthijs-de-ligt,M. de Ligt,D,4,188,32684,M,803031,EUR,934416000,D,4,4,False,67.0,61.0,2.0,1.0,0.0,35.0,38.0,26.0,29.0,5.0,4.0,3.0,,,,,,,90.0,82.0,7.5,6.0,0.285056,149.04351132856,22.0,57.855,19.425,3,,0.44,0.2,0.19,,mdeligt,4.0,5.0,,2.0,1.0,,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.4011,0.6834,0.16,,,,,,,,,,,,
14723574,home,Manchester United,Luke Shaw,,,luke-shaw,L. Shaw,D,23,178,17970,M,190839,EUR,805507200,D,23,23,False,95.0,88.0,3.0,2.0,0.0,32.0,35.0,56.0,60.0,6.0,1.0,4.0,4.0,3.0,,,,,90.0,110.0,7.1,11.0,0.420343,386.28753079267,38.0,304.71,34.44,0,,0.35,0.24,-0.13,,lukeshaw23,2.0,8.0,1.0,1.0,,1.0,3.0,4.0,,6.0,,,,,,,,,,,,,,,,,,,,
14723574,home,Manchester United,Noussair Mazraoui,,,noussair-mazraoui,N. Mazraoui,D,3,183,53635,M,847030,EUR,879465600,M,3,3,False,31.0,28.0,2.0,1.0,0.0,16.0,16.0,12.0,15.0,,1.0,5.0,,,1.0,,,,45.0,37.0,6.3,6.0,0.012844,63.982847652657,10.0,27.51,8.4,0,,-0.12,0.05,-0.08,,nousmaz97,,3.0,1.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,
14723574,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,235526,M,288205,EUR,778982400,M,8,8,False,98.0,90.0,8.0,7.0,0.0,22.0,22.0,68.0,76.0,,2.0,7.0,,,,,,,90.0,116.0,7.6,13.0,0.299566,297.22577460018,41.0,147.315,19.635,5,,0.59,0.33,-0.07,,BrunoFernandes,,2.0,1.0,1.0,,,2.0,5.0,1.0,1.0,,3.0,1.0,1.0,,0.3392,0.1012,-0.52,True,1.0,,,,,,,,,,
14723574,home,Manchester United,Casemiro,,,casemiro,Casemiro,M,18,185,86039,M,122951,EUR,698803200,M,18,18,False,48.0,42.0,4.0,2.0,0.0,12.0,16.0,30.0,32.0,3.0,,3.0,,,1.0,,,,58.0,58.0,6.8,7.0,0.096324,115.32235254966,14.0,72.975,18.48,2,,0.37,0.19,-0.07,,Casemiro,1.0,4.0,,,2.0,2.0,1.0,,,2.0,,1.0,,1.0,,0.0764,,-0.28,,,,,,,,,,,,
14723574,home,Manchester United,Patrick Dorgu,,,dorgu-patrick,P. Dorgu,M,13,185,26643,M,1397168,EUR,1098748800,M,13,13,False,24.0,18.0,,,0.0,7.0,9.0,11.0,15.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,58.0,40.0,6.3,11.0,0.0181294,131.73890743841,14.0,89.355,24.36,1,,-0.18,0.17,0.2,,Odogwu,,5.0,,,,2.0,1.0,3.0,,4.0,,1.0,,,,0.121,,-0.28,,1.0,,,,,,,,,,
14723574,home,Manchester United,Bryan Mbeumo,,,bryan-mbeumo,B. Mbeumo,M,19,173,110440,M,927083,EUR,933984000,F,19,19,False,34.0,25.0,1.0,1.0,0.0,4.0,4.0,21.0,30.0,4.0,,3.0,3.0,1.0,6.0,,,,90.0,60.0,6.4,23.0,0.323219,226.22839516502,23.0,130.83,25.725,3,,-0.24,0.4,-0.05,,bryan_m19,1.0,4.0,,,,1.0,1.0,7.0,2.0,,,1.0,1.0,1.0,,0.1473,0.2507,0.07,,,3.0,,,,,,,,,
14723574,home,Manchester United,Amad Diallo,,,diallo-amad,A. Diallo,F,16,173,104228,M,971037,EUR,1026345600,F,16,16,False,49.0,43.0,,,0.0,12.0,13.0,31.0,36.0,9.0,2.0,4.0,1.0,,6.0,,,,90.0,85.0,7.1,20.0,0.129745,221.4116859294,28.0,72.03,35.7,5,,-0.16,0.36,0.13,,AmadDiallo19,2.0,5.0,,1.0,2.0,1.0,4.0,5.0,1.0,1.0,,2.0,1.0,2.0,,0.1563,0.0257,-0.53,,,5.0,2.0,4.0,,,,,,,
