match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_totalOffside,stat_expectedGoals,player_firstName,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,player_lastName,stat_bigChanceCreated,stat_bigChanceMissed,stat_keyPass,stat_dispossessed,stat_wasFouled,player_sofascoreId,captain,stat_goals,stat_hitWoodwork,stat_punches,stat_penaltyWon
13472837,home,Botafogo,Léo Linck,leo-linck,L. Linck,G,24,194,1042,M,1119887,EUR,983577600,G,24,24,False,26.0,19.0,12.0,5.0,0.0,15.0,17.0,4.0,9.0,1.0,7.0,1.0,2.0,1.0,5.0,90.0,36.0,7.3,7.0,0.00263765,0,0.0845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472837,home,Botafogo,Vitinho,vitinho,Vitinho,D,2,175,3615,M,914477,EUR,932688000,D,2,2,False,37.0,35.0,,,0.0,14.0,14.0,21.0,23.0,6.0,2.0,,,,,90.0,63.0,6.5,9.0,0.140695,1,,5.0,1.0,1.0,4.0,5.0,6.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0193,,,,,,,,,,,,,,,,,
13472837,home,Botafogo,Newton,newton,Newton,M,28,188,888,M,1463909,EUR,952819200,D,28,28,False,45.0,41.0,4.0,,0.0,30.0,32.0,11.0,13.0,10.0,,,,,,90.0,58.0,6.8,4.0,0.00278861,0,,,,3.0,4.0,4.0,4.0,,,,,1.0,,,,,1.0,,,Newton,1.0,,,,,,,,,,,,,,,
13472837,home,Botafogo,Alexander Barboza,alexander-barboza,A. Barboza,D,20,193,2577,M,801044,EUR,795312000,D,20,20,False,52.0,46.0,11.0,9.0,0.0,27.0,29.0,19.0,23.0,7.0,4.0,,,,,90.0,71.0,7.2,9.0,0.0349546,2,,,,2.0,4.0,3.0,5.0,,1.0,,,1.0,1.0,1.0,2.0,,1.0,,0.1578,,,1.0,1.0,0.0436,,,,,,,,,,,,
13472837,home,Botafogo,Cuiabano,cuiabano,Cuiabano,D,6,179,2699,M,1160554,EUR,1045353600,D,6,6,False,26.0,20.0,3.0,,0.0,6.0,8.0,14.0,18.0,3.0,3.0,,,,,78.0,50.0,6.2,14.0,0.0789756,1,,2.0,,1.0,,4.0,,,2.0,,1.0,,,,2.0,,1.0,,0.2408,Cuiabano,,,,,,1.0,1.0,1.0,,,,,,,,
13472837,home,Botafogo,Santiago Rodríguez,santiago-rodriguez,S. Rodríguez,M,23,172,1846,M,975216,EUR,947289600,M,23,23,False,38.0,32.0,1.0,1.0,0.0,6.0,6.0,26.0,32.0,,6.0,,,,,90.0,63.0,7.3,16.0,0.191758,2,,8.0,2.0,3.0,1.0,7.0,4.0,1.0,2.0,,1.0,,2.0,2.0,,,,,0.2791,,,1.0,,0.1715,,1.0,,2.0,1.0,1.0,,,,,,
13472837,home,Botafogo,Danilo,danilo,Danilo,M,8,177,5268,M,1064039,EUR,988502400,M,35,35,False,42.0,38.0,10.0,7.0,0.0,16.0,17.0,22.0,25.0,,6.0,,,,,78.0,60.0,7.5,8.0,0.013917,2,,,,1.0,,3.0,7.0,1.0,4.0,4.0,,,3.0,1.0,2.0,,,1.0,0.1936,,,2.0,,0.7712,,,,,1.0,,Danilo,,,,,
13472837,home,Botafogo,Marlon Freitas,marlon-freitas,M. Freitas,M,17,185,3107,M,840202,EUR,796262400,M,17,17,False,65.0,58.0,14.0,11.0,0.0,23.0,24.0,35.0,41.0,1.0,6.0,,,,,90.0,74.0,7.1,7.0,0.300784,1,,1.0,1.0,,,4.0,1.0,2.0,,,,1.0,1.0,,,,2.0,,0.0416,,,,1.0,,,1.0,,2.0,,,,True,,,,
13472837,home,Botafogo,Jeffinho,jeffinho,Jeffinho,M,47,177,1438,M,1016948,EUR,946512000,M,47,47,False,14.0,11.0,,,2.0,4.0,5.0,7.0,9.0,,,,,,,71.0,34.0,8.0,9.0,0.238682,2,,,,,,5.0,6.0,,5.0,2.0,1.0,,4.0,2.0,2.0,,1.0,,0.1419,,,1.0,,0.226,,1.0,1.0,2.0,1.0,,,,,,,
13472837,home,Botafogo,Chris Ramos,chris-ramos,C. Ramos,F,9,193,1665,M,914819,EUR,853545600,F,9,9,False,11.0,7.0,,,0.0,2.0,3.0,5.0,8.0,2.0,1.0,,,,,89.0,28.0,6.5,11.0,0.00850666,2,,,,2.0,6.0,11.0,10.0,1.0,2.0,,1.0,1.0,1.0,1.0,3.0,,5.0,1.0,0.0906,,,1.0,,0.2036,,,1.0,,1.0,3.0,,,,,,
