match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_outfielderBlock,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_bigChanceMissed,captain,stat_totalOffside,stat_goals,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_goodHighClaim,stat_clearanceOffLine
11409041,home,SC Farense,Ricardo Velho,ricardo-velho,R. Velho,G,24,188,499,M,845792,EUR,903571200,G,33,33,False,28.0,17.0,15.0,4.0,13.0,13.0,4.0,15.0,1.0,10.0,2.0,3.0,1.0,90.0,40.0,6.8,12.0,0.00046652,1.0,0,-0.1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409041,home,SC Farense,Pastor,pastor,Pastor,D,2,176,138,M,1046354,EUR,951004800,D,28,28,False,33.0,21.0,3.0,,16.0,22.0,6.0,12.0,2.0,4.0,,,,90.0,49.0,6.9,14.0,0.0243306,2.0,0,,1.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
11409041,home,SC Farense,Gonçalo Silva,goncalo-silva,G. Silva,D,37,184,75,M,169729,EUR,675993600,D,37,37,False,42.0,32.0,8.0,1.0,26.0,27.0,6.0,16.0,5.0,2.0,,,,90.0,60.0,6.9,12.0,0.00123116,,1,,1.0,,2.0,4.0,5.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0558,0.082,,,,,,,,,,,,,,,,,
11409041,home,SC Farense,Zach Muscat,zach-muscat,Z. Muscat,D,22,184,90,M,97622,EUR,745977600,D,6,6,False,51.0,43.0,11.0,5.0,33.0,35.0,10.0,16.0,1.0,2.0,,,,87.0,59.0,6.9,9.0,0.00313618,,0,,,,,2.0,3.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,3.0,,,,,,,,,,,,,,,
11409041,home,SC Farense,Talocha,talocha,Talocha,D,31,180,43,M,778216,EUR,620438400,D,31,31,False,46.0,29.0,12.0,3.0,16.0,22.0,16.0,29.0,4.0,7.0,,,,90.0,82.0,7.4,25.0,0.0255002,1.0,1,,5.0,3.0,1.0,3.0,8.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,,0.0202,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,
11409041,home,SC Farense,Claudio Falcão,claudio-falcao,C. Falcão,D,29,187,132,M,845699,EUR,773193600,M,29,29,False,28.0,19.0,6.0,2.0,14.0,17.0,5.0,12.0,5.0,5.0,,,,90.0,45.0,6.9,12.0,0.0032292,,2,,1.0,,3.0,9.0,9.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,,0.1542,,,,3.0,3.0,1.0,1.0,,,,,,,,,,,
11409041,home,SC Farense,Facundo Cáseres,facundo-caseres,F. Cáseres,M,5,178,226,M,989837,EUR,991008000,M,5,5,False,16.0,12.0,5.0,4.0,10.0,12.0,2.0,4.0,,2.0,,,,59.0,22.0,7.0,4.0,0.00749718,,0,,,,,,6.0,,,4.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
11409041,home,SC Farense,Elves Baldé,elves-balde,E. Baldé,F,21,168,195,M,846040,EUR,938822400,M,7,7,False,6.0,4.0,1.0,,2.0,3.0,3.0,5.0,,5.0,,,,59.0,18.0,6.3,8.0,0.0444066,1.0,2,,2.0,1.0,,5.0,2.0,2.0,,,,2.0,2.0,1.0,,,0.0353,,,,2.0,,1.0,1.0,,,,,,,,,,,
11409041,home,SC Farense,Mattheus,mattheus,Mattheus,M,,182,151,M,243575,EUR,773539200,M,27,27,False,44.0,36.0,4.0,2.0,21.0,24.0,16.0,23.0,1.0,3.0,,,,90.0,60.0,7.2,11.0,0.0557888,4.0,7,,3.0,1.0,2.0,5.0,3.0,1.0,,,,1.0,1.0,2.0,2.0,2.0,0.6393,0.0856,,,,,4.0,1.0,,,1.0,,,,,,,,
11409041,home,SC Farense,Marco Matias,marco-matias,M. Matias,F,77,177,35,M,77929,EUR,610761600,M,77,77,False,6.0,4.0,,,3.0,3.0,1.0,6.0,,2.0,,,,45.0,19.0,6.7,8.0,0.00073987,,0,,3.0,,,3.0,5.0,,,,,1.0,4.0,1.0,,,,,2.0,,1.0,1.0,,,,,,True,1.0,,,,,,
