match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_fouls,stat_dispossessed,stat_wonTackle,stat_ownGoals,stat_challengeLost,stat_interceptionWon,stat_wasFouled,stat_totalOffside,stat_totalCross,stat_unsuccessfulTouch,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,captain,stat_outfielderBlock,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,player_sofascoreId,stat_goals,stat_goodHighClaim,stat_blockedScoringAttempt
12764168,home,Celtic,Kasper Schmeichel,kasper-schmeichel,K. Schmeichel,G,1,189,3870,M,1076,EUR,531532800,G,1,1,False,41.0,40.0,3.0,3.0,0.0,40.0,41.0,11.0,1.0,3.0,90.0,52.0,6.9,1.0,0.00017886,0,-0.6816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764168,home,Celtic,Alistair Johnston,alistair-johnston,A. Johnston,D,2,180,903,M,984419,EUR,907804800,D,2,2,False,62.0,56.0,2.0,,0.0,34.0,35.0,2.0,,,90.0,75.0,6.4,8.0,0.0283493,0,,,,22.0,27.0,3.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12764168,home,Celtic,Cameron Carter-Vickers,cameron-carter-vickers,C. Carter-Vickers,D,20,185,947,M,795972,EUR,883526400,D,20,20,False,148.0,139.0,5.0,3.0,0.0,81.0,85.0,6.0,,,90.0,160.0,7.1,11.0,0.0297196,0,,,,58.0,63.0,1.0,7.0,2.0,9.0,,3.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12764168,home,Celtic,Auston Trusty,auston-trusty,A. Trusty,D,6,188,826,M,822459,EUR,902880000,D,6,6,False,122.0,118.0,4.0,2.0,0.0,76.0,79.0,3.0,,,90.0,133.0,7.2,5.0,0.024889,0,,,,42.0,43.0,,2.0,2.0,5.0,,3.0,1.0,,1.0,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
12764168,home,Celtic,Greg Taylor,greg-taylor,G. Taylor,D,32,174,526,M,839097,EUR,878688000,D,3,3,False,41.0,33.0,4.0,1.0,0.0,21.0,24.0,2.0,,,59.0,53.0,6.4,11.0,0.0180897,0,,,,12.0,18.0,2.0,,3.0,1.0,,,1.0,,,,,1.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,
12764168,home,Celtic,Arne Engels,engels-arne,A. Engels,M,27,185,1612,M,1001867,EUR,1062979200,M,27,27,False,20.0,15.0,2.0,,0.0,10.0,12.0,3.0,,,59.0,26.0,6.7,6.0,0.00969012,1,,,,5.0,9.0,,,1.0,2.0,1.0,,,1.0,,,,,1.0,1.0,,1.0,,1.0,1.0,0.074,,,,,,,,,,,,
12764168,home,Celtic,Callum McGregor,callum-mcgregor,C. McGregor,M,42,178,978,M,97046,EUR,740016000,M,42,42,False,75.0,71.0,,,0.0,29.0,31.0,6.0,,,90.0,88.0,7.0,8.0,0.0514965,0,,,,42.0,44.0,,,2.0,,1.0,2.0,,,1.0,,,,2.0,,,,2.0,,,,True,1.0,1.0,,,,,,,,,
12764168,home,Celtic,Reo Hatate,reo-hatate,R. Hatate,M,41,172,2324,M,891153,EUR,880070400,M,41,41,False,47.0,39.0,2.0,1.0,0.0,20.0,23.0,2.0,,,90.0,61.0,7.1,14.0,0.0402563,3,,,,19.0,24.0,,,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,,,5.0,1.0,2.0,0.3358,,,,1.0,1.0,0.5677,,,,,,
12764168,home,Celtic,Nicolas-Gerrit Kühn,nicolas-gerrit-kuhn,N. Kühn,F,19,174,2316,M,877835,EUR,946684800,F,10,10,False,37.0,27.0,3.0,2.0,0.0,8.0,10.0,,,,88.0,59.0,7.1,23.0,0.63008,0,,,,20.0,29.0,1.0,1.0,6.0,3.0,5.0,,1.0,1.0,,1.0,,,,,,2.0,5.0,1.0,,,,,3.0,,,,1.0,2.0,,,,
12764168,home,Celtic,Kyogo Furuhashi,furuhashi-kyogo,K. Furuhashi,F,9,170,4163,M,877766,EUR,790560000,F,8,8,False,5.0,3.0,,,0.0,1.0,1.0,1.0,,,76.0,10.0,6.3,3.0,0.00161603,1,,,,2.0,4.0,,,,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,0.4766,,,,1.0,1.0,0.3301,,,Kyogo_Furuhashi,,,
