match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_fouls,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_aerialLost,stat_challengeLost,stat_hitWoodwork,stat_dispossessed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_savedShotsFromInsideTheBox,stat_saves,stat_errorLeadToAShot,stat_goodHighClaim,stat_goalAssist,stat_goals
10385470,home,Newcastle United,Allan Saint-Maximin,,,allan-saint-maximin,A. Saint-Maximin,F,9,173,12573,M,st_maximin,347010,EUR,858124800,F,10,10,False,31.0,26.0,2.0,5.0,5.0,27.0,,3.0,1.0,,,,90.0,48.0,7.9,10.0,0.1641,0.2529,0.285633,3,,,2.0,22.0,1.0,1.0,6.0,7.0,9.0,7.0,1.0,,,,,,2.0,,,2.0,,,2.0,1.0,2.0,1.0,,,,,,,
10385470,home,Newcastle United,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,190,3081,M,,42209,EUR,600825600,G,1,1,True,15.0,12.0,7.0,9.0,10.0,5.0,,10.0,,,2.0,2.0,66.0,28.0,7.6,3.0,0.0,0.0,0.00059057,0,1.0526,,4.0,3.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,2.0,5.0,,,,
10385470,home,Newcastle United,Callum Wilson,,,callum-wilson,C. Wilson,F,9,180,3241,M,,113956,EUR,699148800,F,9,9,True,3.0,3.0,1.0,1.0,1.0,2.0,,,4.0,,,,26.0,11.0,6.3,5.0,0.4453,0.751,0.00133257,1,,,1.0,2.0,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,
10385470,home,Newcastle United,Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176,3564,M,,372336,EUR,793584000,M,23,23,True,12.0,11.0,3.0,3.0,3.0,10.0,,2.0,,,,,26.0,20.0,6.8,3.0,0.0,0.0,0.0101501,0,,,2.0,8.0,1.0,,1.0,3.0,3.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10385470,home,Newcastle United,Anthony Gordon,,,gordon-anthony,A. Gordon,F,10,183,15696,M,AGordon,914902,EUR,982972800,F,8,8,True,16.0,15.0,2.0,6.0,7.0,9.0,,4.0,2.0,1.0,,,26.0,25.0,6.7,6.0,0.0,0.0,0.104266,0,,,2.0,9.0,,,3.0,2.0,4.0,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,
10385470,home,Newcastle United,Matt Ritchie,,,matt-ritchie,M. Ritchie,M,30,173,303,M,,42699,EUR,621388800,M,11,11,True,14.0,10.0,,5.0,8.0,7.0,,2.0,,,,,19.0,18.0,6.9,5.0,0.0,0.0,0.00571915,0,,,,5.0,1.0,,,3.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
10385470,home,Newcastle United,Jamaal Lascelles,,,jamaal-lascelles,J. Lascelles,D,24,188,1036,M,,153444,EUR,752976000,D,6,6,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385470,home,Newcastle United,Paul Dummett,,,paul-dummett,P. Dummett,D,,183,154,M,,185995,EUR,685843200,D,3,3,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385470,home,Newcastle United,Javier Manquillo,,,javier-manquillo,J. Manquillo,D,2,180,210,M,,210082,EUR,768096000,D,19,19,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385470,home,Newcastle United,Jamal Lewis,,,jamal-lewis,J. Lewis,D,18,178,948,M,,891803,EUR,885686400,D,12,12,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385470,away,Liverpool,Alisson,,,alisson,Alisson,G,1,193,64760,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,33.0,25.0,11.0,25.0,29.0,4.0,,8.0,,,1.0,1.0,90.0,46.0,8.0,8.0,0.0,0.0,9.535e-05,0,1.3754,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,2.0,,
10385470,away,Liverpool,Trent Alexander-Arnold,,,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,210733,M,TrentAA,795064,EUR,907718400,D,66,66,False,78.0,65.0,8.0,38.0,42.0,45.0,3.0,6.0,2.0,2.0,,,90.0,104.0,8.3,22.0,0.0,0.0,0.28977,0,,,4.0,29.0,9.0,2.0,3.0,2.0,1.0,1.0,2.0,,1.0,1.0,,,4.0,,,,,,1.0,,,,,,,,,1.0,
10385470,away,Liverpool,Joe Gomez,,,joe-gomez,J. Gomez,D,2,188,14125,M,joegomez5,318927,EUR,864345600,D,2,2,False,88.0,80.0,10.0,61.0,63.0,25.0,1.0,7.0,,,,,90.0,95.0,7.3,8.0,0.0,0.0,0.439069,0,,,6.0,19.0,,,5.0,3.0,,,,1.0,2.0,1.0,,,,1.0,,,,3.0,2.0,,,,,,,,,,
10385470,away,Liverpool,Virgil van Dijk,,,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,93.0,89.0,11.0,71.0,73.0,20.0,7.0,4.0,,,,,90.0,105.0,7.5,4.0,0.0,0.0,0.00549648,0,,,8.0,18.0,,,2.0,1.0,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,,2.0,,,,,,
10385470,away,Liverpool,Andrew Robertson,,,andrew-robertson,A. Robertson,D,26,178,24820,M,andyrobertson94,262911,EUR,763344000,D,26,26,False,85.0,79.0,5.0,46.0,48.0,42.0,4.0,7.0,1.0,,,,90.0,104.0,7.9,12.0,0.0,0.0,0.445788,0,,,4.0,34.0,5.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,
10385470,away,Liverpool,Jordan Henderson,,,jordan-henderson,J. Henderson,M,6,183,6378,M,jordanhenderson,42694,EUR,645580800,M,14,14,False,28.0,23.0,2.0,13.0,15.0,14.0,1.0,2.0,1.0,,,,59.0,38.0,7.0,7.0,0.0114,0.0192,0.0124978,1,,True,1.0,10.0,1.0,,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
10385470,away,Liverpool,Fabinho,,,fabinho,Fabinho,M,8,187,9273,M,Fabinho,243585,EUR,751334400,M,3,3,False,48.0,45.0,3.0,30.0,31.0,17.0,2.0,5.0,,,,,90.0,59.0,6.7,3.0,0.0,0.0,0.0188081,0,,,1.0,15.0,,,5.0,4.0,2.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,4.0,,,,1.0,,,,,,
