match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_totalOffside,stat_wonContest,stat_outfielderBlock,player_sofascoreId,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_blockedScoringAttempt,captain,stat_hitWoodwork,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals,stat_goalAssist
10433969,home,Beşiktaş JK,Ersin Destanoğlu,,,ersin-destanoglu,E. Destanoğlu,G,30,195,1609,M,913656,EUR,978307200,G,1,1,False,19.0,17.0,3.0,1.0,17.0,18.0,1.0,6.0,1.0,1.0,2.0,90.0,26.0,6.4,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433969,home,Beşiktaş JK,Valentin Rosier,,,valentin-rosier,V. Rosier,D,19,175,795,M,842419,EUR,840412800,D,2,2,False,54.0,49.0,6.0,5.0,28.0,30.0,30.0,12.0,,,,90.0,79.0,7.4,13.0,1,24.0,6.0,3.0,1.0,5.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
10433969,home,Beşiktaş JK,Tayyip Talha Sanuç,,,tayyip-talha-sanuc,T. T. Sanuç,D,23,188,911,M,851909,EUR,945388800,D,3,3,False,53.0,48.0,6.0,3.0,32.0,34.0,19.0,10.0,,,,90.0,60.0,6.6,6.0,1,16.0,,,2.0,4.0,2.0,,,,,,3.0,,,1.0,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
10433969,home,Beşiktaş JK,Francisco Montero,,,francisco-montero,F. Montero,D,20,185,227,M,927376,EUR,916272000,D,4,4,False,66.0,59.0,11.0,7.0,43.0,44.0,22.0,8.0,,,,90.0,78.0,7.2,7.0,1,16.0,,,2.0,3.0,7.0,,1.0,,1.0,1.0,2.0,2.0,1.0,,2.0,,,3.0,,,,1.0,1.0,,,,,,,,,,,
10433969,home,Beşiktaş JK,Arthur Masuaku,,,arthur-masuaku,A. Masuaku,D,27,179,10350,M,174975,EUR,752630400,D,25,25,False,64.0,44.0,13.0,7.0,20.0,28.0,48.0,9.0,,,,90.0,101.0,6.6,36.0,0,25.0,12.0,1.0,3.0,1.0,7.0,,2.0,,,,2.0,2.0,1.0,1.0,,,2.0,1.0,,,,2.0,,masuaku26,1.0,,,,,,,,,
10433969,home,Beşiktaş JK,Salih Uçan,,,salih-ucan,S. Uçan,M,8,182,1367,M,135695,EUR,757814400,M,8,8,False,31.0,27.0,2.0,2.0,13.0,17.0,16.0,4.0,,,,68.0,45.0,6.8,9.0,3,15.0,2.0,1.0,,7.0,1.0,3.0,1.0,2.0,1.0,,,1.0,,,,1.0,2.0,2.0,,1.0,,,,,,1.0,1.0,,,,,,,
10433969,home,Beşiktaş JK,Souza,,,souza,Souza,M,5,188,541,M,119035,EUR,603158400,M,5,5,False,34.0,29.0,,,21.0,24.0,10.0,3.0,,,,90.0,50.0,6.8,6.0,2,8.0,,,1.0,6.0,5.0,,,,1.0,1.0,,3.0,3.0,1.0,1.0,4.0,,,2.0,1.0,,,1.0,,,,,True,,,,,,
10433969,home,Beşiktaş JK,Rachid Ghezzal,,,rachid-ghezzal,R. Ghezzal,M,18,182,3146,M,123228,EUR,705369600,M,18,18,False,25.0,16.0,3.0,2.0,8.0,10.0,16.0,,,,,45.0,32.0,6.1,13.0,0,8.0,1.0,,,4.0,1.0,1.0,2.0,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,
10433969,home,Beşiktaş JK,Dele Alli,,,dele-alli,D. Alli,M,,188,9921,M,198028,EUR,829180800,M,11,11,False,27.0,24.0,3.0,3.0,8.0,8.0,19.0,3.0,,,,67.0,36.0,6.2,7.0,1,16.0,,,1.0,4.0,2.0,2.0,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,1.0,,dele,,1.0,,,,,,,,
10433969,home,Beşiktaş JK,Georges-Kévin N'Koudou,,,georges-kevin-nkoudou,G. N'Koudou,M,11,172,2369,M,342909,EUR,792633600,M,7,7,False,48.0,36.0,4.0,4.0,9.0,10.0,40.0,4.0,,,,84.0,63.0,7.0,20.0,1,27.0,2.0,,,4.0,4.0,,5.0,,,,1.0,2.0,1.0,2.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,
