match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,length,injury,playerName,reason,rescinded
10390067,FT,2.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
10390067,,2.0,2.0,,90,3.0,,1,,,goal,166934536.0,True,regular,3504.0,Kévin Gameiro,,,,,
10390067,,,,,90,0.0,,1,,,injuryTime,,,,,,4.0,,,,
10390067,,,,,79,,,12,,,substitution,121417626.0,False,regular,,,,False,,,
10390067,,,,,77,,,14,,,substitution,121417613.0,True,regular,,,,False,,,
10390067,,,,,77,,,14,,,substitution,121417612.0,True,regular,,,,False,,,
10390067,,1.0,2.0,,76,,,15,,,goal,166934491.0,True,regular,845084.0,Lebo Mothiba,,,,,
10390067,,,,,72,,,19,,,substitution,121417579.0,False,regular,,,,False,,,
10390067,,,,,70,,,21,,,card,120529646.0,False,yellow,944973.0,Nuno Tavares,,,Nuno Tavares,Time wasting,False
10390067,,,,,66,,,25,,,substitution,121417570.0,True,regular,,,,False,,,
10390067,,,,,66,,,25,,,substitution,121417569.0,True,regular,,,,False,,,
10390067,,,,,65,,,26,,,substitution,121417571.0,False,regular,,,,False,,,
10390067,,,,,52,,,39,,,card,120529620.0,False,yellow,1102503.0,Ahmadou Bamba Dieng,,,Ahmadou Bamba Dieng,Foul,False
10390067,,,,,46,,,45,,,substitution,121417500.0,False,regular,,,,False,,,
10390067,,,,,46,,,45,,,substitution,121417499.0,False,regular,,,,False,,,
10390067,,,,,46,,,45,,,substitution,121417498.0,True,regular,,,,False,,,
10390067,HT,0.0,2.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
10390067,,,,,45,0.0,,1,,,injuryTime,,,,,,3.0,,,,
10390067,,0.0,2.0,,35,,,11,,,goal,166933767.0,False,regular,1006189.0,Issa Kaboré,,,,,
10390067,,0.0,1.0,,8,,,38,,,goal,166933224.0,False,regular,1102503.0,Ahmadou Bamba Dieng,,,,,
10390067,,,,,-5,,,6,,,card,120529686.0,True,yellow,,,,,Julien Stéphan,Argument,False
