match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_duelWon,stat_bigChanceCreated,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_penaltyConceded,stat_wasFouled,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_errorLeadToAGoal,stat_penaltyWon,stat_errorLeadToAShot
10385648,home,Arsenal,Aaron Ramsdale,,,aaron-ramsdale,A. Ramsdale,G,32,191,8533,M,ARamsdale,839410,EUR,895104000,G,1,1,False,16.0,12.0,11.0,7.0,8.0,8.0,4.0,8.0,3.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,90.0,26.0,6.9,5.0,0.0,0.0,0.00164455,0,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385648,home,Arsenal,Ben White,,,benjamin-white,B. White,D,4,186,13830,M,benwhite,846036,EUR,876268800,D,4,4,False,61.0,52.0,5.0,1.0,16.0,19.0,37.0,43.0,3.0,2.0,,,,,,,89.0,78.0,7.4,9.0,0.023,0.0,0.374137,1,,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10385648,home,Arsenal,William Saliba,,,william-saliba,W. Saliba,D,2,193,43258,M,WSaliba4,941168,EUR,985392000,D,12,12,False,70.0,67.0,2.0,1.0,30.0,32.0,37.0,38.0,3.0,11.0,,,,,,,90.0,78.0,6.9,4.0,0.0,0.0,0.0269982,0,,,,,5.0,,,3.0,2.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
10385648,home,Arsenal,Gabriel Magalhães,,,gabriel-magalhaes,Gabriel,D,6,190,49131,M,GabrielMagalhães,869792,EUR,882489600,D,6,6,False,61.0,56.0,2.0,1.0,24.0,27.0,32.0,34.0,2.0,6.0,,,,,,,90.0,71.0,6.6,6.0,0.0,0.0,0.0172527,0,,,,,6.0,,,1.0,,,4.0,5.0,,,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10385648,home,Arsenal,Oleksandr Zinchenko,,,oleksandr-zinchenko,O. Zinchenko,D,47,175,18055,M,OZinchenko,287643,EUR,850608000,D,35,35,False,59.0,53.0,2.0,2.0,11.0,13.0,43.0,47.0,2.0,5.0,,,,,,,73.0,69.0,6.8,6.0,0.0094,0.0,0.0991314,1,,,1.0,1.0,4.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10385648,home,Arsenal,Martin Ødegaard,,,martin-odegaard,M. Ødegaard,M,8,178,78911,M,Ødegaard,547410,EUR,913852800,M,8,8,False,40.0,32.0,1.0,1.0,9.0,10.0,23.0,31.0,,1.0,,,,,,,80.0,52.0,6.7,11.0,0.1082,0.0618,0.0407887,3,,,1.0,,3.0,,1.0,,,1.0,,3.0,1.0,1.0,1.0,,,,,1.0,,2.0,True,2.0,1.0,1.0,,,,,,,
10385648,home,Arsenal,Thomas Partey,,,thomas-partey,T. Partey,M,16,185,42575,M,TPartey5,316148,EUR,739929600,M,5,5,False,55.0,52.0,4.0,3.0,8.0,9.0,44.0,46.0,1.0,7.0,,,,,,,73.0,67.0,8.0,4.0,0.0633,0.3622,0.0717874,2,,,,,2.0,,,1.0,,4.0,,,,1.0,1.0,1.0,,,,3.0,,,,,1.0,1.0,1.0,,,,,,
10385648,home,Arsenal,Granit Xhaka,,,granit-xhaka,G. Xhaka,M,34,185,15717,M,Granit_Xhaka,117777,EUR,717552000,M,34,34,False,46.0,40.0,3.0,3.0,7.0,7.0,34.0,42.0,,6.0,,,,,,,90.0,56.0,7.5,11.0,0.3324,0.0679,0.167067,3,,,3.0,1.0,1.0,,2.0,,,1.0,1.0,1.0,,,,3.0,1.0,,,,,,,,1.0,,1.0,,,,,,
10385648,home,Arsenal,Bukayo Saka,,,bukayo-saka,B. Saka,F,7,178,182271,M,BSaka7,934235,EUR,999648000,F,7,7,False,32.0,30.0,,,5.0,5.0,28.0,36.0,1.0,1.0,,,,,,,90.0,56.0,7.3,14.0,0.2731,0.1409,0.201992,3,,,9.0,3.0,3.0,,2.0,1.0,1.0,5.0,,5.0,,3.0,1.0,2.0,,1.0,,,,1.0,,2.0,1.0,,,,,,,,
10385648,home,Arsenal,Gabriel Jesus,,,gabriel-jesus,G. Jesus,F,9,175,74471,M,GabrielJesus,794839,EUR,860025600,F,9,9,False,21.0,18.0,1.0,1.0,3.0,3.0,15.0,18.0,,2.0,,,,,,,80.0,44.0,7.4,12.0,1.4179,1.1043,0.0312352,4,,,,,7.0,,1.0,2.0,2.0,1.0,1.0,8.0,,2.0,1.0,4.0,3.0,2.0,1.0,,,3.0,,2.0,3.0,,1.0,1.0,,,,,
