match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_totalCross,stat_aerialLost,stat_totalContest,stat_wonContest,stat_goalAssist,stat_challengeLost,stat_goals,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
10411502,home,Inter,André Onana,,,andre-onana,A. Onana,G,24,190.0,53850,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,34.0,29.0,12.0,7.0,28.0,29.0,1.0,5.0,6.0,2.0,3.0,90.0,41.0,7.7,5.0,0.0,0.0,0.000435246,0,0.5191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411502,home,Inter,Milan Škriniar,,,milan-skriniar,M. Škriniar,D,37,187.0,9818,M,milanskriniar,187205,EUR,792460800,D,37,37,False,84.0,78.0,9.0,5.0,47.0,49.0,31.0,35.0,3.0,,,90.0,93.0,7.3,7.0,0.0265,0.1357,0.0154944,1,,True,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10411502,home,Inter,Stefan de Vrij,,,stefan-de-vrij,S. de Vrij,D,6,188.0,5674,M,Stefandevrij,91046,EUR,697248000,D,6,6,False,48.0,44.0,3.0,3.0,34.0,38.0,10.0,10.0,2.0,,,90.0,57.0,7.1,5.0,0.0,0.0,0.00579899,0,,,1.0,1.0,,2.0,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,
10411502,home,Inter,Francesco Acerbi,,,francesco-acerbi,F. Acerbi,D,15,192.0,5573,M,,126816,EUR,571449600,D,15,15,False,78.0,64.0,12.0,7.0,46.0,51.0,18.0,28.0,7.0,,,90.0,86.0,7.1,15.0,0.0,0.0,0.0150083,0,,,2.0,4.0,,1.0,,,,,1.0,4.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,
10411502,home,Inter,Denzel Dumfries,,,denzel-dumfries,D. Dumfries,M,2,189.0,15021,M,ddumfries2,759520,EUR,829785600,M,2,2,False,29.0,25.0,2.0,2.0,7.0,7.0,18.0,24.0,4.0,,,89.0,50.0,7.3,10.0,0.0,0.0,0.0693841,0,,,,9.0,,,2.0,1.0,4.0,5.0,,1.0,,,,2.0,,1.0,1.0,,,,,,,,,,,,,
10411502,home,Inter,Nicolò Barella,,,nicolo-barella,N. Barella,M,23,175.0,21290,M,nicolo_barella,363856,EUR,855273600,M,23,23,False,52.0,48.0,2.0,2.0,18.0,19.0,30.0,37.0,6.0,,,90.0,70.0,8.1,12.0,0.2155,0.9235,0.0747747,1,,,4.0,5.0,1.0,,1.0,1.0,2.0,1.0,,,2.0,1.0,,4.0,,3.0,3.0,1.0,2.0,1.0,2.0,,,,,,,,,
10411502,home,Inter,Hakan Çalhanoğlu,,,hakan-calhanoglu,H. Çalhanoğlu,M,20,178.0,32988,M,HÇalhanoğlu,135700,EUR,760665600,M,20,20,False,72.0,65.0,7.0,6.0,27.0,27.0,40.0,50.0,12.0,,,89.0,87.0,8.1,13.0,0.0571,0.0,0.592347,1,,,6.0,4.0,,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,,5.0,,1.0,,1.0,,,4.0,2.0,1.0,1.0,,,,,,
10411502,home,Inter,Henrikh Mkhitaryan,,,henrikh-mkhitaryan,H. Mkhitaryan,M,22,178.0,8680,M,micki_taryan,37151,EUR,601344000,M,22,22,False,32.0,28.0,2.0,1.0,7.0,9.0,21.0,23.0,2.0,,,72.0,43.0,7.0,6.0,0.0,0.0,0.0244184,0,,,1.0,6.0,,,2.0,,2.0,1.0,,,,,,,,3.0,3.0,,1.0,,1.0,,,,,,,,,
10411502,home,Inter,Federico Dimarco,,,federico-dimarco,F. Dimarco,M,32,174.0,15308,M,dimarco32,284361,EUR,879120000,M,32,32,False,32.0,30.0,8.0,7.0,18.0,20.0,15.0,20.0,3.0,,,63.0,50.0,7.5,7.0,0.0908,0.435,0.0805589,2,,,1.0,,1.0,,,,,,,,,1.0,,8.0,,,,,1.0,,2.0,3.0,,1.0,,,,,,
10411502,home,Inter,Edin Džeko,,,edin-dzeko,E. Džeko,F,10,193.0,23224,M,EDzeko,14990,EUR,511401600,F,9,9,False,15.0,9.0,1.0,1.0,3.0,3.0,6.0,12.0,2.0,,,72.0,25.0,6.9,8.0,0.3667,0.0,0.00224822,3,,,2.0,3.0,,,,,2.0,1.0,1.0,2.0,,2.0,,,1.0,,,,,,,,,2.0,1.0,,,,,
