match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,captain,stat_accurateCross,stat_bigChanceMissed,stat_goals,stat_hitWoodwork,stat_punches,stat_errorLeadToAGoal,stat_totalOffside
12421171,home,Oud-Heverlee Leuven,William Balikwisha,,,william-balikwisha,W. Balikwisha,M,21,174.0,684,M,943881,EUR,926467200,M,21,21,True,14.0,13.0,,,0.0,3.0,3.0,10.0,11.0,,2.0,,,,,23.0,16.0,7.1,2.0,0.167442,0,,,,1.0,,,,1.0,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Manuel Osifo,Manuel Osifo,,manuel-osifo,M. Osifo,D,25,182.0,65,M,1122524,EUR,1059609600,M,25,25,True,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,,,,,,,,1.0,5.0,,1.0,5.87e-05,0,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Mathieu Maertens,,,mathieu-maertens,M. Maertens,F,33,182.0,86,M,360652,EUR,796262400,M,33,33,True,3.0,2.0,1.0,1.0,0.0,,,2.0,3.0,,,,,,,1.0,4.0,,1.0,0.00639721,0,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Maxence Prévot,,,maxence-prevot,M. Prévot,G,16,184.0,55,M,785520,EUR,860544000,G,16,16,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Romeo Monticelli,Roméo Monticelli,,monticelli-romeo,R. Monticelli,D,40,185.0,54,M,1195786,EUR,1128211200,D,40,40,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Davis Opoku,Davis Opoku,,davis-opoku,D. Opoku,D,99,,100,M,1860321,EUR,1193616000,D,99,99,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Mathéo Parmentier,,,matheo-parmentier,M. Parmentier,M,56,186.0,26,M,1015724,EUR,1036022400,M,56,56,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Wouter George,,,wouter-george,W. George,M,6,172.0,63,M,983027,EUR,1015027200,M,55,55,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421171,away,K. Beerschot V.A.,Nick Shinton,,,nick-shinton,N. Shinton,G,33,196.0,117,M,909962,EUR,989452800,G,33,33,False,46.0,31.0,20.0,5.0,0.0,29.0,35.0,2.0,11.0,2.0,10.0,5.0,8.0,,,90.0,63.0,8.1,15.0,0.00065267,0,0.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
12421171,away,K. Beerschot V.A.,Colin Dagba,,,dagba-colin,C. Dagba,D,2,168.0,498,M,941300,EUR,905299200,D,2,2,False,16.0,14.0,1.0,,0.0,9.0,10.0,6.0,7.0,,1.0,,,,,64.0,31.0,6.9,2.0,0.102402,0,,1.0,,3.0,5.0,2.0,,1.0,1.0,,3.0,2.0,,,1.0,2.0,1.0,,,,1.0,,,,,1.0,,,,,,
12421171,away,K. Beerschot V.A.,Apostolos Konstantopoulos,,,konstantopoulos-apostolos,A. Konstantopoulos,D,44,188.0,197,M,1033264,EUR,1028246400,D,66,66,False,53.0,36.0,13.0,4.0,0.0,33.0,42.0,3.0,11.0,4.0,4.0,,,,,90.0,68.0,6.9,19.0,0.385467,0,,,2.0,4.0,4.0,,1.0,,,4.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
12421171,away,K. Beerschot V.A.,Loïc Mbe Soh,,,loic-mbe-soh,L. M. Soh,D,4,186.0,287,M,904992,EUR,992390400,D,5,5,False,45.0,41.0,4.0,3.0,0.0,33.0,35.0,8.0,10.0,6.0,5.0,,,,,90.0,57.0,6.5,4.0,0.00286454,1,,,2.0,3.0,5.0,,,,,1.0,3.0,3.0,,1.0,1.0,,1.0,1.0,,,,0.1514,,,,,1.0,,,,1.0,
12421171,away,K. Beerschot V.A.,Brian Plat,,,brian-plat,B. Plat,D,4,191.0,60,M,980673,EUR,954892800,D,4,4,False,18.0,16.0,3.0,2.0,0.0,9.0,11.0,7.0,7.0,2.0,5.0,,,,,89.0,40.0,7.1,5.0,0.00249159,0,,,1.0,1.0,8.0,,,,,2.0,5.0,3.0,2.0,3.0,,,,,,,1.0,,,,,,,,,,,
