match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalCross,stat_unsuccessfulTouch,captain,player_firstName,player_lastName,stat_totalOffside,stat_accurateCross,player_sofascoreId,stat_goodHighClaim,stat_punches,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goalAssist,stat_bigChanceCreated
10408612,home,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186,1063,M,341097,EUR,729561600,G,1,1,False,29.0,11.0,27.0,9.0,4.0,6.0,7.0,23.0,2.0,2.0,19.0,2.0,4.0,90.0,49.0,6.3,19.0,0.0,0.0,0.00223305,0,-0.9685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408612,home,Cádiz,Joseba Zaldúa,joseba-zaldua,J. Zaldúa,D,,176,88,M,347450,EUR,709344000,D,2,2,False,21.0,14.0,3.0,2.0,7.0,8.0,7.0,13.0,1.0,4.0,4.0,,,90.0,45.0,6.9,12.0,0.0,0.0,0.0109086,0,,2.0,2.0,9.0,1.0,1.0,4.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10408612,home,Cádiz,Luis Hernández,luis-hernandez,L. Hernández,D,,182,89,M,260097,EUR,608515200,D,23,23,False,15.0,9.0,6.0,2.0,7.0,9.0,2.0,6.0,4.0,1.0,4.0,,,90.0,26.0,6.1,10.0,0.0,0.0,0.031663,0,,1.0,3.0,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
10408612,home,Cádiz,Mamadou Mbaye,mamadou-mbaye,M. Mbaye,D,15,188,162,M,921621,EUR,898992000,D,5,5,False,15.0,13.0,3.0,2.0,9.0,10.0,4.0,5.0,5.0,,6.0,,,90.0,28.0,6.3,4.0,0.1046,0.0,0.00297148,1,,2.0,3.0,3.0,,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10408612,home,Cádiz,Alfonso Espino,alfonso-espino,A. Espino,D,22,172,656,M,542634,EUR,694569600,D,22,22,False,28.0,15.0,5.0,1.0,5.0,11.0,10.0,18.0,2.0,2.0,5.0,,,90.0,48.0,5.7,18.0,0.0021,0.0,0.0862261,1,,,7.0,5.0,5.0,,4.0,3.0,,1.0,,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
10408612,home,Cádiz,Álex Fernández,alex-fernandez,Á. Fernández,M,8,183,168,M,148588,EUR,719107200,M,8,8,False,13.0,10.0,2.0,,3.0,4.0,7.0,9.0,,,,,,59.0,20.0,6.3,5.0,0.0,0.0,0.00227778,0,,,2.0,2.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,1.0,True,,,,,,,,,,,,,
10408612,home,Cádiz,Fede San Emeterio,fede-san-emeterio,F. S. E. Diaz,M,6,174,81,M,376382,EUR,858470400,M,24,24,False,12.0,10.0,3.0,2.0,5.0,6.0,5.0,6.0,,,1.0,,,72.0,22.0,6.4,4.0,0.128,0.0,0.00290853,1,,,4.0,3.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,
10408612,home,Cádiz,Iván Alejo,ivan-alejo,I. Alejo,M,14,184,174,M,352486,EUR,792374400,M,11,11,False,8.0,3.0,1.0,,,3.0,3.0,9.0,,,4.0,,,60.0,31.0,6.4,16.0,0.0,0.0,0.00489855,0,,2.0,8.0,8.0,2.0,,4.0,3.0,2.0,,,2.0,1.0,3.0,,,4.0,1.0,,,,,,,,,,,,,,
10408612,home,Cádiz,Rubén Sobrino,ruben-sobrino,R. Sobrino,M,19,185,175,M,329563,EUR,698198400,M,7,7,False,8.0,5.0,,,1.0,3.0,4.0,5.0,1.0,1.0,3.0,,,72.0,21.0,6.5,7.0,0.1258,0.0,0.00360403,1,,3.0,8.0,4.0,,,,,1.0,4.0,,4.0,,,,1.0,,4.0,,,,,,,,,,,,,,
10408612,home,Cádiz,Brian Ocampo,brian-ocampo,B. Ocampo,M,10,173,942,M,941405,EUR,930268800,M,14,14,False,17.0,12.0,,,2.0,5.0,10.0,13.0,,1.0,6.0,,,90.0,29.0,6.2,9.0,0.0,0.0,0.0106847,0,,,6.0,4.0,2.0,,1.0,1.0,2.0,2.0,,2.0,,1.0,1.0,,1.0,3.0,,,,1.0,,,,,,,,,,
