match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_aerialLost,stat_aerialWon,stat_totalClearance,stat_interceptionWon,player_firstName,player_lastName,stat_goals,stat_bigChanceCreated,stat_totalOffside,stat_goodHighClaim,stat_outfielderBlock,stat_errorLeadToAGoal,stat_errorLeadToAShot
12764375,home,Paris Saint-Germain,Gianluigi Donnarumma,gianluigi-donnarumma,G. Donnarumma,G,25,196,70015,M,donnarumma,824509,EUR,919900800,G,1,1,False,27.0,26.0,2.0,1.0,0.0,26.0,26.0,1.0,6.0,1.0,1.0,90.0,30.0,6.5,1.0,0.00013191,0,-0.8105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764375,home,Paris Saint-Germain,Achraf Hakimi,hakimi-achraf,A. Hakimi,D,2,181,124695,M,AHakimi,814594,EUR,910137600,D,2,2,False,105.0,94.0,2.0,2.0,0.0,22.0,25.0,86.0,11.0,,,90.0,148.0,7.9,22.0,0.235383,5,,75.0,6.0,3.0,7.0,9.0,1.0,1.0,7.0,3.0,1.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,0.5827,0.4929,4.0,,,,,,,,,,,,,,
12764375,home,Paris Saint-Germain,Marquinhos,marquinhos,Marquinhos,D,5,183,36487,M,marquinhosm5,155995,EUR,768873600,D,5,5,False,133.0,125.0,8.0,6.0,0.0,48.0,49.0,84.0,9.0,,,90.0,143.0,7.4,8.0,0.0438854,2,,77.0,,,1.0,2.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,,0.2618,0.0487,1.0,True,1.0,1.0,4.0,,,,,,,,,,
12764375,home,Paris Saint-Germain,Willian Pacho,willian-pacho,W. Pacho,D,51,187,25706,M,pachowilliam,979480,EUR,1003190400,D,51,51,False,122.0,117.0,5.0,4.0,0.0,58.0,61.0,61.0,2.0,,,90.0,126.0,7.0,5.0,0.0346488,0,,59.0,,,2.0,5.0,,,,,,,,,,,,,,,,,,2.0,5.0,1.0,2.0,,,,,,,,,
12764375,home,Paris Saint-Germain,Nuno Mendes,nuno-mendes,N. Mendes,D,25,180,37488,M,nunomendes_5,989768,EUR,1024444800,D,25,25,False,96.0,87.0,3.0,2.0,0.0,37.0,43.0,57.0,8.0,,,90.0,122.0,6.8,19.0,0.192305,1,,51.0,4.0,1.0,6.0,6.0,2.0,1.0,2.0,1.0,,,,1.0,2.0,1.0,5.0,2.0,3.0,0.0173,,1.0,,,1.0,1.0,1.0,,,,,,,,,
12764375,home,Paris Saint-Germain,Warren Zaïre-Emery,warren-zaire-emery,W. Zaïre-Emery,M,33,178,16174,M,wzairemery6,1142672,EUR,1141776000,M,33,33,False,45.0,40.0,4.0,3.0,0.0,18.0,19.0,26.0,1.0,,,73.0,54.0,7.3,8.0,0.0192109,2,,22.0,,,3.0,,1.0,1.0,,,,1.0,1.0,,,,2.0,,,0.7113,0.5906,,,1.0,,,1.0,,,1.0,,,,,,
12764375,home,Paris Saint-Germain,Vitinha,vitinha,Vitinha,M,17,172,50727,M,vitinha,902029,EUR,950400000,M,17,17,False,103.0,94.0,3.0,3.0,0.0,22.0,24.0,83.0,5.0,,,90.0,118.0,7.6,14.0,0.193644,1,,74.0,4.0,2.0,5.0,4.0,1.0,2.0,3.0,2.0,,,,1.0,,,,2.0,1.0,0.0245,,4.0,,1.0,,,1.0,,,,1.0,,,,,
12764375,home,Paris Saint-Germain,João Neves,joao-neves,J. Neves,M,87,174,37245,M,joao_neves,1190933,EUR,1096243200,M,87,87,False,61.0,59.0,2.0,1.0,0.0,23.0,23.0,39.0,4.0,,,67.0,75.0,6.8,6.0,0.034818,1,,36.0,1.0,,6.0,2.0,1.0,1.0,2.0,,,,1.0,,1.0,1.0,,1.0,1.0,0.0218,0.0133,,,1.0,,,1.0,,,,,1.0,,,,
12764375,home,Paris Saint-Germain,Ousmane Dembélé,ousmane-dembele,O. Dembélé,F,10,178,239860,M,ODembélé,818244,EUR,863654400,F,10,10,False,66.0,54.0,1.0,1.0,1.0,8.0,10.0,63.0,8.0,,,89.0,105.0,8.1,35.0,0.268409,2,,46.0,7.0,,10.0,10.0,,3.0,11.0,6.0,,2.0,,,1.0,,6.0,3.0,2.0,0.1108,,4.0,,,,,,,,,1.0,,,,,
12764375,home,Paris Saint-Germain,Marco Asensio,marco-asensio,M. Asensio,F,21,182,31813,M,marcoasensio10,361004,EUR,822182400,F,11,11,False,21.0,19.0,,,0.0,3.0,4.0,18.0,2.0,,,67.0,30.0,6.9,4.0,0.0276237,1,,17.0,1.0,1.0,2.0,3.0,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,0.0167,,,,1.0,1.0,1.0,,,,,,,,,,
