match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_jerseyNumber,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_keyPass,stat_wasFouled,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceCreated,captain,stat_accurateCross,stat_hitWoodwork,stat_totalOffside,stat_bigChanceMissed,stat_penaltyMiss,stat_penaltyWon,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_penaltyConceded
12528351,home,Sporting Kansas City,Timothy Melia,,,timothy-melia,T. Melia,G,185.0,47,M,149300,EUR,516499200,G,29,29,False,17.0,9.0,11.0,3.0,0.0,7.0,9.0,2.0,8.0,1.0,3.0,1.0,4.0,90.0,26.0,7.6,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528351,home,Sporting Kansas City,Khiry Shelton,,,khiry-shelton,K. Shelton,D,190.0,36,M,790151,EUR,741052800,D,11,11,False,64.0,57.0,3.0,3.0,0.0,21.0,23.0,36.0,42.0,1.0,2.0,,,90.0,83.0,7.1,14.0,0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12528351,home,Sporting Kansas City,Daniel Rosero Valencia,,,daniel-rosero-valencia,D. A. R. Valencia,D,186.0,96,M,312330,EUR,749865600,D,5,5,False,68.0,61.0,7.0,5.0,0.0,45.0,47.0,16.0,21.0,5.0,3.0,,,90.0,77.0,8.1,7.0,2,,4.0,3.0,,,,,,2.0,3,2.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12528351,home,Sporting Kansas City,Andreu Fontàs,,,andreu-fontas,A. Fontàs,D,181.0,44,M,53826,EUR,627004800,D,3,3,False,76.0,72.0,7.0,5.0,0.0,37.0,39.0,35.0,37.0,,4.0,,,61.0,79.0,7.2,4.0,0,,,4.0,,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
12528351,home,Sporting Kansas City,Logan Ndenbe,,,logan-ndenbe,L. Ndenbe,D,173.0,95,M,877029,EUR,950054400,D,18,18,False,50.0,47.0,1.0,,0.0,12.0,13.0,35.0,38.0,,,,,61.0,64.0,7.3,5.0,0,1.0,1.0,2.0,,,,,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,
12528351,home,Sporting Kansas City,Jacob Davis,Jacob Davis,,jacob-davis,J. Davis,M,179.0,44,M,1034907,EUR,1010016000,M,17,17,False,84.0,75.0,6.0,3.0,1.0,17.0,17.0,58.0,67.0,1.0,3.0,,,90.0,100.0,7.3,15.0,3,,7.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,17,,1.0,,,,1.0,,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,
12528351,home,Sporting Kansas City,Rémi Walter,,,remi-walter,R. Walter,M,175.0,38,M,227858,EUR,798854400,M,54,54,False,75.0,70.0,5.0,4.0,1.0,28.0,33.0,42.0,42.0,,6.0,,,75.0,82.0,7.7,7.0,0,,,3.0,1.0,,,,2.0,,,,,,,,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,
12528351,home,Sporting Kansas City,Johnny Russell,,,johnny-russell,J. Russell,M,178.0,179,M,24925,EUR,639532800,M,7,7,False,37.0,34.0,2.0,2.0,0.0,7.0,7.0,27.0,33.0,1.0,1.0,,,88.0,54.0,8.1,10.0,2,3.0,1.0,5.0,1.0,1.0,,,3.0,1.0,,,1.0,1.0,1.0,,2.0,3.0,,,1.0,1.0,,,True,,,,,,,,,,
12528351,home,Sporting Kansas City,Erik Thommy,,,erik-thommy,E. Thommy,M,174.0,125,M,254159,EUR,777340800,M,26,26,False,37.0,36.0,3.0,3.0,0.0,8.0,8.0,29.0,32.0,,,,,74.0,51.0,7.6,7.0,3,3.0,1.0,2.0,1.0,,,,2.0,,26,,,1.0,,,1.0,1.0,,1.0,1.0,2.0,,,,1.0,2.0,,,,,,,,
12528351,home,Sporting Kansas City,Dániel Sallói,,,daniel-salloi,D. Sallói,F,185.0,610,M,798921,EUR,837734400,M,10,10,False,45.0,37.0,2.0,1.0,0.0,4.0,4.0,33.0,43.0,,3.0,,,90.0,53.0,7.2,12.0,2,2.0,2.0,2.0,1.0,,,,1.0,1.0,10,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,2.0,,,,,,,
12528351,home,Sporting Kansas City,Alan Pulido,,,alan-pulido,A. Pulido,F,177.0,712,M,111016,EUR,668390400,F,9,9,False,51.0,45.0,3.0,3.0,0.0,12.0,12.0,33.0,39.0,,2.0,,,90.0,60.0,7.2,7.0,4,,,3.0,1.0,,2.0,2.0,1.0,,9,,,2.0,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,
