match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_accurateLongBalls,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,player_firstName,stat_totalCross,stat_totalContest,stat_hitWoodwork,stat_wasFouled,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_accurateCross,stat_goals,stat_totalOffside,player_lastName,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goalsPrevented,stat_errorLeadToAShot,stat_lastManTackle
12437529,home,Barcelona,Wojciech Szczęsny,wojciech-szczesny,W. Szczęsny,G,25,196,95111,M,wojciech.szczesny1,50490,EUR,640396800,G,25,25,False,20.0,19.0,1.0,0.0,18.0,18.0,1.0,2.0,2.0,8.0,3.0,3.0,90.0,27.0,6.9,1.0,0.00022933,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437529,home,Barcelona,Eric García,eric-garcia,E. García,D,24,182,56393,M,ericgm3,876214,EUR,978998400,D,24,24,False,75.0,69.0,3.0,1.0,22.0,22.0,47.0,53.0,1.0,4.0,,,90.0,91.0,7.7,8.0,0.10094,2,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,0.196,0.3931,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12437529,home,Barcelona,Ronald Araújo,ronald-araujo,R. Araújo,D,4,191,137257,M,RAraújo,925097,EUR,920764800,D,4,4,False,43.0,33.0,4.0,0.0,23.0,27.0,10.0,16.0,5.0,2.0,,,90.0,63.0,7.4,11.0,0.0151712,1,,4.0,4.0,6.0,7.0,,,,3.0,2.0,2.0,0.4638,,1.0,True,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
12437529,home,Barcelona,Iñigo Martínez,inigo-martinez,I. Martínez,D,26,181,62317,M,IñigoMartínez,173883,EUR,674438400,D,5,5,False,93.0,90.0,8.0,0.0,36.0,36.0,54.0,57.0,7.0,4.0,,,90.0,107.0,7.6,4.0,0.0301306,2,6.0,3.0,5.0,4.0,5.0,1.0,,2.0,,,,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437529,home,Barcelona,Hector Fort,fort-hector,H. Fort,D,39,185,45892,M,hctorfort,1402908,EUR,1154476800,D,32,32,False,64.0,59.0,,0.0,17.0,17.0,42.0,49.0,2.0,5.0,,,77.0,81.0,6.8,11.0,0.0410273,1,,,,5.0,,1.0,,1.0,,,1.0,0.0664,,1.0,,,,,,1.0,Héctor Fort,2.0,3.0,,,,,,,,,,,,,,,,
12437529,home,Barcelona,Pablo Gavi,gavi,Gavi,M,6,173,250088,M,Gavi,1103693,EUR,1091664000,M,6,6,False,113.0,109.0,4.0,0.0,33.0,35.0,76.0,78.0,,5.0,,,90.0,129.0,7.6,7.0,0.259318,3,4.0,3.0,2.0,10.0,7.0,3.0,,3.0,2.0,2.0,3.0,0.1449,,3.0,,,,,1.0,2.0,,,1.0,1.0,3.0,,,,,,,,,,,,,,
12437529,home,Barcelona,Pedri,pedri,Pedri,M,8,174,636700,M,Pedri,992587,EUR,1038182400,M,8,8,False,114.0,106.0,4.0,0.0,23.0,24.0,83.0,90.0,1.0,18.0,,,90.0,125.0,8.7,11.0,0.331332,2,4.0,,,4.0,4.0,1.0,,1.0,1.0,,,0.1219,,6.0,,,1.0,,1.0,,,,3.0,,,3.0,3.0,1.0,,,,,,,,,,,
12437529,home,Barcelona,Lamine Yamal,lamine-yamal,L. Yamal,M,10,180,1693852,M,Lamiyamal,1402912,EUR,1184284800,M,19,19,False,51.0,40.0,3.0,0.0,6.0,6.0,36.0,49.0,,2.0,,,86.0,84.0,7.9,21.0,0.483763,10,1.0,,,7.0,8.0,2.0,4.0,2.0,3.0,2.0,,0.8175,0.5042,3.0,,2.0,4.0,,,2.0,,4.0,9.0,,,1.0,5.0,1.0,2.0,,,,,,,,,,
12437529,home,Barcelona,Dani Olmo,dani-olmo,D. Olmo,M,20,179,191682,M,DaniOlmo,789071,EUR,894499200,M,20,20,False,55.0,46.0,1.0,0.0,10.0,10.0,36.0,48.0,,3.0,,,62.0,69.0,7.9,16.0,0.0758063,4,1.0,,1.0,3.0,2.0,,2.0,1.0,,,2.0,0.552,1.0805,4.0,,1.0,1.0,,1.0,2.0,,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,
12437529,home,Barcelona,Ansu Fati,ansu-fati,A. Fati,F,31,178,169176,M,AnsuFati,962883,EUR,1036022400,M,10,10,False,42.0,36.0,,0.0,5.0,5.0,31.0,37.0,,2.0,,,62.0,58.0,7.1,11.0,0.13998,4,,3.0,1.0,8.0,1.0,1.0,1.0,1.0,,,1.0,0.2186,0.0858,3.0,,,2.0,,1.0,2.0,,,3.0,,,,,,,,1.0,,,,,,,,
12437529,home,Barcelona,Ferran Torres,ferran-torres,F. Torres,F,7,185,144391,M,FerranTorres,855833,EUR,951782400,F,7,7,False,17.0,13.0,,0.0,1.0,2.0,12.0,15.0,1.0,1.0,,,77.0,32.0,7.6,7.0,0.107555,4,,1.0,2.0,2.0,5.0,,1.0,,1.0,1.0,,0.3251,0.2631,2.0,,,3.0,,1.0,2.0,,,1.0,,2.0,,,,,,,,,,,,,,
12437529,home,Barcelona,Raphinha,raphinha,Raphinha,M,11,176,878494,M,Raphinha,831005,EUR,850521600,F,11,11,True,19.0,16.0,,0.0,4.0,4.0,14.0,19.0,,2.0,,,28.0,32.0,6.8,8.0,0.14631,1,,,,3.0,1.0,,,1.0,,,,0.1227,,1.0,,,,,,,,4.0,1.0,,1.0,2.0,,,2.0,,,,,,,,,,
12437529,home,Barcelona,Fermín López,fermin-lopez,F. López,M,16,176,179218,M,FermínLópez,1153270,EUR,1052611200,M,16,16,True,13.0,12.0,,0.0,2.0,3.0,10.0,11.0,,2.0,,,28.0,25.0,7.2,7.0,0.0482332,4,,,,3.0,2.0,,2.0,,1.0,1.0,,0.1559,0.4485,2.0,,,2.0,,,2.0,Fermín López,1.0,2.0,,,2.0,1.0,,,,,,,,,,,,
12437529,home,Barcelona,Gerard Martín,gerard-martin,G. Martín,D,18,186,43738,M,gerardmaartin,1094827,EUR,1014681600,D,35,35,True,13.0,11.0,1.0,0.0,3.0,4.0,8.0,9.0,1.0,2.0,,,13.0,19.0,6.7,3.0,0.00871891,0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,Gerard,,,,,,,,,,,,,,,,,,
12437529,home,Barcelona,Pau Víctor,pau-victor,P. Víctor,F,18,182,39072,M,PauVíctor,1031567,EUR,1006819200,F,18,18,True,6.0,6.0,,0.0,,,6.0,6.0,,,,,13.0,10.0,7.0,1.0,0.0266517,2,,,,1.0,1.0,,1.0,1.0,1.0,,,0.1832,0.12,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
12437529,home,Barcelona,Frenkie de Jong,frenkie-de-jong,F. de Jong,M,21,180,192664,M,Frenkie,795222,EUR,863395200,M,21,21,True,6.0,6.0,,0.0,,,6.0,6.0,,,,,9.0,6.0,6.5,,0.00177898,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437529,home,Barcelona,Iñaki Peña,inaki-pena,I. Peña,G,13,185,45964,M,inakipenya,794949,EUR,920332800,G,13,13,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437529,home,Barcelona,Diego Kochen,kochen-diego,D. Kochen,G,31,188,12521,M,,1402907,EUR,1142726400,G,31,31,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,Diego Kochen,,,,,,,,,,,,,,,,,,
12437529,home,Barcelona,Jules Koundé,jules-kounde,J. Koundé,D,23,180,147044,M,JKoundé,827212,EUR,910828800,D,23,23,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437529,home,Barcelona,Pau Cubarsí,pau-cubarsi,P. Cubarsí,D,5,184,156448,M,PauCubarsí,1402913,EUR,1169424000,D,2,2,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,Pau Cubarsí,,,,,,,,,,,,,,,,,,
12437529,home,Barcelona,Andreas Christensen,andreas-christensen,A. Christensen,D,15,188,56340,M,andreaschristensen3,186795,EUR,829094400,D,15,15,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437529,home,Barcelona,Pablo Torre,pablo-torre,P. Torre,M,20,173,37883,M,PabloTorre,1082981,EUR,1049328000,M,14,14,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437529,away,Mallorca,Leo Román,leo-roman,L. Román,G,1,189,1557,M,,1131909,EUR,962841600,G,13,13,False,32.0,12.0,24.0,0.0,8.0,12.0,4.0,20.0,5.0,8.0,2.0,2.0,90.0,56.0,9.4,20.0,0.00095609,0,5.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,6.0,12.0,1.0,1.8953,,
12437529,away,Mallorca,Mateu Morey,mateu-morey,M. Morey,D,2,171,594,M,,879543,EUR,951955200,D,2,2,False,14.0,7.0,2.0,0.0,5.0,7.0,2.0,7.0,4.0,3.0,,,90.0,32.0,7.1,11.0,0.00169977,0,,1.0,2.0,1.0,8.0,,,,5.0,5.0,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,
12437529,away,Mallorca,Martin Valjent,martin-valjent,M. Valjent,D,24,187,757,M,,300522,EUR,818640000,D,24,24,False,18.0,12.0,5.0,0.0,6.0,9.0,6.0,9.0,8.0,3.0,,,90.0,44.0,7.5,7.0,0.00941044,0,2.0,1.0,3.0,1.0,6.0,,,,2.0,1.0,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,
12437529,away,Mallorca,Antonio Raíllo,antonio-raillo,A. Raíllo,D,21,186,793,M,,807116,EUR,686880000,D,21,21,False,15.0,12.0,1.0,0.0,7.0,7.0,5.0,8.0,11.0,1.0,,,90.0,32.0,6.7,4.0,0.00376977,2,,4.0,1.0,6.0,2.0,,,,1.0,,2.0,0.2024,,,True,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
12437529,away,Mallorca,José Copete,jose-copete,J. Copete,D,3,190,437,M,,913695,EUR,939513600,D,6,6,False,22.0,19.0,4.0,0.0,17.0,18.0,2.0,4.0,9.0,7.0,,,90.0,44.0,7.5,4.0,0.00043162,0,2.0,,1.0,2.0,5.0,1.0,,,3.0,1.0,1.0,,,,,,,3.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,
12437529,away,Mallorca,Johan Mojica,johan-mojica,J. Mojica,D,22,185,3950,M,,344847,EUR,714355200,D,22,22,False,14.0,10.0,8.0,0.0,6.0,7.0,5.0,8.0,1.0,5.0,,,81.0,32.0,6.4,13.0,0.116995,0,6.0,1.0,,9.0,2.0,3.0,,,,,,,,1.0,,,,1.0,,,,1.0,6.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,
12437529,away,Mallorca,Antonio Sánchez,antonio-sanchez,A. Sánchez,M,6,179,256,M,,949722,EUR,861667200,M,18,18,False,12.0,4.0,1.0,0.0,3.0,7.0,1.0,7.0,1.0,5.0,,,81.0,24.0,6.5,13.0,0.00039627,0,,,,3.0,4.0,1.0,,,2.0,1.0,1.0,,,,,,,,1.0,2.0,,2.0,2.0,,1.0,,1.0,,,,,,,,,,,,
12437529,away,Mallorca,Omar Mascarell,omar-mascarell,O. Mascarell,M,5,181,553,M,,255999,EUR,728611200,M,5,5,False,19.0,12.0,3.0,0.0,10.0,12.0,2.0,7.0,1.0,1.0,,,86.0,30.0,6.8,9.0,0.00092738,0,1.0,,1.0,2.0,1.0,,,,,,1.0,,,,,,,3.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,
