match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_errorLeadToAShot,stat_wasFouled,stat_dispossessed,stat_bigChanceMissed,stat_goals,stat_fouls,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_hitWoodwork,player_sofascoreId,stat_totalOffside,captain,stat_clearanceOffLine
12448341,home,PSV Eindhoven,Walter Benítez,,,walter-benitez,W. Benítez,G,44,193,4345,M,249859,EUR,727401600,G,1,1,False,36.0,32.0,9.0,5.0,0.0,28.0,29.0,4.0,7.0,1.0,1.0,11.0,3.0,1.0,2.0,90.0,49.0,7.0,4.0,0.00085067,0,-0.1564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448341,home,PSV Eindhoven,Richard Ledezma,,,richard-ledezma,R. Ledezma,D,37,175,944,M,985176,EUR,968198400,D,37,37,False,73.0,67.0,6.0,6.0,0.0,30.0,33.0,40.0,44.0,2.0,5.0,8.0,,,,90.0,94.0,7.5,9.0,0.292937,1,,4.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0266,0.0465,5.0,,,,,,,,,,,,,,,,,,
12448341,home,PSV Eindhoven,Ryan Flamingo,Ryan Flamingo,,ryan-flamingo,R. Flamingo,D,6,186,1614,M,1046960,EUR,1041292800,D,6,6,False,78.0,71.0,4.0,1.0,0.0,49.0,52.0,22.0,26.0,4.0,6.0,3.0,,,,90.0,95.0,6.8,7.0,0.0117539,0,,,,5.0,2.0,,,,9.0,1.0,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,
12448341,home,PSV Eindhoven,Armando Obispo,,,armando-obispo,A. Obispo,D,4,184,450,M,825838,EUR,920592000,D,4,4,False,51.0,44.0,6.0,4.0,0.0,28.0,30.0,16.0,21.0,4.0,4.0,3.0,,,,45.0,61.0,7.9,8.0,0.00846632,3,,,,3.0,,,,3.0,3.0,,,0.3916,1.0608,,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,
12448341,home,PSV Eindhoven,Mauro Júnior,,,mauro-junior,M. Júnior,D,17,171,1141,M,893499,EUR,925948800,D,17,17,False,76.0,68.0,4.0,3.0,0.0,24.0,27.0,45.0,55.0,,5.0,8.0,,,,90.0,105.0,7.3,18.0,0.206509,3,,6.0,1.0,5.0,,6.0,4.0,1.0,2.0,,,0.1815,0.1144,2.0,2.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,
12448341,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185,3780,M,850816,EUR,911433600,M,23,23,False,82.0,69.0,7.0,6.0,1.0,22.0,25.0,51.0,67.0,1.0,6.0,3.0,,,,90.0,108.0,8.7,22.0,0.519364,2,,10.0,4.0,8.0,1.0,2.0,2.0,1.0,,3.0,1.0,0.2602,,9.0,2.0,1.0,,,2.0,1.0,,3.0,1.0,,,1.0,2.0,1.0,,,,
12448341,home,PSV Eindhoven,Guus Til,,,guus-til,G. Til,M,20,183,2263,M,845798,EUR,882748800,M,20,20,False,26.0,21.0,,,0.0,10.0,10.0,12.0,17.0,4.0,7.0,2.0,,,,63.0,42.0,7.5,9.0,0.0758554,6,,1.0,1.0,2.0,,2.0,,4.0,,1.0,1.0,0.4892,0.3092,,,,,3.0,,,,,2.0,,,1.0,,,,,,
12448341,home,PSV Eindhoven,Jerdy Schouten,,,jerdy-schouten,J. Schouten,M,22,185,1244,M,844234,EUR,853027200,M,22,22,False,39.0,35.0,1.0,,0.0,17.0,18.0,18.0,21.0,,,4.0,,,,74.0,49.0,6.1,8.0,0.0320082,1,,,,6.0,,1.0,,1.0,2.0,,,0.1296,0.1605,,2.0,,,,2.0,1.0,,1.0,,,1.0,1.0,,,,,,
12448341,home,PSV Eindhoven,Johan Bakayoko,Johan Bakayoko,,johan-bakayoko,J. Bakayoko,F,9,179,6820,M,1088896,EUR,1050796800,F,11,11,False,18.0,14.0,1.0,1.0,0.0,4.0,5.0,11.0,14.0,,1.0,1.0,,,,63.0,30.0,6.8,7.0,0.117828,3,,1.0,1.0,2.0,,,,2.0,3.0,,,0.7472,0.423,2.0,,,,1.0,,1.0,,2.0,1.0,,,3.0,,,johanbakayoko,1.0,,
12448341,home,PSV Eindhoven,Luuk de Jong,,,luuk-de-jong,L. de Jong,F,26,188,8572,M,40878,EUR,651715200,F,9,9,False,25.0,16.0,,,0.0,5.0,7.0,11.0,18.0,6.0,6.0,1.0,,,,90.0,42.0,8.1,14.0,0.269237,5,,,,6.0,1.0,,,1.0,4.0,,,0.3728,0.0161,3.0,4.0,,,,1.0,,,,4.0,,,4.0,3.0,,luukdejong9,,True,
12448341,home,PSV Eindhoven,Ivan Perišić,,,ivan-perisic,I. Perišić,M,5,187,17305,M,38710,EUR,602380800,F,5,5,False,40.0,29.0,6.0,4.0,0.0,10.0,13.0,23.0,41.0,2.0,4.0,7.0,,,,90.0,75.0,7.2,26.0,0.203711,4,,14.0,4.0,4.0,,1.0,,2.0,1.0,1.0,1.0,0.2379,0.1977,3.0,1.0,,,1.0,2.0,1.0,,,1.0,1.0,,1.0,,,ivanperisic444,,,
12448341,home,PSV Eindhoven,Adamo Nagalo,Adamo Nagalo,,adamo-nagalo,A. Nagalo,D,39,185,3457,M,1108094,EUR,1032652800,D,39,39,True,37.0,35.0,3.0,1.0,0.0,16.0,16.0,19.0,21.0,,3.0,3.0,,,,45.0,44.0,6.5,2.0,0.0712219,0,,,,4.0,,,,,2.0,2.0,2.0,,,,2.0,,,1.0,,,,2.0,,,,,,,,,,
12448341,home,PSV Eindhoven,Ismael Saibari,,,ismael-saibari,I. Saibari,M,34,185,23357,M,1063767,EUR,980640000,M,34,34,True,19.0,18.0,,,0.0,3.0,3.0,15.0,16.0,,3.0,2.0,,,,27.0,33.0,7.0,6.0,0.0530846,4,,,,3.0,,2.0,1.0,2.0,,1.0,1.0,0.2688,0.1894,,,,,1.0,2.0,,,,,2.0,,2.0,,,ismaelsaibari,,,
