match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_fouls,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_wonContest,player_firstName,player_lastName,captain,stat_hitWoodwork,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_lastManTackle
14083141,home,Rayo Vallecano,Augusto Batalla,augusto-batalla,A. Batalla,G,13,186.0,1488,M,358910,EUR,830822400,G,13,13,False,30.0,26.0,19.0,15.0,0.0,20.0,21.0,6.0,9.0,2.0,1.0,1.0,90.0,34.0,6.6,5.0,0.00120765,83.84365726454,12.0,39.585,6.72,0.0002,0,-0.6373,0.08,-0.06,-0.23,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083141,home,Rayo Vallecano,Andrei Rațiu,andrei-ratiu,A. Rațiu,D,2,183.0,8158,M,965031,EUR,898300800,D,2,2,False,43.0,35.0,2.0,1.0,0.0,12.0,15.0,23.0,28.0,2.0,,,90.0,81.0,6.7,14.0,0.0239318,141.23635455055,14.0,118.965,23.415,,3,,0.0,0.17,-0.01,,Sonic,1.0,1.0,2.0,6.0,6.0,2.0,3.0,1.0,3.0,8.0,1.0,2.0,2.0,1.0,2.0,0.0645,3.0,-0.34,,,,,,,,,,,,,,,,,,,,
14083141,home,Rayo Vallecano,Florian Lejeune,florian-lejeune,F. Lejeune,D,24,190.0,1047,M,88528,EUR,674697600,D,24,24,False,53.0,44.0,10.0,3.0,0.0,28.0,28.0,16.0,25.0,4.0,,,90.0,67.0,6.9,9.0,0.0163646,105.17874473947,17.0,67.2,19.95,,1,,0.26,0.07,0.26,,,,,1.0,2.0,2.0,,,,1.0,7.0,1.0,2.0,1.0,1.0,,0.0208,,-0.07,2.0,,,,,,,,,,,,,,,,,,,
14083141,home,Rayo Vallecano,Nobel Mendy,mendy-nobel,N. Mendy,D,32,187.0,3702,M,1458073,EUR,1092614400,D,32,32,False,47.0,42.0,5.0,3.0,0.0,32.0,35.0,10.0,12.0,3.0,,,83.0,59.0,7.7,6.0,0.00412206,83.734827762255,10.0,25.935,16.275,,2,,0.07,0.03,0.17,,,,1.0,2.0,4.0,3.0,1.0,,,1.0,4.0,2.0,,,,1.0,0.5811,,0.5,2.0,1.0,1.0,1.0,1.0,0.4238,,,,,,,,,,,,,,
14083141,home,Rayo Vallecano,Josep Chavarría,josep-chavarria,J. Chavarría,D,3,174.0,630,M,1010421,EUR,892166400,D,3,3,False,54.0,47.0,6.0,2.0,0.0,27.0,29.0,20.0,25.0,6.0,1.0,,90.0,84.0,7.2,13.0,0.198333,320.93960536878,26.0,232.05,42.21,,0,,0.35,0.33,-0.11,,,7.0,,1.0,1.0,4.0,,1.0,,,4.0,,,2.0,2.0,,,2.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,
14083141,home,Rayo Vallecano,Óscar Valentín,oscar-valentin,Ó. Valentín,M,23,177.0,443,M,900008,EUR,777340800,M,23,23,False,45.0,39.0,5.0,3.0,0.0,14.0,16.0,25.0,29.0,7.0,,1.0,90.0,52.0,6.8,8.0,0.0179748,102.6704055733,15.0,26.25,13.965,,0,,0.15,0.05,-0.07,,,1.0,1.0,1.0,4.0,5.0,,,,,,,,3.0,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,,True,,,,,,,,,
14083141,home,Rayo Vallecano,Fran Pérez,fran-perez,F. Pérez,M,21,176.0,466,M,966637,EUR,1031529600,M,21,21,False,17.0,15.0,,,0.0,6.0,7.0,9.0,10.0,7.0,,3.0,69.0,30.0,6.4,7.0,0.00449376,93.07364840948,10.0,44.835,21.63,,3,,-0.09,-0.15,0.13,,,1.0,,1.0,2.0,2.0,,1.0,,1.0,,,1.0,1.0,1.0,,0.5561,,-0.26,1.0,,1.0,2.0,,0.2107,,,,,,1.0,,,,,,,,
14083141,home,Rayo Vallecano,Unai López,unai-lopez,U. López,M,17,169.0,518,M,588566,EUR,815011200,M,17,17,False,38.0,33.0,4.0,2.0,0.0,15.0,17.0,18.0,21.0,2.0,,3.0,69.0,52.0,6.4,15.0,0.0371413,105.36827525892,13.0,-45.675,2.415,,1,,-0.03,-0.03,-0.1,,,7.0,,1.0,2.0,2.0,1.0,,,,,,,,,1.0,0.0152,3.0,-0.02,1.0,,,1.0,,0.011,1.0,,,,,,,,,,,,,
14083141,home,Rayo Vallecano,Gerard Gumbau,gerard-gumbau,G. Gumbau,M,15,187.0,380,M,326471,EUR,787708800,M,15,15,False,42.0,33.0,5.0,3.0,1.0,15.0,18.0,18.0,24.0,7.0,,1.0,90.0,66.0,7.4,16.0,0.20816,120.74310947298,14.0,73.605,16.695,,4,,0.32,0.32,-0.01,,,8.0,1.0,1.0,5.0,7.0,,2.0,,,2.0,,1.0,4.0,2.0,,0.1087,3.0,-0.21,3.0,1.0,,2.0,,0.3043,2.0,2.0,,,,,2.0,,,,,,,
14083141,home,Rayo Vallecano,Álvaro García,alvaro-garcia,Á. García,M,18,168.0,1132,M,345111,EUR,720144000,M,18,18,False,23.0,15.0,5.0,3.0,0.0,7.0,8.0,8.0,15.0,3.0,,4.0,89.0,44.0,7.6,15.0,0.0134171,92.3218972003,8.0,60.27,31.185,,2,,0.3,0.26,0.2,,,2.0,1.0,,3.0,3.0,,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.05,1.0,-0.16,,1.0,,,,,,,,,,,1.0,1.0,,,,,,
