match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,player_id,player_name
11401969,FT,1.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,
11401969,,,,,90,0.0,,1,,,injuryTime,2.0,,,,,,
11401969,,,,,80,,,11,,,substitution,,122368637.0,False,False,regular,,
11401969,,,,,79,,,12,,,substitution,,122368636.0,False,False,regular,,
11401969,,,,,66,,,25,,,substitution,,122368594.0,False,True,regular,,
11401969,,,,,66,,,25,,,substitution,,122368593.0,False,True,regular,,
11401969,,,,,66,,,25,,,substitution,,122368595.0,False,False,regular,,
11401969,,1.0,1.0,,65,,,26,,,goal,,177680924.0,,True,regular,794990.0,Siebe Horemans
11401969,,0.0,1.0,,63,,,28,,,goal,,177680757.0,,False,regular,99960.0,Jens Toornstra
11401969,,,,,46,,,45,,,substitution,,122368503.0,False,True,regular,,
11401969,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,
