match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_fouls,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_unsuccessfulTouch,stat_aerialWon,stat_challengeLost,stat_dispossessed,captain,stat_shotOffTarget,stat_interceptionWon,stat_errorLeadToAShot,stat_expectedGoals,stat_outfielderBlock,stat_totalTackle,stat_keyPass,stat_totalContest,stat_wonContest,stat_wonTackle,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,player_firstName,player_lastName,stat_goodHighClaim,stat_punches,stat_hitWoodwork,stat_goals,stat_blockedScoringAttempt
11368664,home,Mallorca,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192,2732,M,188107,EUR,815097600,G,1,1,False,23.0,16.0,8.0,2.0,16.0,18.0,5.0,1.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,3.0,90.0,36.0,6.6,7.0,0.00014689,0,-0.7563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368664,home,Mallorca,Pablo Maffeo,pablo-maffeo,P. Maffeo,D,23,173,2206,M,788216,EUR,868665600,D,15,15,False,18.0,11.0,4.0,1.0,4.0,5.0,16.0,3.0,3.0,1.0,,3.0,1.0,,,,62.0,29.0,6.4,13.0,0.0068429,0,,7.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368664,home,Mallorca,Martin Valjent,martin-valjent,M. Valjent,D,24,187,757,M,300522,EUR,818640000,D,24,24,False,50.0,48.0,1.0,1.0,20.0,21.0,35.0,1.0,4.0,1.0,1.0,3.0,,1.0,,,76.0,62.0,6.5,9.0,0.0110989,0,,28.0,6.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11368664,home,Mallorca,Antonio Raíllo,antonio-raillo,A. Raíllo,D,21,186,793,M,807116,EUR,686880000,D,21,21,False,100.0,89.0,12.0,7.0,40.0,42.0,59.0,1.0,3.0,2.0,1.0,2.0,,2.0,,,90.0,111.0,7.0,13.0,0.0489172,1,,49.0,1.0,1.0,2.0,,,True,1.0,4.0,1.0,0.0285,,,,,,,,,,,,,,,,,,,,
11368664,home,Mallorca,Matija Nastasić,matija-nastasic,M. Nastasić,D,15,188,481,M,98440,EUR,733276800,D,2,2,False,92.0,77.0,10.0,7.0,33.0,38.0,55.0,,2.0,3.0,5.0,4.0,,2.0,,,90.0,106.0,7.3,16.0,0.0383809,0,,44.0,1.0,,1.0,,,,,2.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
11368664,home,Mallorca,Toni Lato,toni-lato,T. Lato,D,3,173,265,M,828239,EUR,880070400,D,3,3,False,46.0,41.0,2.0,1.0,19.0,21.0,27.0,2.0,4.0,4.0,2.0,5.0,,1.0,,,90.0,67.0,6.7,9.0,0.0185107,0,,22.0,2.0,,1.0,,1.0,,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
11368664,home,Mallorca,Dani Rodríguez,dani-rodriguez,D. Rodríguez,M,9,177,524,M,349526,EUR,581558400,M,14,14,False,24.0,20.0,3.0,1.0,7.0,8.0,20.0,2.0,9.0,1.0,2.0,2.0,1.0,1.0,,,76.0,39.0,6.1,14.0,0.00701838,0,,13.0,4.0,1.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
11368664,home,Mallorca,Omar Mascarell,omar-mascarell,O. Mascarell,M,5,181,553,M,255999,EUR,728611200,M,5,5,False,53.0,50.0,1.0,1.0,21.0,22.0,31.0,,1.0,,1.0,6.0,,,,,86.0,59.0,6.8,3.0,0.0136926,0,,29.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
11368664,home,Mallorca,Sergi Darder,sergi-darder,S. Darder,M,10,180,979,M,110783,EUR,756518400,M,10,10,False,51.0,45.0,5.0,3.0,14.0,16.0,46.0,,,2.0,,1.0,1.0,,,,90.0,68.0,7.4,15.0,0.11486,1,,34.0,11.0,1.0,,,,,,,,0.013,,1.0,2.0,,,,3.0,1.0,1.0,0.4273,,,,,,,,,,
11368664,home,Mallorca,Vedat Muriqi,vedat-muriqi,V. Muriqi,F,7,194,5879,M,310874,EUR,767145600,F,7,7,False,21.0,14.0,1.0,1.0,5.0,6.0,17.0,2.0,6.0,9.0,,2.0,3.0,3.0,,,90.0,37.0,6.6,14.0,0.0182057,2,,9.0,2.0,2.0,6.0,,2.0,,1.0,,,0.0808,,,1.0,1.0,,,,,1.0,0.0392,vedatmuriqi,1.0,1.0,,,,,,,
