match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_challengeLost,stat_errorLeadToAShot,captain,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_penaltyConceded,stat_hitWoodwork,stat_bigChanceMissed,stat_interceptionWon
14025174,home,Newcastle United,Aaron Ramsdale,,,aaron-ramsdale,A. Ramsdale,G,32,191,8533,M,ARamsdale,839410,EUR,895104000,G,32,32,False,29.0,26.0,6.0,3.0,0.0,25.0,25.0,1.0,4.0,1.0,1.0,2.0,16.0,1.0,1.0,2.0,1.0,90.0,42.0,7.0,4.0,0.00024271,37.170887947449,8.0,14.595,5.145,0.1675,0,0.258,0.09,0.01,-0.03,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025174,home,Newcastle United,Valentino Livramento,,,valentino-livramento,V. Livramento,D,21,181,4840,M,,980634,EUR,1037059200,D,21,21,False,70.0,65.0,4.0,2.0,0.0,25.0,26.0,40.0,44.0,,6.0,3.0,10.0,,,,,90.0,95.0,6.8,10.0,0.067959,193.96794715517,23.0,34.44,24.36,,0,,0.07,0.02,-0.04,,1.0,1.0,3.0,5.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14025174,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3172,M,,101882,EUR,693187200,D,5,5,False,79.0,70.0,14.0,7.0,0.0,39.0,43.0,31.0,36.0,4.0,7.0,2.0,5.0,,,,,90.0,91.0,7.2,9.0,0.0122495,190.557912145,30.0,81.9,17.535,,2,,0.36,0.17,0.16,,,,5.0,7.0,,3.0,2.0,,,3.0,1.0,,1.0,1.0,1.0,0.1113,0.3491,0.0,,,,,,,,,,,,
14025174,home,Newcastle United,Malick Thiaw,,,malick-thiaw,M. Thiaw,D,12,194,6237,M,MThiaw,1014286,EUR,997228800,D,12,12,False,68.0,62.0,8.0,7.0,0.0,38.0,41.0,24.0,27.0,5.0,6.0,6.0,3.0,,,,,90.0,77.0,7.8,7.0,0.0112739,170.37454703401,23.0,95.655,21.315,,0,,0.28,0.4,0.36,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
14025174,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201,4473,M,,99090,EUR,705369600,D,33,33,False,38.0,35.0,3.0,2.0,0.0,16.0,17.0,19.0,21.0,1.0,2.0,4.0,3.0,,,,,63.0,47.0,6.9,5.0,0.015301,69.791897255882,9.0,44.52,16.17,,0,,0.19,-0.02,-0.06,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
14025174,home,Newcastle United,Joe Willock,,,joe-willock,J. Willock,M,28,186,2651,M,,888550,EUR,935107200,M,28,28,False,32.0,27.0,1.0,1.0,0.0,4.0,4.0,23.0,28.0,,2.0,1.0,,,,,,63.0,39.0,6.6,6.0,0.0218028,190.13212642834,18.0,121.695,27.09,,1,,-0.38,0.1,-0.03,,1.0,,,1.0,,2.0,2.0,,,,,1.0,1.0,,,0.0779,,-0.08,1.0,,,,,,,,,,,
14025174,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31550,M,BrunoGuimarães,866469,EUR,879638400,M,39,39,False,74.0,69.0,2.0,1.0,0.0,21.0,22.0,48.0,52.0,,6.0,,6.0,,,,,90.0,97.0,9.1,14.0,0.238927,144.38844610251,26.0,65.625,7.455,,5,,0.69,0.41,-0.06,,6.0,,,2.0,1.0,1.0,,1.0,4.0,1.0,,1.0,1.0,3.0,,0.1426,0.5614,0.53,,,True,1.0,1.0,1.0,1.0,1.0,,,,
14025174,home,Newcastle United,Jacob Ramsey,,,jacob-ramsey,J. Ramsey,M,41,180,3186,M,,975937,EUR,991008000,M,41,41,False,60.0,56.0,1.0,1.0,0.0,16.0,17.0,40.0,43.0,1.0,4.0,1.0,8.0,,,,,89.0,73.0,6.6,9.0,0.293613,221.56448603206,28.0,88.095,17.22,,1,,0.27,0.42,-0.12,,1.0,,,1.0,2.0,2.0,1.0,3.0,,2.0,,1.0,1.0,,,0.0915,,-0.28,,,,,1.0,,,,1.0,,,
14025174,home,Newcastle United,Anthony Elanga,,,anthony-elanga,A. Elanga,M,20,178,10434,M,anthonyelanga,979232,EUR,1019865600,F,20,20,False,37.0,32.0,1.0,,0.0,7.0,8.0,25.0,29.0,,3.0,,,,,,,90.0,61.0,6.2,19.0,0.037402,234.36735139269,26.0,96.705,17.535,,3,,0.05,0.23,-0.04,,6.0,,1.0,10.0,7.0,1.0,1.0,,1.0,,,,1.0,1.0,,0.1818,0.1385,-0.49,1.0,,,2.0,1.0,,1.0,,,,,
14025174,home,Newcastle United,Nick Woltemade,,,nick-woltemade,N. Woltemade,F,27,198,55466,M,,980623,EUR,1013644800,F,27,27,False,12.0,11.0,1.0,,0.0,3.0,3.0,8.0,9.0,,1.0,2.0,1.0,,,,,74.0,18.0,6.4,2.0,0.00399925,6.7188994010368,2.0,4.83,3.15,,1,,-0.06,0.03,0.16,,,,,2.0,1.0,,,,,,1.0,,,,,0.2056,,-0.47,1.0,,,1.0,1.0,,1.0,,,,,
