match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_fouls,stat_totalOffside,stat_interceptionWon,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_goals,player_firstName,player_lastName,stat_bigChanceMissed,stat_outfielderBlock,stat_blockedScoringAttempt
10388353,home,Bayer 04 Leverkusen,Lukáš Hrádecký,lukas-hradecky,L. Hrádecký,G,1,190,2547,M,15219,EUR,627868800,G,1,1,False,True,23.0,16.0,13.0,6.0,11.0,12.0,5.0,11.0,8.0,1.0,1.0,2.0,1.0,3.0,4.0,90.0,34.0,5.8,10.0,0.0,0.0,0.0015717,0,0.3889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388353,home,Bayer 04 Leverkusen,Edmond Tapsoba,edmond-tapsoba,E. Tapsoba,D,12,193,33838,M,883262,EUR,917913600,D,12,12,False,,74.0,64.0,8.0,4.0,22.0,24.0,42.0,50.0,10.0,,,,,,,90.0,82.0,6.4,11.0,0.1363,0.0,0.0465981,1,,edmondtapsoba,3.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,
10388353,home,Bayer 04 Leverkusen,Jonathan Tah,jonathan-tah,J. Tah,D,4,194,9454,M,227672,EUR,823996800,D,4,4,False,,62.0,60.0,4.0,3.0,34.0,34.0,26.0,28.0,5.0,,,,,,,90.0,68.0,6.7,2.0,0.0,0.0,0.0190308,0,,jonatah,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,
10388353,home,Bayer 04 Leverkusen,Piero Hincapié,piero-hincapie,P. Hincapié,D,5,184,31047,M,1002837,EUR,1010534400,D,3,3,False,,65.0,59.0,4.0,1.0,30.0,31.0,29.0,34.0,12.0,,,2.0,,,,90.0,77.0,7.3,9.0,0.0983,0.0602,0.159719,1,,pierohincapie,1.0,2.0,3.0,7.0,,1.0,,,2.0,1.0,,,1.0,1.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,
10388353,home,Bayer 04 Leverkusen,Jeremie Frimpong,jeremie-frimpong,J. Frimpong,M,30,171,32709,M,970361,EUR,976406400,M,30,30,False,,31.0,28.0,2.0,1.0,10.0,10.0,20.0,24.0,5.0,,,3.0,,,,90.0,59.0,6.9,12.0,0.086,0.0596,0.47844,1,,jeremie_frimpong,,,4.0,2.0,2.0,3.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,2.0,,,,,,,
10388353,home,Bayer 04 Leverkusen,Exequiel Palacios,exequiel-palacios,E. Palacios,M,25,177,12684,M,822600,EUR,907545600,M,25,25,False,,73.0,64.0,2.0,,31.0,36.0,33.0,37.0,6.0,,,,,,,90.0,84.0,6.8,9.0,0.0708,0.0,0.0649265,2,,exepalaciosok,,,4.0,5.0,,,,2.0,,3.0,,,,,,3.0,,2.0,,,,1.0,,,,,,
10388353,home,Bayer 04 Leverkusen,Kerem Demirbay,kerem-demirbay,K. Demirbay,M,26,185,2108,M,142619,EUR,741657600,M,10,10,False,,71.0,65.0,2.0,2.0,26.0,27.0,41.0,47.0,2.0,,,1.0,,,,90.0,87.0,7.8,9.0,0.2348,0.9121,0.267235,1,,,,,4.0,6.0,1.0,1.0,1.0,,1.0,2.0,,1.0,,,1.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,,,,,
10388353,home,Bayer 04 Leverkusen,Mitchel Bakker,mitchel-bakker,M. Bakker,D,5,185,1235,M,856638,EUR,961459200,M,5,5,False,,34.0,30.0,2.0,1.0,11.0,12.0,19.0,22.0,3.0,,,,,,,90.0,41.0,6.4,5.0,0.0,0.0,0.0350111,0,,,,,2.0,2.0,,2.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,
10388353,home,Bayer 04 Leverkusen,Moussa Diaby,diaby-moussa,M. Diaby,M,19,170,7561,M,855817,EUR,931305600,F,19,19,False,,33.0,28.0,,,2.0,3.0,26.0,30.0,,,,4.0,,,,84.0,51.0,6.7,12.0,0.4714,0.0,0.211154,3,,moussadiaby,,,3.0,8.0,2.0,5.0,4.0,3.0,,,,,,,,,,4.0,,,,,,,,1.0,,
10388353,home,Bayer 04 Leverkusen,Florian Wirtz,florian-wirtz,F. Wirtz,F,7,175,148971,M,1019322,EUR,1051920000,F,27,27,False,,39.0,32.0,1.0,1.0,6.0,8.0,26.0,33.0,3.0,,,3.0,,,,72.0,58.0,7.2,17.0,0.0,0.0,0.298235,0,,FWirtz,,,7.0,6.0,3.0,6.0,4.0,,,1.0,,,,,,,,2.0,4.0,2.0,,1.0,,,,,,
