match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalClearance,stat_totalTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_challengeLost,stat_wonTackle,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_unsuccessfulTouch,captain,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyMiss,stat_penaltyWon,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_penaltyConceded,stat_totalOffside
14131883,home,CF Estrela Amadora,Renan Ribeiro,renan-ribeiro,R. Ribeiro,G,40,193,156,M,82598,EUR,638150400,G,40,40,False,20.0,12.0,10.0,2.0,0.0,12.0,14.0,6.0,7.0,90.0,26.0,6.2,8.0,3.828e-05,0,-0.8574,0.0,-0.01,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131883,home,CF Estrela Amadora,Sidny Lopes Cabral,sidny-lopes-cabral,S. L. Cabral,D,15,176,1269,M,1117723,EUR,1032307200,D,55,55,False,12.0,11.0,4.0,3.0,0.0,6.0,6.0,6.0,1.0,90.0,52.0,7.9,20.0,0.178573,2,,0.34,0.1,-0.35,Sidny Lopes Cabral,,5.0,13.0,4.0,1.0,2.0,6.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0557,0.5598,3.0,0.55,,,,,,,,,,,,,,,,,,,,,,
14131883,home,CF Estrela Amadora,Luan Patrick,luan-patrick,Luan Patrick,D,30,190,249,M,1002565,EUR,1011484800,D,30,30,False,15.0,11.0,3.0,2.0,0.0,8.0,9.0,6.0,1.0,54.0,18.0,6.0,4.0,0.00290199,0,,-0.03,0.09,-0.39,,,3.0,,,,,1.0,1.0,,,,,,,2.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14131883,home,CF Estrela Amadora,Bernardo Schappo,schappo-bernardo,B. Schappo,D,14,191,188,M,1017590,EUR,922060800,D,14,14,False,53.0,45.0,9.0,2.0,0.0,29.0,32.0,21.0,6.0,90.0,77.0,7.5,9.0,0.0879973,3,,0.43,0.11,-0.22,,,16.0,,,2.0,8.0,5.0,14.0,1.0,,,,,,8.0,2.0,4.0,1.0,0.1334,,1.0,-0.52,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
14131883,home,CF Estrela Amadora,Atanas Chernev,chernev-atanas,A. Chernev,D,16,193,204,M,1031642,EUR,1017014400,D,79,79,False,35.0,29.0,5.0,3.0,0.0,21.0,24.0,11.0,,90.0,47.0,6.6,7.0,0.0332794,2,,0.14,0.08,-0.33,,,8.0,1.0,1.0,2.0,6.0,5.0,8.0,1.0,,,,1.0,,3.0,1.0,1.0,2.0,0.2857,,,-0.01,,,1.0,,,,,,,,,,,,,,,,,,,
14131883,home,CF Estrela Amadora,Fábio Ronaldo,fabio-ronaldo,F. Ronaldo,F,11,178,236,M,1134514,EUR,988416000,D,7,7,False,13.0,7.0,4.0,2.0,0.0,4.0,8.0,5.0,2.0,54.0,35.0,6.2,13.0,0.00306456,1,,0.01,-0.22,-0.67,,,3.0,,,,1.0,4.0,4.0,2.0,2.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,0.6878,0.9324,1.0,0.32,,1.0,,,,1.0,,,,,,,,,,,,,,,,
14131883,home,CF Estrela Amadora,Abraham Marcus,abraham-marcus,A. Marcus,M,99,178,255,M,1090543,EUR,946771200,M,99,99,False,15.0,13.0,5.0,4.0,0.0,5.0,5.0,10.0,3.0,78.0,27.0,6.7,7.0,0.264474,1,,0.38,0.27,-0.11,Abraham Marcus,,8.0,2.0,1.0,4.0,1.0,5.0,1.0,,1.0,,1.0,,,1.0,,,,0.1038,0.1033,1.0,-0.35,,,,,,,1.0,2.0,,,,,,,,,,,,,,
14131883,home,CF Estrela Amadora,Paulo Moreira,paulo-daniel-valente-moreira,P. Moreira,M,19,176,52,M,1090646,EUR,950745600,M,19,19,False,21.0,18.0,,,0.0,9.0,10.0,11.0,1.0,47.0,26.0,5.4,5.0,0.00669017,0,,0.01,0.02,-0.17,Paulo,Moreira,9.0,,,,1.0,1.0,3.0,,,,,,,,1.0,1.0,1.0,,,2.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,,
14131883,home,CF Estrela Amadora,Jovane Cabral,jovane-cabral,J. Cabral,F,11,176,1128,M,845802,EUR,897782400,M,11,11,False,40.0,30.0,6.0,2.0,0.0,8.0,8.0,32.0,10.0,90.0,67.0,7.4,18.0,0.174372,3,,0.28,0.37,-0.17,,,22.0,2.0,,,,6.0,9.0,3.0,1.0,1.0,,3.0,,,3.0,5.0,2.0,0.0722,,1.0,-0.13,1.0,,,,,,,2.0,True,,,,,,,,,,,,,
14131883,home,CF Estrela Amadora,Joao Gastao,gastao-joao,J. Gastao,F,89,180,63,M,2218660,EUR,1153526400,F,89,89,False,3.0,1.0,,,1.0,,,3.0,1.0,45.0,9.0,6.8,4.0,0.00109109,1,,0.02,0.05,0.26,,,1.0,,,2.0,2.0,3.0,3.0,1.0,,,,,,,,1.0,1.0,0.0964,,2.0,-0.2,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
