match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name
11392875,FT,2.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
11392875,,,,,90,0.0,,1,,,injuryTime,8.0,,,,,,,,,
11392875,,,,,86,,,5,,,substitution,,121988658.0,False,True,regular,,,,,
11392875,,,,,86,,,5,,,substitution,,121988657.0,False,True,regular,,,,,
11392875,,,,,84,,,7,,,substitution,,121988646.0,False,False,regular,,,,,
11392875,,,,,84,,,7,,,substitution,,121988645.0,False,False,regular,,,,,
11392875,,,,,84,,,7,,,substitution,,121988644.0,False,False,regular,,,,,
11392875,,,,,83,,,8,,,card,,120881053.0,,False,yellow,Ibrahima Sissoko,Foul,False,829093.0,Ibrahima Sissoko
11392875,,,,,82,,,9,,,card,,120881052.0,,True,yellow,Hicham Boudaoui,Foul,False,985923.0,Hicham Boudaoui
11392875,,,,,77,,,14,,,substitution,,121988591.0,True,True,injury,,,,,
11392875,,2.0,0.0,,75,,,16,,,goal,,171851713.0,,True,regular,,,,894396.0,Terem Moffi
11392875,,,,,69,,,22,,,substitution,,121988502.0,False,True,regular,,,,,
11392875,,,,,69,,,22,,,substitution,,121988503.0,False,True,regular,,,,,
11392875,,,,,64,,,27,,,substitution,,121988444.0,False,False,regular,,,,,
11392875,,,,,64,,,27,,,substitution,,121988445.0,False,False,regular,,,,,
11392875,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
11392875,,1.0,0.0,,45,2.0,,1,,,goal,,171849269.0,,True,regular,,,,894238.0,Youcef Atal
11392875,,,,,45,0.0,,1,,,injuryTime,4.0,,,,,,,,,
11392875,,,,,5,,,41,,,card,,120880462.0,,True,yellow,Dante,Foul,False,3577.0,Dante
