match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_fouls,captain,stat_accurateCross,stat_aerialLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_shotOffTarget,stat_bigChanceCreated,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalAssist,stat_hitWoodwork,stat_goals
11450019,home,Adana Demirspor,Shahrudin Mahammadaliyev,,,sahrudin-mahammadaliyev,Ş. Mahammadaliev,G,1,185,5783,M,shahrudin1,813105,EUR,771379200,G,71,71,False,30.0,11.0,20.0,3.0,9.0,13.0,2.0,17.0,14.0,1.0,6.0,6.0,90.0,45.0,7.1,19.0,0.00068944,0,-0.5603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450019,home,Adana Demirspor,Youcef Atal,,,youcef-atal,Y. Atal,D,20,176,9823,M,youcefatal,894238,EUR,832291200,D,31,31,False,42.0,33.0,5.0,1.0,21.0,25.0,12.0,21.0,12.0,,,,90.0,80.0,6.5,23.0,0.0355458,0,,4.0,2.0,7.0,9.0,3.0,1.0,6.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
11450019,home,Adana Demirspor,Andreaw Gravillon,,,andreaw-gravillon,A. Gravillon,D,26,188,179,M,,827934,EUR,886896000,D,5,5,False,29.0,27.0,6.0,4.0,18.0,20.0,9.0,10.0,3.0,,,,90.0,47.0,6.8,6.0,0.00570696,0,,1.0,1.0,3.0,2.0,1.0,,2.0,1.0,9.0,2.0,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,
11450019,home,Adana Demirspor,Semih Güler,,,semih-guler,S. Güler,D,6,184,112,M,,325155,EUR,786153600,D,4,4,False,4.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,11.0,6.0,6.7,2.0,8.491e-05,0,,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,
11450019,home,Adana Demirspor,Milad Mohammadi,,,milad-mohammadi,M. Mohammadi,D,4,178,1050,M,,812531,EUR,749260800,D,13,13,False,15.0,12.0,,,6.0,6.0,7.0,10.0,4.0,,,,90.0,42.0,6.6,7.0,0.0042487,2,,1.0,,7.0,3.0,2.0,2.0,,,6.0,1.0,1.0,3.0,3.0,2.0,,,,,1.0,3.0,1.0,1.0,0.0816,0.0162,,,,,,,,,
11450019,home,Adana Demirspor,Édouard Michut,,,edouard-michut,É. Michut,M,20,178,701,M,,1048011,EUR,1046736000,M,20,20,False,28.0,26.0,1.0,1.0,15.0,17.0,11.0,11.0,3.0,,,,65.0,40.0,6.7,6.0,0.015865,1,,,1.0,3.0,3.0,,3.0,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,1.0,,0.1486,0.061,,,,,,,,,
11450019,home,Adana Demirspor,Maestro,,,maestro,Maestro,M,58,173,1198,M,,1002146,EUR,1059955200,M,58,58,False,38.0,33.0,4.0,2.0,22.0,24.0,11.0,15.0,9.0,,,,90.0,58.0,7.3,11.0,0.015748,0,,1.0,,5.0,8.0,1.0,1.0,3.0,2.0,2.0,1.0,,3.0,2.0,3.0,3.0,3.0,1.0,,,1.0,,,,,,,,,,,,,
11450019,home,Adana Demirspor,Yusuf Barası,,,yusuf-barasi,Y. Barası,F,9,182,285,M,,1000187,EUR,1049068800,M,56,56,False,4.0,4.0,,,3.0,3.0,1.0,1.0,1.0,,,,65.0,17.0,6.5,4.0,0.00044093,3,,,,4.0,4.0,,1.0,1.0,1.0,1.0,,,3.0,3.0,3.0,,,1.0,,,2.0,1.0,1.0,0.1923,0.4979,1.0,1.0,,,,,,,
11450019,home,Adana Demirspor,Stiven Mendoza,,,steven-mendoza,S. Mendoza,M,7,171,1016,M,,354510,EUR,709603200,M,11,11,False,27.0,25.0,2.0,1.0,12.0,12.0,13.0,15.0,6.0,,,,90.0,49.0,6.6,9.0,0.106356,4,,,,6.0,6.0,,3.0,3.0,2.0,,,,3.0,2.0,2.0,1.0,2.0,2.0,,,,3.0,1.0,0.1782,0.4469,2.0,,1.0,,,,,,
11450019,home,Adana Demirspor,Yusuf Erdoğan,,,yusuf-erdogan,Y. Erdoğan,M,10,172,204,M,,256663,EUR,713145600,M,32,32,False,17.0,15.0,,,2.0,3.0,15.0,18.0,3.0,,,,90.0,28.0,6.3,8.0,0.0916705,2,,4.0,,3.0,,,2.0,,,1.0,,,,,2.0,,1.0,,,2.0,1.0,,2.0,0.0792,,,,,1.0,,,,,
11450019,home,Adana Demirspor,Mario Balotelli,,,mario-balotelli,M. Balotelli,F,,189,11878,M,SuperMario,25530,EUR,650419200,F,9,9,False,23.0,18.0,5.0,3.0,8.0,8.0,10.0,15.0,,,,,85.0,47.0,7.1,15.0,0.106119,5,,,1.0,11.0,6.0,,4.0,4.0,2.0,1.0,,,1.0,,3.0,2.0,5.0,2.0,,,3.0,1.0,3.0,0.1245,0.205,,1.0,1.0,,,,,,
