match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_outfielderBlock,stat_aerialLost,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId,stat_bigChanceCreated,stat_goalAssist
10406969,home,KVC Westerlo,Sinan Bolat,,,sinan-bolat,S. Bolat,G,26,187,164,M,5920,EUR,589248000,G,1,1,False,True,39.0,20.0,28.0,10.0,18.0,23.0,2.0,16.0,1.0,1.0,1.0,10.0,3.0,4.0,90.0,50.0,6.2,22.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10406969,home,KVC Westerlo,Bryan Reynolds,,,bryan-reynolds,B. Reynolds,D,22,185,426,M,862075,EUR,993686400,D,22,22,False,,35.0,31.0,9.0,6.0,19.0,20.0,13.0,17.0,4.0,2.0,1.0,7.0,,,90.0,56.0,6.6,6.0,1,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,
10406969,home,KVC Westerlo,Roman Neustädter,,,roman-neustadter,R. Neustädter,D,33,190,122,M,38471,EUR,572140800,D,33,33,False,,42.0,38.0,4.0,2.0,28.0,30.0,10.0,12.0,,,3.0,7.0,,,90.0,51.0,6.6,4.0,0,,,,1.0,,,,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,
10406969,home,KVC Westerlo,Ravil Tagir,,,tagir-ravil,R. Tagir,D,28,185,250,M,992551,EUR,1052179200,D,24,24,False,,49.0,41.0,8.0,3.0,30.0,36.0,11.0,13.0,4.0,,5.0,7.0,,,90.0,65.0,6.4,11.0,0,,,3.0,3.0,1.0,,,,6.0,,,,,1.0,,2.0,2.0,,,,,,,,,
10406969,home,KVC Westerlo,Maxim De Cuyper,,,maxim-de-cuyper,M. De Cuyper,D,29,183,4477,M,997152,EUR,977443200,D,11,11,False,,41.0,35.0,5.0,4.0,15.0,19.0,20.0,23.0,6.0,,2.0,6.0,,,90.0,69.0,6.8,13.0,1,1.0,,1.0,3.0,4.0,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,
10406969,home,KVC Westerlo,Nacer Chadli,,,nacer-chadli,N. Chadli,M,,187,414,M,32492,EUR,618019200,M,5,5,False,,31.0,25.0,2.0,2.0,7.0,11.0,18.0,23.0,4.0,,,1.0,,,70.0,35.0,6.6,9.0,0,3.0,,1.0,2.0,,,,,,,,,1.0,1.0,,3.0,,,,1.0,,,,,,
10406969,home,KVC Westerlo,Nicolas Madsen,,,nicolas-madsen,N. Madsen,M,24,193,1189,M,938306,EUR,953251200,M,8,8,False,,45.0,38.0,8.0,5.0,17.0,19.0,21.0,28.0,2.0,,1.0,10.0,,,90.0,58.0,7.4,10.0,2,2.0,,,2.0,,1.0,,1.0,2.0,,2.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,
10406969,home,KVC Westerlo,Mathias Fixelles,,,mathias-fixelles,M. Fixelles,M,11,174,39,M,876447,EUR,839721600,M,4,4,False,,38.0,32.0,6.0,5.0,13.0,15.0,19.0,23.0,7.0,3.0,,7.0,,,78.0,50.0,7.2,10.0,1,,,,4.0,,2.0,1.0,,,,2.0,1.0,1.0,2.0,,1.0,3.0,1.0,1.0,,,,,,,
10406969,home,KVC Westerlo,Halil Akbunar,,,halil-akbunar,H. Akbunar,M,77,170,140,M,217782,EUR,752803200,M,35,35,False,,37.0,25.0,,,8.0,9.0,17.0,30.0,4.0,1.0,,9.0,,,89.0,52.0,6.7,18.0,3,2.0,,,3.0,,1.0,1.0,2.0,,,2.0,2.0,,1.0,,2.0,3.0,1.0,,,,,,,,
10406969,home,KVC Westerlo,Lyle Foster,,,foster-lyle,L. Foster,F,9,180,7083,M,901907,EUR,967939200,F,9,9,False,,22.0,15.0,3.0,2.0,4.0,4.0,11.0,18.0,6.0,,2.0,,,,90.0,36.0,6.5,12.0,2,,,1.0,4.0,3.0,2.0,2.0,1.0,,,,,1.0,2.0,,2.0,2.0,,,1.0,1.0,1.0,2.0,,,
10406969,home,KVC Westerlo,Dorgeles Nene,Nene Dorgeles,,nene-dorgeles,D. Nene,F,45,174,10370,M,1102788,EUR,1040601600,F,45,45,False,,29.0,21.0,4.0,4.0,11.0,15.0,10.0,14.0,4.0,,,9.0,,,78.0,43.0,6.7,15.0,0,,,1.0,5.0,2.0,1.0,,,,,1.0,1.0,3.0,,,1.0,3.0,,,1.0,,,1.0,d.nene10,,
10406969,home,KVC Westerlo,Lukas Van Eenoo,,,lukas-van-eenoo,L. V. Eenoo,M,8,175,44,M,45880,EUR,665798400,M,7,7,True,,10.0,9.0,3.0,2.0,2.0,3.0,7.0,7.0,1.0,,,2.0,,,20.0,11.0,6.4,1.0,0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
10406969,home,KVC Westerlo,Tuur Dierckx,,,tuur-dierckx,T. Dierckx,F,,171,133,M,190409,EUR,799977600,F,55,55,True,,8.0,5.0,1.0,,2.0,2.0,4.0,9.0,4.0,,,1.0,,,12.0,16.0,6.5,9.0,0,3.0,1.0,,,,4.0,,,1.0,,,,,,,,,,,2.0,,,,,1.0,
10406969,home,KVC Westerlo,Kyan Vaesen,,,vaesen-kyan,K. Vaesen,F,17,190,139,M,997827,EUR,987120000,F,14,14,True,,6.0,5.0,,,3.0,3.0,2.0,3.0,1.0,,,3.0,,,12.0,8.0,6.5,2.0,0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
10406969,home,KVC Westerlo,Edisson Jordanov,,,edisson-jordanov,E. Jordanov,D,24,172,62,M,129922,EUR,739497600,D,32,32,True,,6.0,5.0,,,,,5.0,7.0,1.0,,,,,,1.0,9.0,,3.0,0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10406969,home,KVC Westerlo,Nick Gillekens,,,nick-gillekens,N. Gillekens,G,1,185,45,M,794577,EUR,804902400,G,20,20,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10406969,home,KVC Westerlo,Pietro Perdichizzi,,,pietro-perdichizzi,P. Perdichizzi,D,2,182,26,M,105720,EUR,724464000,D,2,2,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10406969,home,KVC Westerlo,Igor Vetokele,,,igor-vetokele,I. Vetokele,F,,173,40,M,106236,EUR,701308800,F,25,25,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10406969,away,Royal Antwerp FC,Jean Butez,,,jean-butez,J. Butez,G,1,188,1350,M,599114,EUR,802569600,G,1,1,False,,38.0,33.0,15.0,10.0,30.0,31.0,3.0,7.0,,,,6.0,1.0,1.0,90.0,40.0,5.7,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10406969,away,Royal Antwerp FC,Ritchie De Laet,,,ritchie-de-laet,R. De Laet,D,,186,92,M,30420,EUR,596678400,D,2,2,False,,29.0,23.0,8.0,5.0,11.0,13.0,12.0,17.0,4.0,1.0,,6.0,,,90.0,51.0,6.3,13.0,0,1.0,,4.0,7.0,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,1.0,3.0,,,,,,,,,
10406969,away,Royal Antwerp FC,Toby Alderweireld,,,toby-alderweireld,T. Alderweireld,D,,186,1445,M,44575,EUR,604800000,D,23,23,False,True,50.0,41.0,13.0,7.0,28.0,29.0,13.0,21.0,2.0,,7.0,8.0,,,90.0,62.0,6.7,9.0,1,,,2.0,4.0,,,,,,,2.0,,,2.0,,,,1.0,,,,,,,,
10406969,away,Royal Antwerp FC,Willian Pacho,,,willian-pacho,W. Pacho,D,51,187,25693,M,979480,EUR,1003190400,D,51,51,False,,46.0,34.0,9.0,2.0,24.0,25.0,10.0,21.0,1.0,,4.0,8.0,,,90.0,61.0,6.9,13.0,0,,,2.0,5.0,,,,,3.0,,3.0,2.0,,1.0,1.0,,1.0,,,,,,1.0,pachowilliam,,
10406969,away,Royal Antwerp FC,Gastón Ávila,,,gaston-avila,G. Ávila,D,3,182,1203,M,975526,EUR,1001808000,D,22,22,False,,39.0,31.0,6.0,3.0,14.0,14.0,17.0,26.0,4.0,1.0,,4.0,,,79.0,54.0,6.4,9.0,0,1.0,,3.0,7.0,,,,,1.0,,1.0,1.0,3.0,2.0,,1.0,,,,1.0,,,,,,
