match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,captain,stat_aerialLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_unsuccessfulTouch,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyWon,stat_totalOffside,stat_penaltyConceded,stat_penaltyFaced
12421224,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187,232,M,156663,EUR,760492800,G,33,33,False,19.0,13.0,11.0,5.0,0.0,12.0,15.0,1.0,4.0,11.0,1.0,1.0,4.0,90.0,29.0,6.6,6.0,0.00027979,0,0.5403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421224,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180,256,M,1046245,EUR,1006300800,D,18,18,False,45.0,39.0,6.0,3.0,1.0,23.0,26.0,20.0,24.0,2.0,,,,85.0,72.0,8.1,7.0,0.238304,1,,5.0,4.0,1.0,2.0,9.0,1.0,4.0,2.0,6.0,5.0,2.0,2.0,0.062,3.0,,,,,,,,,,,,,,,,,,
12421224,home,KAA Gent,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187,1372,M,942213,EUR,855100800,D,4,4,False,52.0,47.0,6.0,3.0,0.0,35.0,36.0,12.0,16.0,3.0,,,,90.0,69.0,8.1,5.0,0.00586832,3,,,,3.0,1.0,5.0,1.0,9.0,,1.0,1.0,,,0.0978,,True,1.0,1.0,1.0,2.0,1.0,2.0,0.1243,,,,,,,,,,
12421224,home,KAA Gent,Samuel Kotto,,,kotto-samuel,S. Kotto,D,22,190,2111,M,1103229,EUR,1062547200,D,2,2,False,55.0,45.0,11.0,5.0,0.0,37.0,39.0,8.0,16.0,5.0,,,,90.0,67.0,6.6,12.0,0.00386654,0,,,,,5.0,1.0,,4.0,2.0,1.0,1.0,,2.0,,,,3.0,1.0,,,,1.0,,1.0,,,,,,,,,
12421224,home,KAA Gent,Momodou Sonko,Momodou Sonko,,momodou-sonko,M. Sonko,M,11,176,575,M,1135616,EUR,1107129600,M,11,11,False,33.0,26.0,4.0,3.0,0.0,9.0,15.0,18.0,21.0,9.0,,,,90.0,62.0,6.7,16.0,0.368827,1,,3.0,1.0,,11.0,8.0,,,1.0,2.0,,1.0,1.0,0.0825,1.0,,,7.0,5.0,,,,,2.0,6.0,2.0,1.0,1.0,1.0,,,,
12421224,home,KAA Gent,Leonardo Lopes,,,leonardo-lopes,L. Lopes,M,22,168,202,M,783478,EUR,912384000,M,5,5,False,31.0,28.0,6.0,4.0,0.0,14.0,16.0,14.0,15.0,3.0,,,,90.0,50.0,6.9,6.0,0.0193821,0,,,,2.0,5.0,6.0,,2.0,2.0,1.0,,2.0,1.0,,1.0,,1.0,3.0,1.0,,,1.0,,1.0,1.0,,,,,,,,
12421224,home,KAA Gent,Mathias Delorge,Mathias Delorge-Knieper,,mathias-delorge-knieper,M. Delorge,M,17,189,582,M,1124749,EUR,1091232000,M,16,16,False,31.0,23.0,1.0,,0.0,12.0,13.0,14.0,22.0,6.0,,,,54.0,43.0,6.9,12.0,0.202051,1,,4.0,3.0,,5.0,2.0,1.0,,,2.0,2.0,,1.0,0.0485,4.0,,,1.0,,,,,,1.0,2.0,1.0,1.0,,,,,,
12421224,home,KAA Gent,Archie Brown,,,brown-archie,A. Brown,D,3,190,3096,M,1009738,EUR,1022544000,M,3,3,False,34.0,26.0,4.0,2.0,0.0,11.0,12.0,15.0,27.0,3.0,,,,67.0,77.0,7.0,22.0,0.0253762,1,,5.0,,,6.0,8.0,1.0,2.0,1.0,3.0,1.0,1.0,,0.0247,,,,8.0,4.0,,,,,1.0,,2.0,,,,,,,
12421224,home,KAA Gent,Omri Gandelman,Omri Gandelman,,omri-gandelman,O. Gandelman,M,16,188,1075,M,1019125,EUR,958435200,F,6,6,False,12.0,10.0,3.0,1.0,0.0,,,10.0,12.0,1.0,,,,67.0,20.0,6.8,5.0,0.0512716,0,,,,2.0,8.0,2.0,,,,,,1.0,4.0,,1.0,,1.0,1.0,,,,,,,,2.0,,,,1.0,,,
12421224,home,KAA Gent,Andri Guðjohnsen,,,andri-gudjohnsen,A. Guðjohnsen,F,11,188,952,M,982523,EUR,1012262400,F,9,9,False,18.0,7.0,3.0,2.0,0.0,4.0,4.0,3.0,14.0,4.0,,,,67.0,28.0,6.3,17.0,0.00865427,1,,,,5.0,7.0,6.0,1.0,,,,,1.0,1.0,0.0187,,,,2.0,,,,,,,1.0,3.0,,,,,,,
