match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_expectedGoals,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_fouls,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalContest,stat_shotOffTarget,stat_keyPass,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyWon,stat_penaltyConceded,stat_goodHighClaim,stat_penaltyFaced,stat_accurateCross,stat_totalOffside
11450099,home,Samsunspor,Okan Kocuk,okan-kocuk,O. Koçuk,G,1,187,289,M,190179,EUR,806803200,G,1,1,False,23.0,15.0,16.0,8.0,0.0,10.0,11.0,5.0,12.0,1.0,1.0,3.0,5.0,3.0,4.0,1.0,1.0,1.0,90.0,31.0,7.9,8.0,0.00147473,0,1.0788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450099,home,Samsunspor,Zeki Yavru,zeki-yavru,Z. Yavru,D,18,178,204,M,140735,EUR,684028800,D,18,18,False,26.0,15.0,7.0,2.0,0.0,3.0,3.0,12.0,30.0,2.0,3.0,5.0,3.0,,,,,,84.0,55.0,7.2,19.0,0.0286613,1,,True,7.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0601,,,,,,,,,,,,,,,,,,,,,,,
11450099,home,Samsunspor,Ľubomír Šatka,ubomir-satka,Ľ. Šatka,D,37,185,293,M,187231,EUR,817862400,D,37,37,False,41.0,33.0,4.0,1.0,0.0,23.0,26.0,10.0,15.0,2.0,2.0,2.0,5.0,,,,,,90.0,48.0,6.9,9.0,0.0116668,0,,,,2.0,4.0,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11450099,home,Samsunspor,Rick Van Drongelen,rick-van-drongelen,R. V. Drongelen,D,4,185,366,M,803023,EUR,914112000,D,4,4,False,39.0,27.0,7.0,1.0,0.0,22.0,24.0,5.0,15.0,3.0,3.0,4.0,2.0,,,,,,90.0,51.0,7.8,12.0,0.00847285,1,,,,3.0,5.0,1.0,,2.0,,0.1816,,1.0,1.0,2.0,1.0,0.783,,,,,,,,,,,,,,,,,
11450099,home,Samsunspor,Soner Gönül,soner-gonul,S. Gönül,D,28,177,50,M,867727,EUR,865987200,D,28,28,False,42.0,28.0,11.0,5.0,0.0,12.0,15.0,16.0,28.0,2.0,7.0,1.0,7.0,,,,,,90.0,63.0,7.1,18.0,0.0104602,1,,,1.0,4.0,10.0,1.0,1.0,2.0,5.0,0.0148,,,,,5.0,,,,4.0,2.0,,,,,,,,,,,,,
11450099,home,Samsunspor,Youssef Aït Bennasser,youssef-ait-bennasser,Y. A. Bennasser,M,15,184,425,M,802850,EUR,836697600,M,6,6,False,29.0,24.0,4.0,2.0,0.0,11.0,11.0,13.0,20.0,1.0,5.0,1.0,9.0,,,,,,81.0,44.0,7.0,9.0,0.0159179,1,,,2.0,1.0,4.0,1.0,1.0,4.0,3.0,0.0371,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
11450099,home,Samsunspor,Flavien Tait,flavien-tait,F. Tait,M,,175,101,M,312388,EUR,728611200,M,13,13,False,19.0,18.0,,,0.0,5.0,5.0,13.0,14.0,1.0,4.0,2.0,3.0,,,,,,60.0,33.0,6.0,6.0,0.0157331,0,,,,1.0,12.0,3.0,,1.0,1.0,,,,,,4.0,,,,,1.0,2.0,4.0,,,,,,,,,,,
11450099,home,Samsunspor,Carlo Holse,carlo-holse,C. Holse,M,21,177,633,M,837012,EUR,928281600,M,21,21,False,25.0,22.0,1.0,,0.0,3.0,4.0,19.0,21.0,1.0,6.0,1.0,7.0,,,,,,90.0,42.0,7.5,10.0,0.0459195,3,,,,3.0,9.0,2.0,,,4.0,0.1244,2.0,1.0,1.0,,,0.0682,,,4.0,3.0,1.0,2.0,2.0,1.0,,,,,,,,,
11450099,home,Samsunspor,Olivier Ntcham,olivier-ntcham,O. Ntcham,M,10,180,801,M,352676,EUR,823824000,M,10,10,False,33.0,26.0,2.0,2.0,0.0,4.0,4.0,22.0,31.0,4.0,7.0,,2.0,,,,,,90.0,56.0,7.3,18.0,0.0652386,3,,,2.0,,7.0,2.0,,2.0,1.0,0.906,3.0,1.0,1.0,,1.0,0.9879,,,,4.0,1.0,2.0,2.0,,1.0,,,,,,,,
11450099,home,Samsunspor,Benito Raman,benito-raman,B. Raman,F,14,172,396,M,94300,EUR,784166400,M,36,36,False,15.0,9.0,2.0,,0.0,3.0,3.0,6.0,14.0,1.0,6.0,2.0,4.0,,,,,,61.0,36.0,7.3,13.0,0.011656,1,,,2.0,,5.0,2.0,,2.0,4.0,0.0335,1.0,,,,1.0,,,,2.0,3.0,1.0,1.0,1.0,3.0,,1.0,,,,,,,
