match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_accurateCross,stat_outfielderBlock,stat_wonTackle,player_firstName,player_lastName,stat_clearanceOffLine,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_keyPass,stat_dispossessed,stat_wonContest,captain,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_errorLeadToAShot
14064438,home,Olympique de Marseille,Gerónimo Rulli,geronimo-rulli,G. Rulli,G,1,189,13363,M,gerorulli,128383,EUR,706320000,G,1,1,False,32.0,27.0,9.0,4.0,0.0,26.0,27.0,1.0,5.0,4.0,1.0,5.0,1.0,4.0,16.0,1.0,6.0,4.0,5.0,2.0,90.0,58.0,8.7,6.0,0.00029861,25.947771618216,5.0,15.96,6.09,0.7689,0,0.8265,0.04,0.0,0.38,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064438,home,Olympique de Marseille,Amir Murillo,michael-murillo,A. Murillo,D,62,183,3561,M,,839493,EUR,823996800,D,62,62,False,26.0,19.0,,,0.0,8.0,9.0,11.0,17.0,1.0,5.0,3.0,,,2.0,,,,,,58.0,38.0,6.6,10.0,0.0124363,73.607441107617,9.0,58.905,14.28,,2,,0.01,0.25,-0.06,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0765,-0.38,,,,,,,,,,,,,,,,,,
14064438,home,Olympique de Marseille,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,10877,M,benpavard21,787505,EUR,827971200,D,28,28,False,37.0,35.0,,,0.0,23.0,25.0,12.0,12.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,,,,,58.0,42.0,7.2,2.0,0.073563,46.384692175287,7.0,0.73500000000002,7.98,,0,,0.18,0.0,0.33,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
14064438,home,Olympique de Marseille,Nayef Aguerd,nayef-aguerd,N. Aguerd,D,21,188,25735,M,nayefaguard,877102,EUR,828144000,D,21,21,False,60.0,48.0,9.0,3.0,0.0,34.0,39.0,14.0,21.0,2.0,3.0,2.0,,7.0,3.0,,,,,,90.0,74.0,7.8,12.0,0.00507451,136.56339099505,22.0,24.675,9.87,,0,,0.12,0.19,0.81,,,1.0,,,,,,2.0,,,,3.0,,,,1.0,,,,,,,,,,,,
14064438,home,Olympique de Marseille,Emerson Palmieri,emerson-palmieri,Emerson,D,33,176,2398,M,,155997,EUR,775872000,D,33,33,False,43.0,33.0,3.0,,0.0,10.0,14.0,23.0,29.0,,2.0,3.0,1.0,4.0,2.0,2.0,,,,,90.0,73.0,8.0,19.0,0.00795193,247.60322521638,18.0,154.56,43.89,,1,,0.68,0.29,0.49,,5.0,,1.0,,,1.0,1.0,,0.0212,-0.18,,1.0,,,,,1.0,1.0,0.1887,1.0,,,,,,,,
14064438,home,Olympique de Marseille,Geoffrey Kondogbia,geoffrey-kondogbia,G. Kondogbia,M,19,188,2269,M,,96544,EUR,729734400,M,19,19,False,31.0,25.0,3.0,,0.0,16.0,19.0,9.0,12.0,1.0,2.0,5.0,,1.0,2.0,,,,,,45.0,41.0,6.9,8.0,0.00940299,96.843906442197,10.0,76.86,48.825,,0,,-0.04,0.17,0.2,,,,2.0,,,1.0,2.0,1.0,,,,,,,,,,1.0,,,1.0,2.0,,,,,,
14064438,home,Olympique de Marseille,Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,23,185,4495,M,hojbjerg23,149593,EUR,807580800,M,23,23,False,73.0,65.0,5.0,2.0,1.0,22.0,24.0,43.0,49.0,,2.0,1.0,,3.0,7.0,1.0,,,,,90.0,90.0,8.2,10.0,0.353212,177.66456315384,22.0,35.805,20.895,,0,,0.47,0.2,0.63,,,,1.0,,,1.0,,1.0,,,,3.0,,,,1.0,,1.0,,2.0,,,True,,,,,
14064438,home,Olympique de Marseille,Mason Greenwood,mason-greenwood,M. Greenwood,F,10,181,65939,M,MGreenwood,942116,EUR,1001894400,M,10,10,False,51.0,38.0,8.0,3.0,0.0,11.0,16.0,27.0,35.0,,3.0,4.0,1.0,,1.0,,,,,,90.0,68.0,8.4,17.0,0.52789,217.74893586249,24.0,87.255,28.245,,7,,0.47,0.58,-0.09,,1.0,1.0,3.0,3.0,2.0,,2.0,,0.5325,0.43,,,,,,,2.0,2.0,0.6294,4.0,,2.0,,1.0,1.0,,,
14064438,home,Olympique de Marseille,Arthur Vermeeren,arthur-vermeeren,A. Vermeeren,M,18,180,4706,M,arthurvermeeren,1149127,EUR,1107734400,M,18,18,False,41.0,31.0,,,0.0,12.0,17.0,19.0,24.0,,4.0,3.0,2.0,1.0,4.0,2.0,,,,,81.0,54.0,6.5,11.0,0.0278937,33.424453383509,5.0,-22.995,-1.995,,1,,-0.07,-0.08,-0.07,,,,1.0,1.0,,2.0,,1.0,0.0301,-0.05,,,1.0,Arthur Vermeeren,,,,,,,1.0,1.0,,,,,,
14064438,home,Olympique de Marseille,Timothy Weah,weah-timothy,T. Weah,M,22,185,11671,M,timothyweah,855810,EUR,951177600,M,22,22,False,41.0,34.0,2.0,,0.0,15.0,17.0,19.0,24.0,1.0,6.0,3.0,,,5.0,,,,,,90.0,59.0,6.5,12.0,0.175725,165.06939468921,20.0,52.29,21.84,,2,,-0.11,0.32,0.16,,2.0,2.0,3.0,,1.0,2.0,1.0,1.0,0.064,-0.3,,,,,,,1.0,,0.0236,3.0,1.0,1.0,,,,,,
