match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_challengeLost,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_keyPass,stat_blockedScoringAttempt,stat_dispossessed,stat_totalContest,stat_wonContest,stat_accurateCross,stat_totalOffside,stat_errorLeadToAShot,player_firstName,player_lastName,player_sofascoreId,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed
10913359,home,Al-Fayha,Vladimir Stojković,vladimir-stojkovic,V. Stojković,G,28,194,228,M,13691,EUR,428198400,G,88,88,False,15.0,13.0,6.0,4.0,10.0,11.0,3.0,4.0,5.0,1.0,2.0,2.0,90.0,20.0,6.1,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913359,home,Al-Fayha,Mohammed Al Baqawi,mohammed-al-baqawi,M. A. Baqawi,D,22,170,21,M,893199,EUR,805507200,D,22,22,False,44.0,42.0,1.0,,17.0,17.0,25.0,29.0,6.0,,,,80.0,57.0,6.6,6.0,0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10913359,home,Al-Fayha,Sami Al-Khaibary,sami-al-khaibary,S. Al-Khaibary,D,4,185,15,M,893198,EUR,622080000,D,4,4,False,25.0,22.0,4.0,2.0,12.0,12.0,10.0,13.0,3.0,,,,45.0,33.0,6.3,4.0,0,,2.0,1.0,1.0,1.0,,,,1.0,1.0,True,1.0,,,,,,,,,,,,,,,,,,,,
10913359,home,Al-Fayha,Hussain Al-Shuweish,hussain-al-showaish,H. Al-Shuweish,D,33,185,17,M,818758,EUR,625881600,D,33,33,False,58.0,46.0,15.0,6.0,17.0,19.0,29.0,39.0,8.0,,,,90.0,68.0,6.2,12.0,1,,4.0,6.0,,1.0,2.0,2.0,,1.0,1.0,,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,
10913359,home,Al-Fayha,Bandar Al Mutairi,bandar-al-mutairi,B. A. Mutairi,D,33,168,13,M,847483,EUR,637372800,D,3,3,False,30.0,26.0,1.0,1.0,10.0,11.0,16.0,20.0,,,,,90.0,42.0,6.0,5.0,1,1.0,4.0,2.0,,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
10913359,home,Al-Fayha,Sultan Mandash,sultan-mandash,S. Mandash,F,23,175,362,M,818568,EUR,782352000,M,27,27,False,10.0,7.0,,,1.0,2.0,6.0,9.0,2.0,,,,45.0,18.0,6.5,6.0,0,1.0,3.0,3.0,,,1.0,,1.0,1.0,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
10913359,home,Al-Fayha,Paulinho Paula,paulinho-paula,Paulinho,M,18,173,1795,M,879902,EUR,852681600,M,18,18,False,39.0,34.0,3.0,3.0,16.0,17.0,18.0,22.0,9.0,,,,90.0,60.0,6.8,9.0,0,,6.0,9.0,1.0,,4.0,4.0,1.0,3.0,4.0,,1.0,,,,,,,4.0,2.0,,,,,,,,,,,,
10913359,home,Al-Fayha,Ricardo Ryller,ricardo-ryller,R. Ryller,M,28,176,231,M,870943,EUR,762307200,M,37,37,False,65.0,57.0,13.0,10.0,32.0,34.0,25.0,31.0,9.0,,,,90.0,78.0,6.9,10.0,1,,7.0,6.0,2.0,2.0,2.0,1.0,1.0,,4.0,,2.0,,1.0,1.0,,,,4.0,3.0,,,,,,,,,,,,
10913359,home,Al-Fayha,Aleksandar Trajkovski,aleksandar-trajkovski,A. Trajkovski,F,7,179,729,M,60184,EUR,715651200,M,7,7,False,19.0,15.0,1.0,,2.0,2.0,13.0,17.0,4.0,,,,69.0,28.0,6.2,8.0,1,,4.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,
10913359,home,Al-Fayha,Victor Ruiz,victor-ruiz,V. Ruiz,M,77,172,64,M,975496,EUR,752198400,F,10,10,False,17.0,11.0,4.0,3.0,7.0,7.0,4.0,12.0,1.0,,,,44.0,24.0,6.4,12.0,0,2.0,3.0,,,1.0,,,2.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
