match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_aerialWon,stat_blockedScoringAttempt,stat_totalClearance,stat_unsuccessfulTouch,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_hitWoodwork,captain,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_outfielderBlock,stat_errorLeadToAShot,stat_errorLeadToAGoal
14109758,home,Galatasaray,Günay Güvenç,gunay-guvenc,G. Güvenç,G,19,187.0,2987,M,103457,EUR,677808000,G,19,19,False,40.0,37.0,6.0,4.0,0.0,36.0,37.0,1.0,3.0,4.0,90.0,41.0,6.7,3.0,0.00030546,58.359058632786,11.0,30.975,7.98,0,0.04,0.01,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109758,home,Galatasaray,Roland Sallai,roland-sallai,R. Sallai,F,7,182.0,8501,M,355088,EUR,864259200,D,7,7,False,44.0,43.0,3.0,3.0,0.0,21.0,21.0,22.0,23.0,6.0,90.0,64.0,6.7,6.0,0.154899,159.75452315925,18.0,52.185,39.48,1,0.05,0.13,-0.1,,,rolandsallai,4.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.1835,39.54372182787,1.0,2.0,-0.66,,,,,,,,,,,,,,,,,,,,,,,
14109758,home,Galatasaray,Davinson Sánchez,davinson-sanchez,D. Sánchez,D,6,187.0,12299,M,566102,EUR,834537600,D,6,6,False,60.0,57.0,6.0,5.0,0.0,40.0,42.0,17.0,18.0,5.0,90.0,83.0,7.8,5.0,0.0361531,206.68151174782,28.0,145.11,13.545,2,0.4,0.25,0.21,,,DAVINSON,,,,4.0,8.0,1.0,6.0,5.0,1.0,1.0,1.0,2.0,0.0665,10.816923823343,1.0,,-0.17,2.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
14109758,home,Galatasaray,Abdülkerim Bardakcı,abdulkerim-bardakci,A. Bardakcı,D,42,185.0,6104,M,178963,EUR,778896000,D,42,42,False,78.0,72.0,9.0,6.0,0.0,45.0,46.0,27.0,32.0,3.0,90.0,98.0,7.9,8.0,0.0115255,368.96470907606,38.0,269.01,24.36,2,0.26,0.29,-0.04,,,abdulkerimbard1,1.0,,3.0,6.0,12.0,1.0,,,2.0,1.0,2.0,2.0,0.1065,25.117006191025,1.0,,-0.22,7.0,,9.0,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
14109758,home,Galatasaray,Kazımcan Karataş,kazimcan-karatas,K. Karataş,D,88,182.0,1611,M,1008884,EUR,1042675200,D,88,88,False,35.0,29.0,4.0,1.0,0.0,16.0,19.0,13.0,16.0,6.0,86.0,64.0,6.2,17.0,0.0116624,98.729217864444,10.0,39.69,17.115,1,-0.23,0.0,-0.09,,,,2.0,1.0,2.0,9.0,3.0,2.0,2.0,,1.0,2.0,,2.0,0.0311,,,,-0.16,,,,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,
14109758,home,Galatasaray,Lucas Torreira,lucas-torreira,L. Torreira,M,34,168.0,8760,M,754794,EUR,823996800,M,34,34,False,75.0,74.0,9.0,8.0,0.0,38.0,39.0,36.0,36.0,7.0,89.0,84.0,7.5,4.0,0.0652467,98.176955509308,16.0,-6.51,5.04,0,0.31,0.1,0.26,,,ltorreira34,,,,3.0,4.0,,1.0,,,1.0,,2.0,,,,1.0,,,,,2.0,,4.0,4.0,,,,,,,,,,,,,,,,
14109758,home,Galatasaray,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180.0,50691,M,45853,EUR,656726400,M,20,20,False,57.0,55.0,3.0,2.0,0.0,26.0,27.0,29.0,30.0,2.0,73.0,73.0,7.3,4.0,0.195604,110.49747035115,16.0,25.41,9.555,1,0.3,0.06,-0.09,,,IGunny,,,1.0,3.0,7.0,2.0,,,,1.0,4.0,,0.049,,,1.0,-0.08,,1.0,,2.0,,3.0,1.0,,,,,,,,,,,,,,,,
14109758,home,Galatasaray,Leroy Sané,leroy-sane,L. Sané,M,10,184.0,41260,M,293519,EUR,821318400,M,10,10,False,41.0,35.0,2.0,1.0,0.0,8.0,8.0,27.0,33.0,3.0,89.0,65.0,7.4,21.0,0.267173,221.65690584983,20.0,85.47,24.885,1,0.56,0.35,-0.02,,,LeroySane,12.0,2.0,,3.0,3.0,,4.0,3.0,,1.0,,,0.0428,127.12175131424,7.0,4.0,0.02,,1.0,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,
14109758,home,Galatasaray,Yunus Akgün,yunus-akgun,Y. Akgün,M,11,173.0,9047,M,857738,EUR,962928000,M,11,11,False,46.0,41.0,1.0,1.0,1.0,7.0,7.0,34.0,39.0,3.0,86.0,61.0,9.7,10.0,1.07021,76.924956419138,14.0,44.415,9.345,4,0.88,0.63,0.0,,,yunusakgun17,1.0,,,2.0,4.0,,4.0,2.0,1.0,,2.0,,0.6629,17.76953105981,2.0,4.0,0.42,,1.0,,2.0,,,,,1.0,1.0,2.0,1.0,1.2553,,,,,,,,,,
14109758,home,Galatasaray,Barış Alper Yılmaz,baris-alper-yilmaz,B. A. Yılmaz,M,53,186.0,13210,M,904096,EUR,959040000,M,53,53,False,32.0,24.0,4.0,4.0,2.0,8.0,12.0,16.0,20.0,6.0,90.0,64.0,7.8,23.0,0.235842,351.32445410724,24.0,281.4,31.605,6,0.39,0.77,-0.08,,,barisalperyilmaz,8.0,4.0,1.0,8.0,6.0,1.0,5.0,2.0,1.0,,1.0,2.0,0.5493,234.74812168558,10.0,6.0,-0.74,2.0,3.0,,6.0,1.0,1.0,1.0,,,,2.0,,0.3544,1.0,,,,,,,,,
