match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_totalContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,player_firstName,player_lastName,player_sofascoreId,stat_dispossessed,stat_shotOffTarget,stat_accurateCross,stat_challengeLost,stat_wonTackle,stat_keyPass,stat_wonContest,captain,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_penaltyConceded
10433941,home,Beşiktaş JK,Mert Günok,mert-gunok,M. Günok,G,34,196,4070,M,39573,EUR,604713600,G,34,34,False,33.0,26.0,14.0,8.0,21.0,22.0,5.0,11.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,90.0,43.0,6.2,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433941,home,Beşiktaş JK,Valentin Rosier,valentin-rosier,V. Rosier,D,19,175,795,M,842419,EUR,840412800,D,2,2,False,21.0,17.0,3.0,1.0,10.0,10.0,7.0,13.0,1.0,3.0,2.0,2.0,,,,45.0,36.0,6.5,11.0,0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10433941,home,Beşiktaş JK,Tayyip Talha Sanuç,tayyip-talha-sanuc,T. T. Sanuç,D,23,188,911,M,851909,EUR,945388800,D,3,3,False,51.0,47.0,6.0,3.0,40.0,40.0,7.0,11.0,1.0,2.0,1.0,3.0,,,,90.0,59.0,7.3,4.0,1,,4.0,,1.0,,,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
10433941,home,Beşiktaş JK,Romain Saïss,romain-saiss,R. Saiss,D,29,190,7929,M,187729,EUR,638409600,D,26,26,False,36.0,31.0,6.0,5.0,20.0,22.0,11.0,15.0,2.0,2.0,5.0,5.0,,,,90.0,47.0,6.6,7.0,1,1.0,4.0,,,,,2.0,1.0,,,1.0,,,,romain_saiss27,1.0,1.0,,,,,,,,,,,,,,,,
10433941,home,Beşiktaş JK,Arthur Masuaku,arthur-masuaku,A. Masuaku,D,27,179,10350,M,174975,EUR,752630400,D,25,25,False,12.0,9.0,1.0,1.0,6.0,8.0,4.0,6.0,,3.0,3.0,3.0,,,,45.0,30.0,6.6,5.0,0,2.0,3.0,1.0,3.0,,,1.0,,,,,,,,masuaku26,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,
10433941,home,Beşiktaş JK,Salih Uçan,salih-ucan,S. Uçan,M,8,182,1367,M,135695,EUR,757814400,M,8,8,False,39.0,30.0,4.0,3.0,15.0,17.0,16.0,32.0,,1.0,1.0,4.0,,,,90.0,59.0,6.9,21.0,2,10.0,4.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,3.0,1.0,,,,,,,,,,,
10433941,home,Beşiktaş JK,Souza,souza,Souza,M,5,188,541,M,119035,EUR,603158400,M,5,5,False,39.0,33.0,2.0,,22.0,23.0,11.0,16.0,1.0,3.0,1.0,6.0,,,,81.0,51.0,7.0,7.0,0,,4.0,,2.0,1.0,,2.0,1.0,,,,4.0,,,,,,,1.0,2.0,1.0,,True,1.0,,,,,,,,,
10433941,home,Beşiktaş JK,Gedson Fernandes,gedson-fernandes,G. Fernandes,M,83,184,5232,M,862055,EUR,915840000,M,83,83,False,36.0,27.0,5.0,1.0,15.0,15.0,12.0,21.0,2.0,7.0,2.0,5.0,,,,90.0,53.0,7.5,10.0,0,,2.0,1.0,2.0,,2.0,1.0,1.0,,,,,,,gedson_83,,,,,2.0,2.0,1.0,,1.0,1.0,,,,,,,,
10433941,home,Beşiktaş JK,Cenk Tosun,cenk-tosun,C. Tosun,F,23,183,2904,M,72127,EUR,676252800,M,9,9,False,28.0,19.0,3.0,2.0,6.0,6.0,13.0,22.0,3.0,7.0,2.0,4.0,,,,90.0,48.0,8.6,14.0,3,,6.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,,,,,,2.0,,,1.0,1.0,2.0,1.0,,1.0,,1.0,2.0,,,,,,
10433941,home,Beşiktaş JK,Dele Alli,dele-alli,D. Alli,M,,188,9921,M,198028,EUR,829180800,M,11,11,False,11.0,7.0,1.0,1.0,3.0,3.0,4.0,8.0,,4.0,,2.0,,,,45.0,26.0,6.3,9.0,0,,5.0,3.0,2.0,1.0,2.0,,1.0,,,,,,,dele,1.0,,,,1.0,,,,,,,,,,,,,
