match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_dispossessed,stat_aerialLost,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_keyPass,captain,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_lastManTackle,player_sofascoreId
12764912,home,Legia Warszawa,Kacper Tobiasz,,,kacper-tobiasz,K. Tobiasz,G,1,191.0,837,M,1083777,EUR,1036368000,G,1,1,False,32.0,19.0,18.0,6.0,0.0,15.0,18.0,4.0,14.0,1.0,2.0,1.0,9.0,1.0,1.0,3.0,3.0,1.0,90.0,43.0,7.5,13.0,0.00053555,0,0.6935,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764912,home,Legia Warszawa,Paweł Wszołek,,,pawel-wszolek,P. Wszołek,D,7,186.0,1059,M,139152,EUR,704592000,D,13,13,False,21.0,11.0,7.0,3.0,0.0,8.0,13.0,3.0,11.0,1.0,2.0,4.0,3.0,,,,,,90.0,37.0,6.8,15.0,0.00459472,0,,3.0,7.0,2.0,1.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,
12764912,home,Legia Warszawa,Radovan Pankov,,,radovan-pankov,R. Pankov,D,12,185.0,235,M,557336,EUR,807580800,D,12,12,False,32.0,27.0,8.0,5.0,0.0,21.0,24.0,6.0,9.0,,2.0,6.0,11.0,1.0,,,,,90.0,48.0,7.2,7.0,0.011147,0,,1.0,1.0,,,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
12764912,home,Legia Warszawa,Steve Kapuadi,,,kapuadi-steve,S. Kapuadi,D,3,196.0,1861,M,1019957,EUR,893894400,D,3,3,False,24.0,19.0,4.0,1.0,0.0,15.0,18.0,4.0,6.0,2.0,3.0,3.0,3.0,,,,,,90.0,38.0,8.2,6.0,0.00496964,1,,,1.0,,4.0,,1.0,,,,1.0,1.0,1.0,0.291,0.7346,,,,,,,,,,,,,
12764912,home,Legia Warszawa,Rúben Vinagre,,,ruben-vinagre,R. Vinagre,D,19,174.0,705,M,846441,EUR,923616000,D,19,19,False,28.0,22.0,3.0,,1.0,12.0,17.0,11.0,17.0,2.0,8.0,3.0,4.0,3.0,,,,,90.0,55.0,7.6,16.0,0.125401,0,,6.0,5.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,1.0,4.0,1.0,1.0,1.0,3.0,,,,,,,
12764912,home,Legia Warszawa,Bartosz Kapustka,,,bartosz-kapustka,B. Kapustka,M,67,179.0,1538,M,309648,EUR,851299200,M,67,67,False,19.0,14.0,3.0,3.0,0.0,5.0,5.0,10.0,17.0,,7.0,3.0,9.0,2.0,,,,,74.0,45.0,7.4,9.0,0.0245786,3,,3.0,3.0,1.0,1.0,3.0,3.0,,,1.0,1.0,,,0.1017,,1.0,2.0,2.0,,,1.0,True,1.0,2.0,1.0,,,
12764912,home,Legia Warszawa,Maxi Oyedele,,,maxi-oyedele,M. Oyedele,M,8,183.0,3766,M,1153355,EUR,1099785600,M,6,6,False,21.0,14.0,4.0,2.0,0.0,7.0,10.0,7.0,11.0,2.0,5.0,3.0,2.0,1.0,,,,,83.0,35.0,6.9,11.0,0.0233732,1,,,4.0,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,,,0.0116,,,,,,,1.0,,1.0,,,,,
12764912,home,Legia Warszawa,Luquinhas,,,luquinhas,Luquinhas,M,82,169.0,498,M,845787,EUR,843868800,M,82,82,False,12.0,11.0,,,0.0,3.0,3.0,8.0,9.0,,1.0,2.0,1.0,,,,,,62.0,24.0,6.2,7.0,0.00971037,1,,,7.0,1.0,,1.0,1.0,,2.0,2.0,2.0,,,0.0326,,,1.0,,,2.0,,,,1.0,,,,
12764912,home,Legia Warszawa,Kacper Chodyna,,,kacper-chodyna,K. Chodyna,M,11,176.0,216,M,942334,EUR,927504000,F,11,11,False,13.0,9.0,,,0.0,,2.0,10.0,15.0,,10.0,1.0,5.0,4.0,,,,,83.0,37.0,7.1,13.0,0.195043,0,,4.0,7.0,1.0,,1.0,5.0,2.0,1.0,3.0,1.0,,,,,1.0,2.0,1.0,,2.0,1.0,,,,1.0,,,
12764912,home,Legia Warszawa,Tomáš Pekhart,,,tomas-pekhart,T. Pekhart,F,17,194.0,284,M,41999,EUR,612144000,F,7,7,False,16.0,8.0,,,0.0,4.0,4.0,4.0,12.0,8.0,9.0,1.0,,,,,,,62.0,19.0,6.7,9.0,0.016583,0,,,5.0,2.0,,,1.0,,2.0,,1.0,,,,,,,,,1.0,,,,,2.0,,,
