match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,captain,stat_goals,stat_goalAssist,stat_penaltyWon,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_punches,stat_lastManTackle,stat_penaltyConceded
11451070,home,Samsunspor,Okan Kocuk,okan-kocuk,O. Koçuk,G,1,187.0,289,M,190179,EUR,806803200,G,1,1,False,25.0,16.0,16.0,7.0,11.0,11.0,5.0,14.0,1.0,11.0,3.0,1.0,1.0,90.0,36.0,6.9,10.0,0.00098006,0,-0.4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451070,home,Samsunspor,Mickael Tirpan,mickael-tirpan,M. Tirpan,D,25,177.0,58,M,800340,EUR,751334400,D,24,24,False,27.0,20.0,5.0,1.0,11.0,13.0,9.0,18.0,1.0,8.0,,,,73.0,43.0,6.6,13.0,0.0113645,0,,4.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451070,home,Samsunspor,Ľubomír Šatka,ubomir-satka,Ľ. Šatka,D,37,185.0,293,M,187231,EUR,817862400,D,37,37,False,40.0,29.0,10.0,4.0,20.0,24.0,9.0,16.0,3.0,5.0,,,,90.0,48.0,6.9,11.0,0.00712727,1,,,4.0,5.0,6.0,1.0,,,2.0,,4.0,1.0,1.0,0.152,,,,,,,,,,,,,,,,,,,,,,,,,
11451070,home,Samsunspor,Rick Van Drongelen,rick-van-drongelen,R. V. Drongelen,D,4,185.0,366,M,803023,EUR,914112000,D,4,4,False,56.0,44.0,10.0,5.0,23.0,27.0,21.0,29.0,5.0,11.0,,,,90.0,71.0,7.6,13.0,0.0942651,3,,,7.0,4.0,8.0,1.0,1.0,1.0,1.0,,3.0,2.0,1.0,0.2997,1.0,1.0,1.0,0.0731,2.0,,,,,,,,,,,,,,,,,,,,
11451070,home,Samsunspor,Soner Gönül,soner-gonul,S. Gönül,D,28,177.0,50,M,867727,EUR,865987200,D,28,28,False,29.0,18.0,11.0,3.0,7.0,9.0,11.0,23.0,2.0,4.0,,,,89.0,44.0,6.6,17.0,0.0446696,1,,3.0,1.0,2.0,2.0,1.0,2.0,,,,1.0,,,0.0167,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
11451070,home,Samsunspor,Youssef Aït Bennasser,youssef-ait-bennasser,Y. A. Bennasser,M,15,184.0,425,M,802850,EUR,836697600,M,6,6,False,50.0,43.0,6.0,4.0,24.0,28.0,19.0,22.0,1.0,10.0,,,,90.0,63.0,7.0,9.0,0.119148,2,,,1.0,6.0,5.0,2.0,1.0,,,,2.0,1.0,,0.1083,,,,,2.0,,,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,
11451070,home,Samsunspor,Flavien Tait,flavien-tait,F. Tait,M,,175.0,101,M,312388,EUR,728611200,M,13,13,False,23.0,19.0,,,7.0,7.0,13.0,22.0,,2.0,,,,73.0,38.0,6.8,13.0,0.144227,0,,6.0,,2.0,3.0,,,,2.0,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
11451070,home,Samsunspor,Muhammed Gümüşkaya,muhammed-gumuskaya,M. Gümüşkaya,M,10,177.0,177,M,929649,EUR,978307200,M,23,23,False,27.0,19.0,3.0,3.0,6.0,7.0,14.0,24.0,,3.0,,,,61.0,43.0,7.6,13.0,0.182693,1,,4.0,3.0,2.0,8.0,,1.0,2.0,2.0,1.0,1.0,,,0.029,,1.0,,0.1818,2.0,,,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,
11451070,home,Samsunspor,Carlo Holse,carlo-holse,C. Holse,M,21,177.0,633,M,837012,EUR,928281600,M,21,21,False,36.0,28.0,1.0,,9.0,11.0,21.0,33.0,,3.0,,,,90.0,60.0,6.7,18.0,0.118729,4,,8.0,1.0,6.0,5.0,3.0,,1.0,2.0,,,2.0,,0.2342,,1.0,,0.1493,1.0,,,,,1.0,3.0,2.0,,2.0,1.0,1.0,,,,,,,,,
11451070,home,Samsunspor,Emre Kılınç,emre-kilinc,E. Kılınç,M,11,174.0,320,M,202032,EUR,777600000,M,11,11,False,31.0,20.0,2.0,1.0,5.0,6.0,16.0,28.0,,5.0,,,,90.0,47.0,7.1,16.0,0.201635,1,,3.0,2.0,8.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,,,0.0812,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,True,,,,,,,,
