match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,captain,stat_totalOffside,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goodHighClaim,stat_hitWoodwork,player_sofascoreId
10438340,home,Vizela,Tomás Silva,,,tomas-silva,Tomás,D,10,172,134,M,1176102,EUR,939945600,M,82,82,True,6.0,5.0,,2.0,2.0,6.0,,,,12.0,14.0,6.9,3.0,0,,4.0,2.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
10438340,home,Vizela,Osama Rashid,,,osama-rashid,O. Rashid,M,20,180,711,M,786038,EUR,695260800,M,23,23,True,8.0,8.0,1.0,2.0,2.0,6.0,2.0,,,12.0,8.0,6.6,,0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438340,home,Vizela,Luiz Felipe,,,luis-felipe,L. Felipe,G,,197,35,M,928228,EUR,861840000,G,13,13,True,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438340,home,Vizela,Matheus Pereira,,,matheus-pereira,M. Pereira,M,3,172,198,M,1016898,EUR,977356800,D,16,16,True,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438340,home,Vizela,Alexander Schmidt,,,alexander-schmidt,A. Schmidt,F,10,193,80,M,842499,EUR,885168000,F,11,11,True,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438340,home,Vizela,Kévin Zohi,,,kevin-zohi,K. Zohi,F,9,177,150,M,891793,EUR,850953600,F,22,22,True,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438340,away,Chaves,Paulo Vítor,,,paulo-vitor,P. Vítor,G,1,195,133,M,861003,EUR,596073600,G,1,1,False,25.0,11.0,19.0,7.0,7.0,18.0,14.0,2.0,4.0,90.0,43.0,7.8,15.0,0,5.0,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,,
10438340,away,Chaves,Habib Sylla,Habib Sylla,,habib-sylla,H. Sylla,D,52,178,24,M,1386615,EUR,918777600,D,2,2,False,22.0,17.0,5.0,14.0,17.0,10.0,12.0,,,90.0,50.0,7.1,19.0,0,3.0,4.0,5.0,1.0,,1.0,5.0,6.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
10438340,away,Chaves,Carlos Ponck,,,carlos-ponck,C. Ponck,D,26,183,62,M,584116,EUR,789955200,D,26,26,False,34.0,28.0,5.0,22.0,26.0,8.0,6.0,,,90.0,51.0,8.1,6.0,2,5.0,6.0,,,1.0,4.0,1.0,4.0,,,,,5.0,5.0,,,,,,,,1.0,2.0,,,1.0,,,,,
10438340,away,Chaves,Steven Vitória,,,steven-vitoria,S. Vitória,D,,195,115,M,59574,EUR,537321600,D,19,19,False,30.0,23.0,9.0,15.0,16.0,14.0,4.0,,,90.0,40.0,7.2,7.0,2,3.0,8.0,,,1.0,4.0,4.0,6.0,2.0,,,,2.0,,1.0,,,1.0,1.0,,,1.0,2.0,,,1.0,,,,1.0,
