match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_dispossessed,stat_interceptionWon,stat_fouls,stat_shotOffTarget,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_accurateCross,stat_wasFouled,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_keyPass,stat_wonContest,stat_hitWoodwork,captain,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,stat_challengeLost,stat_penaltyFaced,stat_penaltyConceded,stat_clearanceOffLine,stat_totalOffside,stat_blockedScoringAttempt
10385682,home,Brentford,David Raya,david-raya,D. Raya,G,1,183,26174,M,d_raya1,581310,EUR,811123200,G,1,1,False,33.0,20.0,27.0,14.0,9.0,9.0,11.0,24.0,1.0,1.0,2.0,10.0,3.0,4.0,7.0,2.0,90.0,46.0,8.6,13.0,0.0,0.0,0.00267997,0,1.2844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385682,home,Brentford,Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1144,M,,576384,EUR,892771200,D,20,20,False,22.0,17.0,6.0,3.0,11.0,14.0,6.0,9.0,,2.0,3.0,7.0,,,,,90.0,37.0,7.0,9.0,0.0,0.0,0.0220659,0,,1.0,2.0,5.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10385682,home,Brentford,Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1052,M,,855864,EUR,738633600,D,5,5,False,27.0,22.0,5.0,3.0,11.0,14.0,11.0,13.0,2.0,4.0,6.0,3.0,,,,,90.0,39.0,7.2,6.0,0.0,0.0,0.266983,0,,,2.0,3.0,,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10385682,home,Brentford,Ben Mee,ben-mee,B. Mee,D,15,180,577,M,,137774,EUR,622339200,D,16,16,False,22.0,11.0,7.0,1.0,8.0,11.0,3.0,11.0,5.0,5.0,4.0,6.0,,,,,90.0,38.0,7.5,12.0,0.1454,0.0,0.00250761,1,,,4.0,4.0,,4.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10385682,home,Brentford,Rico Henry,rico-henry,R. Henry,D,3,175,712,M,,599128,EUR,868320000,D,3,3,False,16.0,10.0,4.0,2.0,5.0,5.0,6.0,12.0,2.0,4.0,3.0,3.0,,,,,87.0,33.0,6.7,8.0,0.0,0.0,0.0317349,0,,1.0,2.0,3.0,,,,,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
10385682,home,Brentford,Frank Onyeka,frank-onyeka,F. Onyeka,M,16,183,4631,M,,885864,EUR,883612800,M,15,15,False,14.0,11.0,2.0,1.0,6.0,8.0,5.0,6.0,,3.0,1.0,4.0,,,,,71.0,29.0,7.1,6.0,0.1294,0.0,0.472481,1,,,2.0,5.0,1.0,,2.0,1.0,,2.0,2.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10385682,home,Brentford,Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1191,M,,814873,EUR,894758400,M,27,27,False,21.0,18.0,,,10.0,12.0,8.0,10.0,3.0,8.0,2.0,6.0,,,,,90.0,38.0,7.4,6.0,0.0,0.0,0.0114155,0,,1.0,1.0,2.0,,2.0,3.0,1.0,1.0,2.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,
10385682,home,Brentford,Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,1047,M,,799251,EUR,820454400,M,8,8,False,18.0,12.0,5.0,1.0,7.0,8.0,5.0,12.0,,4.0,,5.0,,,,,80.0,42.0,6.8,17.0,0.0,0.0,0.0346401,0,,2.0,,4.0,1.0,,2.0,1.0,3.0,4.0,1.0,,4.0,,,,1.0,,,,,1.0,,,,,,,,,,,
10385682,home,Brentford,Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,110440,M,bryan_m19,927083,EUR,933984000,F,19,19,False,15.0,10.0,1.0,1.0,,1.0,11.0,17.0,3.0,7.0,1.0,4.0,,,,,80.0,35.0,6.9,15.0,0.053,0.0,0.167443,1,,3.0,,7.0,5.0,,,,3.0,,1.0,1.0,1.0,,,1.0,2.0,,,,1.0,2.0,1.0,,,,,,,,,,
10385682,home,Brentford,Ivan Toney,ivan-toney,I. Toney,F,17,185,12673,M,ivantoney,290927,EUR,826934400,F,17,17,False,25.0,12.0,,,5.0,10.0,8.0,17.0,1.0,6.0,3.0,1.0,,,,,90.0,53.0,8.6,29.0,1.0234,1.9688,0.0752762,2,,2.0,1.0,7.0,1.0,,,,3.0,,2.0,,10.0,,,1.0,5.0,,1.0,,1.0,,,True,2.0,2.0,1.0,,,,,,
