match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_fouls,captain,stat_totalCross,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_penaltyWon,stat_bigChanceCreated,stat_shotOffTarget,player_firstName,player_lastName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAGoal,stat_expectedGoalsOnTarget,stat_accurateCross,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_penaltyConceded,stat_errorLeadToAShot
14771797,home,Al-Khaleej,Anthony Moris,anthony-moris,A. Moris,G,49,184.0,295,M,39457,EUR,641347200,G,49,49,False,27.0,21.0,10.0,4.0,0.0,19.0,19.0,2.0,8.0,8.0,1.0,4.0,4.0,90.0,39.0,6.4,7.0,0.00020933,0.0954,0,-0.6736,0.11,0.03,-0.33,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771797,home,Al-Khaleej,Saeed Al Hamsal,saeed-al-hamsal,S. A. Hamsal,D,39,176.0,21,M,818563,EUR,829785600,D,39,39,False,34.0,26.0,6.0,1.0,0.0,16.0,17.0,10.0,17.0,5.0,,,,84.0,60.0,6.5,15.0,0.00255983,,0,,0.12,0.06,-0.23,,3.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771797,home,Al-Khaleej,Bart Schenkeveld,bart-schenkeveld,B. Schenkeveld,D,4,184.0,280,M,99150,EUR,683337600,D,4,4,False,45.0,41.0,3.0,2.0,0.0,37.0,39.0,4.0,6.0,2.0,,,,90.0,58.0,6.1,4.0,0.00123324,,0,,-0.03,0.13,-0.43,,2.0,4.0,,,4.0,3.0,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14771797,home,Al-Khaleej,Mohammed Al-Khabrani,mohammed-al-khabrani,M. Al-Khabrani,D,3,178.0,21,M,818696,EUR,750556800,D,3,3,False,57.0,51.0,5.0,2.0,0.0,44.0,48.0,7.0,9.0,3.0,,,,90.0,64.0,5.7,6.0,0.00285543,,0,,-0.05,0.11,-0.71,,1.0,1.0,,,4.0,1.0,,,,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
14771797,home,Al-Khaleej,Pedro Rebocho,pedro-rebocho,P. Rebocho,D,5,172.0,204,M,190139,EUR,790819200,D,5,5,False,38.0,32.0,1.0,1.0,0.0,19.0,21.0,13.0,17.0,6.0,,,,90.0,63.0,5.9,13.0,0.141359,,1,,0.32,0.07,-0.6,,5.0,1.0,,3.0,5.0,1.0,,,2.0,,1.0,,,,,1.0,2.0,1.0,1.0,1.0,0.0156,1.0,-0.11,,,,,,,,,,,,,,,,,
14771797,home,Al-Khaleej,Paolo Fernandes,fernandes-paolo,P. Fernandes,M,11,167.0,402,M,851099,EUR,902620800,M,11,11,False,18.0,16.0,1.0,1.0,0.0,9.0,9.0,7.0,9.0,2.0,,,,67.0,31.0,7.1,7.0,0.0557672,,0,,0.32,-0.29,-0.15,,6.0,5.0,2.0,5.0,,1.0,2.0,,1.0,1.0,,,,,,,1.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,
14771797,home,Al-Khaleej,Majed Omar Kanabah,majed-omar-kanabah,M. O. Kanabah,M,12,172.0,36,M,828444,EUR,730771200,M,12,12,False,31.0,24.0,7.0,3.0,1.0,14.0,17.0,10.0,14.0,3.0,,,,68.0,39.0,6.7,7.0,0.00340704,,1,,0.03,0.03,-0.08,,1.0,2.0,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,0.0135,1.0,-0.05,,1.0,1.0,,,,,,,,,,,,,,
14771797,home,Al-Khaleej,Murad Al Hawsawi,murad-al-hawsawi,M. A. Hawsawi,M,18,180.0,332,M,1549082,EUR,991440000,M,18,18,False,48.0,43.0,4.0,3.0,0.0,30.0,31.0,13.0,17.0,9.0,,,,90.0,62.0,6.6,7.0,0.181015,,0,,0.06,0.2,-0.29,,6.0,6.0,3.0,1.0,1.0,1.0,4.0,3.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,,Murad Al Hawsawi,,,,,,,,,,,,,
14771797,home,Al-Khaleej,Giorgos Masouras,giorgos-masouras,G. Masouras,M,9,184.0,1890,M,592560,EUR,757382400,M,9,9,False,20.0,17.0,,,0.0,9.0,11.0,8.0,9.0,1.0,,,,84.0,26.0,6.2,8.0,0.00743653,,0,,0.03,0.12,-0.12,,3.0,1.0,1.0,,,,,,3.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
14771797,home,Al-Khaleej,Joshua King,joshua-king,J. King,F,7,180.0,2230,M,100621,EUR,695433600,F,7,7,False,21.0,18.0,,,0.0,11.0,11.0,7.0,10.0,3.0,,,,90.0,36.0,7.9,10.0,0.0142102,,3,,-0.22,0.48,-0.02,,8.0,2.0,,2.0,,,1.0,,2.0,1.0,1.0,,1.0,3.0,,,2.0,,,1.0,1.9455,1.0,0.63,,,,,,1.0,3.0,2.0,1.0,1.6855,,,,,,,
