match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_wasFouled,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,player_firstName,player_lastName,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_errorLeadToAShot,player_sofascoreId
11352344,home,Luton Town,Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190,545,M,45959,EUR,719798400,G,24,24,False,40.0,16.0,30.0,7.0,11.0,15.0,5.0,25.0,10.0,2.0,2.0,5.0,4.0,90.0,50.0,7.0,24.0,0.00109336,0,0.6971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352344,home,Luton Town,Reece Burke,reece-burke,R. Burke,D,32,189,102,M,372342,EUR,841622400,D,16,16,False,29.0,15.0,9.0,2.0,8.0,12.0,7.0,17.0,5.0,,,,,90.0,44.0,7.0,16.0,0.00214354,1,,1.0,2.0,5.0,7.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,2.0,0.0238,,,,,,,,,,,,,,,,,,,
11352344,home,Luton Town,Gabriel Osho,gabriel-osho,G. Osho,D,4,185,1150,M,920680,EUR,903052800,D,2,2,False,38.0,29.0,6.0,,20.0,22.0,9.0,16.0,14.0,,,,,90.0,56.0,7.1,11.0,0.00779717,0,,1.0,,4.0,5.0,1.0,3.0,1.0,,3.0,1.0,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,
11352344,home,Luton Town,Amari'i Bell,amarii-bell,A. Bell,D,17,179,289,M,369674,EUR,768096000,D,29,29,False,47.0,38.0,6.0,1.0,27.0,30.0,11.0,17.0,9.0,,,,,90.0,60.0,7.4,9.0,0.00392742,0,,,2.0,3.0,4.0,,2.0,2.0,,3.0,2.0,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,
11352344,home,Luton Town,Chiedozie Ogbene,ogbene-chiedozie,C. Ogbene,M,19,181,757,M,849309,EUR,862444800,M,7,7,False,29.0,21.0,2.0,1.0,10.0,12.0,12.0,18.0,10.0,,,,,90.0,51.0,7.9,15.0,0.146765,3,,1.0,3.0,4.0,8.0,,5.0,3.0,1.0,,,,,2.0,,1.1248,2.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.2189,2.0,,,,,,,,,
11352344,home,Luton Town,Albert Sambi Lokonga,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3626,M,901892,EUR,940550400,M,28,28,False,23.0,18.0,2.0,2.0,12.0,14.0,6.0,9.0,4.0,,,,,68.0,32.0,7.5,7.0,0.131254,1,,1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0203,2.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,
11352344,home,Luton Town,Ross Barkley,ross-barkley,R. Barkley,M,6,188,2411,M,98435,EUR,755049600,M,6,6,False,33.0,29.0,4.0,,9.0,10.0,20.0,23.0,6.0,,,,,82.0,57.0,7.8,12.0,0.332897,1,,1.0,1.0,7.0,8.0,,6.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,,0.0463,2.0,,,,3.0,,,,,5.0,1.0,2.0,,,,,,,
11352344,home,Luton Town,Alfie Doughty,alfie-doughty,A. Doughty,M,14,183,521,M,945792,EUR,945734400,M,45,45,False,42.0,32.0,9.0,3.0,15.0,16.0,19.0,36.0,7.0,,,,,90.0,81.0,7.0,27.0,0.0739408,0,,1.0,,3.0,4.0,,1.0,1.0,,2.0,,3.0,2.0,5.0,1.0,,,,10.0,2.0,1.0,,,1.0,,1.0,,,,,,,,,
11352344,home,Luton Town,Jordan Clark,jordan-clark,J. Clark,M,18,183,134,M,150477,EUR,748656000,F,18,18,False,21.0,15.0,1.0,1.0,3.0,5.0,13.0,19.0,4.0,,,,,68.0,43.0,7.1,13.0,0.0482691,2,,1.0,,8.0,7.0,2.0,4.0,2.0,1.0,,1.0,3.0,1.0,2.0,2.0,0.1081,2.0,,3.0,1.0,1.0,1.0,,1.0,0.3402,1.0,,,,,,,,,
11352344,home,Luton Town,Elijah Adebayo,adebayo-elijah,E. Adebayo,F,11,193,980,M,920542,EUR,884131200,F,11,11,False,10.0,8.0,1.0,,1.0,2.0,7.0,8.0,4.0,,,,,71.0,27.0,9.1,10.0,0.0120155,4,,1.0,,7.0,3.0,,7.0,3.0,1.0,,,,,2.0,2.0,1.4645,,,,,,3.0,3.0,,2.0401,1.0,,,,,,,,,
11352344,home,Luton Town,Carlton Morris,carlton-morris,C. Morris,F,9,185,1069,M,358222,EUR,819072000,F,9,9,False,19.0,12.0,,,6.0,7.0,6.0,12.0,4.0,,,,,82.0,32.0,7.5,10.0,0.00757376,4,,4.0,3.0,6.0,7.0,1.0,1.0,1.0,,,,,,2.0,1.0,0.3407,3.0,,,,,2.0,,,0.8065,1.0,1.0,1.0,,,True,1.0,2.0,,
