match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_wasFouled,captain,stat_aerialLost,stat_bigChanceMissed,stat_outfielderBlock,player_sofascoreId,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_hitWoodwork,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals,stat_lastManTackle
10382183,home,Excelsior,Stijn van Gassel,,,stijn-van-gassel,S. van Gassel,G,1,185.0,166,M,367118,EUR,845596800,G,1,1,False,37.0,23.0,22.0,10.0,20.0,22.0,3.0,15.0,1.0,1.0,1.0,11.0,2.0,90.0,47.0,6.9,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382183,home,Excelsior,Siebe Horemans,,,siebe-horemans,S. Horemans,D,2,186.0,201,M,794990,EUR,896745600,D,2,2,False,59.0,43.0,14.0,7.0,21.0,23.0,23.0,38.0,8.0,9.0,4.0,5.0,,90.0,90.0,7.5,24.0,1,2.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
10382183,home,Excelsior,Sven Nieuwpoort,Sven,Nieuwpoort,sven-nieuwpoort,S. Nieuwpoort,D,16,184.0,8,M,97412,EUR,734659200,D,16,16,False,39.0,35.0,2.0,,33.0,34.0,2.0,5.0,3.0,4.0,1.0,4.0,,90.0,43.0,7.0,4.0,1,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10382183,home,Excelsior,Redouan El Yaakoubi,,,redouan-el-yaakoubi,R. E. Yaakoubi,D,,182.0,100,M,887617,EUR,822528000,D,4,4,False,46.0,37.0,11.0,5.0,27.0,29.0,10.0,17.0,3.0,5.0,13.0,8.0,,90.0,65.0,7.4,10.0,2,,,3.0,,,,,1.0,1.0,1.0,1.0,,2.0,1.0,True,2.0,1.0,1.0,,,,,,,,,,,,,,,
10382183,home,Excelsior,Nathan Tjoe-A-On,,,tjoe-a-on-nathan,N. Tjoe-A-On,M,24,182.0,7235,M,992651,EUR,1008979200,D,28,28,False,36.0,25.0,9.0,6.0,16.0,22.0,9.0,14.0,1.0,7.0,2.0,6.0,,90.0,63.0,7.4,16.0,0,,,4.0,1.0,2.0,,4.0,5.0,2.0,1.0,,,,,,1.0,,,nathantjoeaon,1.0,1.0,,,,,,,,,,,,
10382183,home,Excelsior,Adrian Fein,Adrian,Fein,adrian-fein,A. Fein,M,29,187.0,138,M,855846,EUR,921715200,M,5,5,False,44.0,39.0,7.0,6.0,23.0,24.0,16.0,20.0,,2.0,2.0,8.0,,77.0,48.0,7.2,5.0,0,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
10382183,home,Excelsior,Kenzo Goudmijn,,,kenzo-goudmijn,K. Goudmijn,M,24,174.0,248,M,916947,EUR,1008633600,M,8,8,False,33.0,25.0,4.0,4.0,10.0,11.0,15.0,23.0,,5.0,,9.0,,90.0,53.0,6.9,16.0,2,1.0,,6.0,2.0,1.0,,1.0,3.0,3.0,4.0,1.0,2.0,,2.0,,2.0,,,,,,2.0,,,,,,,,,,,
10382183,home,Excelsior,Julian Baas,,,julian-baas,J. Baas,M,16,184.0,147,M,1046143,EUR,1018915200,M,33,33,False,29.0,17.0,4.0,2.0,8.0,11.0,12.0,23.0,2.0,4.0,2.0,6.0,,90.0,49.0,7.9,18.0,1,5.0,3.0,3.0,,,,1.0,1.0,1.0,,,5.0,1.0,1.0,,,,,,3.0,,,1.0,2.0,,,,,,,,,
10382183,home,Excelsior,Marouan Azarkan,,,marouan-azarkan,M. Azarkan,M,17,165.0,221,M,987524,EUR,1007769600,F,10,10,False,27.0,18.0,1.0,,3.0,5.0,17.0,31.0,1.0,6.0,,3.0,,86.0,58.0,7.7,24.0,3,9.0,2.0,8.0,,,2.0,,2.0,2.0,2.0,,2.0,,3.0,,2.0,,,,6.0,,1.0,,,1.0,,,,,,,,
10382183,home,Excelsior,Reda Kharchouch,,,reda-kharchouch,R. Kharchouch,F,99,192.0,100,M,907909,EUR,809481600,F,9,9,False,29.0,21.0,1.0,1.0,8.0,9.0,13.0,20.0,4.0,7.0,1.0,2.0,,89.0,44.0,7.0,13.0,4,,,13.0,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,,,8.0,,,,4.0,1.0,1.0,,,,,,,,,,,
