match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_lastManTackle,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goals,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed
11368721,home,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186,1063,M,341097,EUR,729561600,G,1,1,False,True,36.0,13.0,32.0,9.0,5.0,6.0,8.0,30.0,1.0,17.0,3.0,3.0,4.0,1.0,90.0,48.0,7.8,25.0,0.00587053,0,0.6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368721,home,Cádiz,Iza Carcelén,iza-carcelen,I. Carcelén,D,20,174,127,M,800403,EUR,735523200,D,20,20,False,,27.0,20.0,4.0,4.0,10.0,12.0,10.0,18.0,,8.0,,,,,90.0,49.0,7.0,14.0,0.0174979,0,,3.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11368721,home,Cádiz,Aiham Ousou,aiham-ousou,A. Ousou,D,4,186,1250,M,965265,EUR,947376000,D,24,24,False,,38.0,32.0,4.0,3.0,15.0,19.0,17.0,19.0,5.0,2.0,,,,,90.0,49.0,7.3,7.0,0.0112628,0,,,1.0,4.0,,,,2.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
11368721,home,Cádiz,Víctor Chust,victor-chust,V. Chust,D,23,182,605,M,855831,EUR,952214400,D,5,5,False,,33.0,28.0,7.0,4.0,21.0,24.0,7.0,9.0,7.0,4.0,,,,,90.0,48.0,7.6,7.0,0.00203622,0,,,1.0,5.0,,,,3.0,3.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11368721,home,Cádiz,Javier Hernández,javier-hernandez,J. Hernández,D,26,181,457,M,1031658,EUR,894067200,D,15,15,False,,39.0,30.0,8.0,3.0,9.0,12.0,22.0,31.0,1.0,3.0,,,,,90.0,60.0,7.1,20.0,0.115393,0,,4.0,5.0,2.0,,,,,,2.0,1.0,2.0,,,,,1.0,3.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,
11368721,home,Cádiz,Robert Navarro,robert-navarro,R. Navarro,M,23,178,940,M,944165,EUR,1018569600,M,27,27,False,,22.0,13.0,2.0,,2.0,5.0,12.0,18.0,1.0,4.0,,,,,78.0,41.0,6.7,15.0,0.0397513,0,,1.0,6.0,5.0,2.0,,,,,3.0,2.0,1.0,,,,,,6.0,3.0,,,,1.0,,2.0,,,,,,,,,,
11368721,home,Cádiz,Rubén Alcaraz,ruben-alcaraz,R. Alcaraz,M,4,180,243,M,259339,EUR,673056000,M,4,4,False,,46.0,40.0,5.0,3.0,21.0,21.0,20.0,26.0,2.0,6.0,,,,,90.0,64.0,7.4,9.0,0.144604,2,,1.0,4.0,8.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,,,,,2.0,1.0,1.0,,,,1.0,,,1.0,1.0,0.0444,0.3447,,,,,,
11368721,home,Cádiz,Rominigue Kouamé,rominigue-kouame,R. Kouamé,M,6,177,330,M,846446,EUR,850780800,M,12,12,False,,36.0,32.0,2.0,,11.0,12.0,21.0,24.0,3.0,11.0,,,,,68.0,46.0,6.8,5.0,0.0186955,0,,,4.0,2.0,2.0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
11368721,home,Cádiz,Rubén Sobrino,ruben-sobrino,R. Sobrino,M,19,185,175,M,329563,EUR,698198400,M,7,7,False,,32.0,21.0,3.0,1.0,6.0,9.0,17.0,25.0,,3.0,,,,,87.0,56.0,7.1,17.0,0.524755,1,,2.0,7.0,5.0,,1.0,1.0,4.0,2.0,4.0,1.0,5.0,,,,,,1.0,,,,1.0,2.0,1.0,1.0,,,0.0799,,1.0,,,,,
11368721,home,Cádiz,Maximiliano Gómez,maximiliano-gomez,M. Gómez,F,9,186,1051,M,805245,EUR,839980800,F,25,25,False,,11.0,5.0,,,1.0,1.0,4.0,11.0,,1.0,,,,,68.0,20.0,6.5,10.0,0.00295271,0,,1.0,9.0,6.0,1.0,2.0,,1.0,1.0,,1.0,2.0,1.0,,,3.0,4.0,1.0,,,,,,,,,,,,,,,,,
