match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_outfielderBlock,stat_unsuccessfulTouch,stat_keyPass,stat_challengeLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_penaltyConceded,stat_totalOffside,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_accurateCross,player_sofascoreId,stat_penaltyMiss,stat_penaltyWon
13078960,home,Arminia Bielefeld,Jonas Thomas Kersken,,,jonas-thomas-kersken,J. T. Kersken,G,1,192,151,M,951531,EUR,967766400,G,1,1,False,26.0,14.0,18.0,6.0,0.0,10.0,12.0,4.0,14.0,1.0,1.0,9.0,1.0,6.0,1.0,1.0,7.0,90.0,39.0,8.4,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13078960,home,Arminia Bielefeld,Christopher Lannert,,,christopher-lannert,C. Lannert,D,24,180,18,M,886258,EUR,897264000,D,24,24,False,27.0,20.0,2.0,1.0,0.0,6.0,7.0,14.0,24.0,1.0,5.0,9.0,,,,,,89.0,52.0,7.8,13.0,4,4.0,1.0,3.0,1.0,3.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
13078960,home,Arminia Bielefeld,Leon Schneider,,,leon-schneider,L. Schneider,D,23,184,20,M,901416,EUR,961372800,D,23,23,False,28.0,21.0,10.0,3.0,0.0,14.0,15.0,7.0,13.0,1.0,3.0,2.0,,,,,,90.0,41.0,6.6,10.0,0,,3.0,4.0,,,,,5.0,2.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
13078960,home,Arminia Bielefeld,Stefano Russo,,,russo-stefano,S. Russo,M,21,183,87,M,984804,EUR,962236800,D,21,21,False,37.0,28.0,7.0,1.0,0.0,11.0,14.0,17.0,23.0,3.0,5.0,3.0,,,,,,90.0,55.0,6.8,11.0,1,,4.0,7.0,,,,,6.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,2.0,,,,,,,,,,,
13078960,home,Arminia Bielefeld,Maximilian Großer,,,maximilian-grosser,M. Großer,D,19,192,75,M,1014486,EUR,995846400,D,19,19,False,46.0,38.0,5.0,2.0,0.0,33.0,39.0,5.0,7.0,8.0,9.0,,,,,,,90.0,59.0,6.5,10.0,0,,3.0,5.0,,,,,5.0,1.0,,,2.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,
13078960,home,Arminia Bielefeld,Louis Oppie,,,louis-oppie,L. Oppie,D,23,184,183,M,1137900,EUR,1021593600,D,4,4,False,44.0,39.0,4.0,,0.0,21.0,24.0,18.0,23.0,1.0,5.0,7.0,,,,,,90.0,70.0,7.4,13.0,3,3.0,,4.0,2.0,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,,1.0,1.0,,2.0,1.0,,,1.0,,,,,,,,
13078960,home,Arminia Bielefeld,Marius Wörl,Marius Worl,,marius-worl,M. Wörl,M,38,178,231,M,1387705,EUR,1081123200,M,38,38,False,31.0,23.0,5.0,3.0,1.0,7.0,9.0,16.0,27.0,,3.0,3.0,,,,,,89.0,50.0,7.7,16.0,3,5.0,2.0,5.0,2.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,,6.0,,1.0,1.0,,,2.0,1.0,1.0,,,,,,
13078960,home,Arminia Bielefeld,Sam Schreck,,,sam-schreck,S. Schreck,M,8,180,66,M,836708,EUR,917568000,M,8,8,False,43.0,36.0,4.0,2.0,0.0,22.0,25.0,14.0,18.0,2.0,8.0,7.0,,,,,,89.0,56.0,6.7,9.0,1,,2.0,6.0,,,,,1.0,3.0,2.0,3.0,4.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,
13078960,home,Arminia Bielefeld,Mael Corboz,,,mael-corboz,M. Corboz,M,6,180,68,M,829211,EUR,778809600,M,6,6,False,27.0,19.0,3.0,2.0,1.0,9.0,12.0,10.0,17.0,1.0,4.0,2.0,,,,,,90.0,49.0,7.5,13.0,4,2.0,,3.0,2.0,2.0,1.0,,3.0,2.0,1.0,,1.0,2.0,,1.0,,1.0,1.0,,,1.0,1.0,,True,,,,,
13078960,home,Arminia Bielefeld,Lukas Kunze,,,lukas-kunze,L. Kunze,M,13,189,31,M,892527,EUR,897782400,F,13,13,False,28.0,21.0,,,0.0,7.0,11.0,14.0,17.0,1.0,1.0,3.0,,,,,,86.0,36.0,6.8,9.0,0,,2.0,5.0,,,,,1.0,,,,2.0,,1.0,3.0,1.0,,,,,,,,,,,,,
