match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_possessionLostCtrl,stat_aerialLost,stat_aerialWon,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_bigChanceMissed,player_sofascoreId,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_outfielderBlock,stat_goalAssist,stat_accurateCross,stat_savedShotsFromInsideTheBox,stat_goodHighClaim
11392812,home,Olympique Lyonnais,Anthony Lopes,,,anthony-lopes,A. Lopes,G,1,184,1194,M,48535,EUR,654739200,G,1,1,False,13.0,13.0,2.0,2.0,13.0,13.0,1.0,8.0,5.0,1.0,90.0,24.0,7.7,0.00015438,0,-0.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392812,home,Olympique Lyonnais,Clinton Mata,,,clinton-mata,C. Mata,D,22,180,1320,M,152813,EUR,721094400,D,22,22,False,88.0,77.0,10.0,6.0,36.0,38.0,2.0,4.0,,,81.0,101.0,6.9,0.0340291,0,,41.0,52.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
11392812,home,Olympique Lyonnais,Sinaly Diomandé,,,sinaly-diomande,S. Diomandé,D,20,184,714,M,996951,EUR,986774400,D,2,2,False,77.0,74.0,1.0,,38.0,41.0,3.0,15.0,,,90.0,89.0,6.9,0.020443,0,,36.0,36.0,,4.0,9.0,2.0,,,,4.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11392812,home,Olympique Lyonnais,Jake O'Brien,,,jake-obrien,J. O'Brien,D,15,197,1429,M,998253,EUR,989884800,D,12,12,False,85.0,76.0,7.0,5.0,38.0,42.0,2.0,9.0,,,90.0,95.0,7.0,0.0282269,0,,38.0,44.0,1.0,2.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,11.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
11392812,home,Olympique Lyonnais,Saël Kumbedi,,,sael-kumbedi,S. Kumbedi,D,26,175,827,M,1155226,EUR,1111795200,M,20,20,False,56.0,47.0,3.0,,17.0,20.0,1.0,5.0,,,90.0,80.0,7.1,0.18938,0,,30.0,38.0,2.0,10.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,19.0,,,3.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
11392812,home,Olympique Lyonnais,Skelly Alvero,Skelly Alvero,,skelly-alvero,S. Alvero,M,80,202,455,M,1165722,EUR,1020470400,M,80,80,False,50.0,42.0,1.0,1.0,11.0,12.0,3.0,4.0,,,90.0,74.0,7.8,0.0326417,3,,31.0,39.0,1.0,10.0,10.0,,4.0,2.0,,4.0,4.0,,16.0,2.0,4.0,2.0,3.0,3.0,,,1.0,2.0,1.0,0.0999,0.3315,,,,,,,,,,,
11392812,home,Olympique Lyonnais,Maxence Caqueret,,,maxence-caqueret,M. Caqueret,M,6,174,2464,M,859027,EUR,950572800,M,6,6,False,95.0,87.0,1.0,1.0,30.0,31.0,,10.0,,,90.0,113.0,7.2,0.153293,0,,57.0,68.0,4.0,5.0,7.0,2.0,,,1.0,5.0,3.0,1.0,16.0,,1.0,2.0,1.0,2.0,,3.0,,,,,,1.0,,,,,,,,,,
11392812,home,Olympique Lyonnais,Mahamadou Diawara,Mahamadou Diawara,,mahamadou-diawara,M. Diawara,M,34,187,449,M,1402751,EUR,1108512000,M,34,34,False,28.0,23.0,,,6.0,9.0,,3.0,,,58.0,37.0,7.0,0.0292645,1,,17.0,19.0,,3.0,4.0,1.0,1.0,,1.0,2.0,2.0,1.0,8.0,,1.0,2.0,1.0,,,,1.0,,,0.3646,,,1.0,,,,,,,,,
11392812,home,Olympique Lyonnais,Nicolás Tagliafico,,,nicolas-tagliafico,N. Tagliafico,D,3,172,10932,M,158243,EUR,715219200,M,3,3,False,53.0,44.0,1.0,1.0,13.0,14.0,,4.0,,,90.0,74.0,7.1,0.0509634,1,,31.0,42.0,3.0,5.0,5.0,,,,,4.0,4.0,1.0,14.0,2.0,,,1.0,2.0,,1.0,,,,0.0245,,,,tagliafico3,1.0,,,,,,,
11392812,home,Olympique Lyonnais,Mama Baldé,,,mama-balde,M. Baldé,F,17,183,1081,M,557166,EUR,815616000,F,7,7,False,9.0,7.0,,,2.0,2.0,1.0,2.0,,,58.0,18.0,6.4,0.107355,1,,5.0,8.0,1.0,2.0,1.0,,1.0,,,,,1.0,7.0,,,2.0,,1.0,,,,1.0,,0.5464,0.7875,,1.0,,,2.0,,,,,,
