match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_totalClearance,stat_interceptionWon,stat_keyPass,stat_totalContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_wonContest,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyMiss,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_totalOffside,stat_penaltyConceded
10583911,home,Al-Hilal,Abdullah Al-Mayouf,abdullah-al-mayouf,A. Al-Mayouf,G,187,197,M,118159,EUR,538358400,G,1,1,False,True,28.0,22.0,18.0,12.0,12.0,12.0,10.0,16.0,13.0,2.0,2.0,2.0,90.0,39.0,6.8,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583911,home,Al-Hilal,Saud Abdulhamid,abdulhamid-saud,S. Abdulhamid,D,178,8457,M,966849,EUR,932256000,D,66,66,False,,39.0,27.0,4.0,1.0,15.0,16.0,14.0,28.0,5.0,,,,90.0,69.0,7.4,21.0,1,,,23,s.abdulhamed66,5.0,2.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
10583911,home,Al-Hilal,Hyun Soo Jang,hyun-soo-jang,H. S. Jang,D,187,185,M,160875,EUR,686016000,D,20,20,False,,41.0,40.0,5.0,5.0,24.0,25.0,16.0,16.0,6.0,,,,90.0,44.0,6.7,1.0,0,,,20,,,,1.0,,2.0,,,,,,,,,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,
10583911,home,Al-Hilal,Ali Albulayhi,ali-albulayhi,A. Albulayhi,D,182,1057,M,1138857,EUR,627609600,D,5,5,False,,45.0,38.0,8.0,2.0,19.0,19.0,19.0,26.0,4.0,,,,90.0,51.0,6.6,8.0,0,,,3,,,,1.0,,3.0,1.0,,,,,1.0,1.0,,,1.0,,3.0,1.0,,1.0,,,,,,,,,,,,,
10583911,home,Al-Hilal,Hamad Al Yami,hamad-al-yami,H. A. Yami,D,170,585,M,981158,EUR,926899200,D,88,88,False,,43.0,39.0,1.0,1.0,14.0,15.0,26.0,29.0,1.0,,,,69.0,52.0,6.7,6.0,0,Hamad,Al Yami,88,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
10583911,home,Al-Hilal,Moussa Marega,moussa-marega,M. Marega,F,183,1093,M,298300,EUR,671587200,M,17,17,False,,14.0,9.0,1.0,,3.0,3.0,6.0,13.0,3.0,,,,83.0,25.0,7.3,11.0,3,,,7,,2.0,,,2.0,2.0,3.0,,,1.0,,1.0,,4.0,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,
10583911,home,Al-Hilal,Gustavo Cuéllar,gustavo-cuellar,G. Cuéllar,M,175,1944,M,180059,EUR,719020800,M,6,6,False,,63.0,59.0,7.0,5.0,33.0,35.0,26.0,28.0,8.0,,,,90.0,78.0,7.1,7.0,1,,,6,,,,,,5.0,7.0,2.0,2.0,1.0,,5.0,3.0,1.0,2.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,
10583911,home,Al-Hilal,Nasser Al-Dawsari,nasser-al-dawsari,N. Al-Dawsari,M,178,1153,M,872607,EUR,914025600,M,16,16,False,,41.0,37.0,2.0,,9.0,9.0,30.0,43.0,6.0,,,,90.0,66.0,7.3,13.0,3,,,16,,11.0,2.0,,,1.0,4.0,,,1.0,,1.0,,,2.0,1.0,,1.0,,2.0,1.0,,2.0,,1.0,,,,,,,,,
10583911,home,Al-Hilal,Michael,michael,Michael,M,166,9025,M,878084,EUR,826588800,M,96,96,False,,28.0,22.0,1.0,,7.0,8.0,15.0,26.0,5.0,,,,90.0,58.0,6.3,23.0,3,,,96,Michael19,6.0,,,,8.0,3.0,2.0,4.0,,,,,4.0,1.0,,,1.0,1.0,1.0,4.0,1.0,2.0,,2.0,,,,,,,,,
10583911,home,Al-Hilal,André Carrillo,andre-carrillo,A. Carrillo,M,180,14534,M,115182,EUR,676857600,F,19,19,False,,56.0,47.0,12.0,11.0,11.0,12.0,39.0,48.0,6.0,,,,90.0,70.0,7.8,13.0,2,,,19,18andrecarrillo,4.0,3.0,2.0,2.0,8.0,4.0,1.0,2.0,,,1.0,1.0,,,2.0,,,2.0,1.0,2.0,,2.0,,1.0,1.0,1.0,,,,,,,
10583911,home,Al-Hilal,Odion Ighalo,odion-ighalo,O. Ighalo,F,183,2180,M,29774,EUR,613958400,F,9,9,False,,11.0,7.0,,,4.0,5.0,3.0,6.0,2.0,,,,82.0,19.0,6.1,7.0,1,,,,,,,2.0,1.0,3.0,1.0,,1.0,,,,,2.0,,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,
