match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_interceptionWon,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,player_firstName,stat_challengeLost,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_wasFouled,player_lastName,stat_dispossessed,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_blockedScoringAttempt,player_sofascoreId,stat_totalOffside,stat_shotOffTarget,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
13472603,home,Botafogo,Léo Linck,leo-linck,L. Linck,G,24,194,1042,M,1119887,EUR,983577600,G,24,24,False,19.0,14.0,10.0,5.0,0.0,12.0,13.0,2.0,6.0,1.0,1.0,2.0,7.0,1.0,1.0,3.0,2.0,90.0,28.0,7.1,5.0,0.00037914,14.245663611862,3.0,-1.47,0.945,0,-0.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472603,home,Botafogo,Vitinho,vitinho,Vitinho,D,2,175,3615,M,914477,EUR,932688000,D,2,2,False,38.0,33.0,5.0,3.0,0.0,20.0,22.0,13.0,16.0,,,1.0,6.0,,,,,90.0,50.0,6.3,7.0,0.225806,74.795021198715,8.0,37.275,22.26,0,,3.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
13472603,home,Botafogo,Alexander Barboza,alexander-barboza,A. Barboza,D,20,193,2577,M,801044,EUR,795312000,D,20,20,False,55.0,52.0,3.0,3.0,0.0,34.0,35.0,18.0,20.0,1.0,3.0,7.0,3.0,,,,,90.0,71.0,7.1,3.0,0.0120298,66.938521334386,12.0,18.375,5.985,0,,,,,2.0,,1.0,2.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
13472603,home,Botafogo,David Ricardo,david-ricardo,D. Ricardo,D,57,188,941,M,1186587,EUR,1040428800,D,57,57,False,54.0,46.0,6.0,3.0,1.0,31.0,33.0,15.0,21.0,1.0,4.0,5.0,5.0,,,,,90.0,64.0,7.0,10.0,0.195467,205.93875067473,18.0,130.62,33.6,0,,,,,4.0,1.0,,1.0,1.0,,2.0,1.0,David Ricardo,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
13472603,home,Botafogo,Cuiabano,cuiabano,Cuiabano,D,6,179,2699,M,1160554,EUR,1045353600,D,6,6,False,24.0,21.0,2.0,1.0,0.0,5.0,5.0,16.0,19.0,2.0,7.0,2.0,2.0,,,,,90.0,50.0,8.0,12.0,0.0788527,47.373019913694,7.0,41.37,13.335,3,,4.0,,1.0,6.0,2.0,,2.0,1.0,,3.0,3.0,Cuiabano,2.0,,4.0,,,1.0,2.0,1.0,3.0,1.0,1.2159,1.4141,,,,,,,,
13472603,home,Botafogo,Marlon Freitas,marlon-freitas,M. Freitas,M,17,185,3107,M,840202,EUR,796262400,M,17,17,False,72.0,60.0,9.0,6.0,0.0,20.0,23.0,40.0,49.0,,2.0,,2.0,,,,,90.0,80.0,7.2,15.0,0.229718,188.6169558454,19.0,78.75,32.655,2,,,,,3.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,2.0,,,,1.0,,1.0,,0.0381,0.2033,True,1.0,,,,,,
13472603,home,Botafogo,Danilo,danilo,Danilo,M,8,177,5268,M,1064039,EUR,988502400,M,35,35,False,18.0,15.0,1.0,,1.0,6.0,7.0,9.0,11.0,,1.0,,5.0,,,,,27.0,21.0,7.0,4.0,0.0193642,98.627610187864,8.0,80.325,23.835,0,,,,,2.0,2.0,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,Danilo,,,,,
13472603,home,Botafogo,Artur,artur,Artur,M,7,168,3069,M,841128,EUR,887500800,M,7,7,False,20.0,16.0,,,0.0,2.0,4.0,14.0,16.0,1.0,3.0,,,,,,,78.0,35.0,7.4,9.0,0.285762,83.914310225682,11.0,30.975,8.505,3,,3.0,2.0,,5.0,5.0,,,2.0,,,,,1.0,,,1.0,,,1.0,,2.0,1.0,0.2943,0.9102,,1.0,,1.0,,,,
13472603,home,Botafogo,Jefferson Savarino,jefferson-savarino,J. Savarino,M,10,169,6802,M,874739,EUR,847670400,M,10,10,False,31.0,25.0,2.0,1.0,0.0,6.0,8.0,19.0,23.0,,3.0,,1.0,,,,,78.0,42.0,7.2,10.0,0.308597,92.758005884572,16.0,50.61,8.82,2,,5.0,2.0,1.0,4.0,2.0,,1.0,2.0,,1.0,1.0,,2.0,,,1.0,,,1.0,1.0,,,0.175,,,,savarino10,1.0,2.0,1.0,,
13472603,home,Botafogo,Joaquín Correa,joaquin-correa,J. Correa,F,30,188,5658,M,249929,EUR,776736000,M,30,30,False,22.0,20.0,1.0,1.0,0.0,8.0,8.0,12.0,14.0,,1.0,,1.0,,,,,55.0,24.0,6.3,2.0,0.0807489,63.392589901684,8.0,11.97,11.34,0,,,,,3.0,,,1.0,,,,,,2.0,,,1.0,,,,,,,,,,,tucocorrea,,,,,
