match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,stat_penaltyConceded,stat_fouls,stat_expectedGoals,stat_totalCross,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_totalOffside,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_blockedScoringAttempt,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot,stat_penaltyWon,player_sofascoreId
11391385,home,Lorient,Yvon Mvogo,yvon-mvogo,Y. Mvogo,G,38,190,548,M,149656,EUR,770860800,G,38,38,False,21.0,10.0,18.0,7.0,5.0,6.0,5.0,15.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,27.0,6.2,11.0,0.0004499,0,-1.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391385,home,Lorient,Montassar Talbi,montassar-talbi,M. Talbi,D,3,190,3461,M,879618,EUR,896140800,D,3,3,False,31.0,21.0,6.0,1.0,15.0,20.0,6.0,11.0,9.0,5.0,4.0,2.0,,,,,,90.0,45.0,6.6,13.0,0.0113761,0,,,,4.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11391385,home,Lorient,Julien Laporte,julien-laporte,J. Laporte,D,15,185,87,M,791048,EUR,752371200,D,15,15,False,36.0,31.0,7.0,3.0,20.0,23.0,11.0,13.0,5.0,4.0,1.0,2.0,,,,,,90.0,48.0,6.2,5.0,0.00962223,1,,,,2.0,6.0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0464,,,,,,,,,,,,,,,,,,,
11391385,home,Lorient,Souleymane Isaak Touré,souleymane-isaak-toure,S. I. Touré,D,95,206,1092,M,1012650,EUR,1048809600,D,95,95,False,48.0,40.0,4.0,1.0,25.0,25.0,15.0,23.0,7.0,5.0,4.0,1.0,,,,,,90.0,59.0,6.7,8.0,0.0124589,2,,,,6.0,3.0,,,,,1.0,,2.0,1.0,,2.0,0.0946,,,,,,,,,,,,,,,,,,,
11391385,home,Lorient,Panos Katseris,panos-katseris,P. Katseris,M,13,175,251,M,1402217,EUR,994291200,M,7,7,False,19.0,15.0,1.0,,6.0,7.0,9.0,13.0,6.0,,4.0,1.0,,,,,,79.0,47.0,7.0,10.0,0.0557954,2,,,,2.0,9.0,3.0,2.0,1.0,,5.0,1.0,1.0,,,1.0,0.126,1.0,1.0,2.0,1.0,2.0,0.0179,2.0,,,,,,,,,,,,
11391385,home,Lorient,Laurent Abergel,laurent-abergel,L. Abergel,M,6,170,153,M,296434,EUR,728524800,M,19,19,False,39.0,29.0,4.0,,17.0,20.0,12.0,20.0,5.0,2.0,5.0,1.0,,,,,,90.0,53.0,6.4,12.0,0.00659597,0,,,,,6.0,1.0,,4.0,3.0,2.0,2.0,,1.0,,2.0,,1.0,,,,,,,True,1.0,,,,,,,,,,
11391385,home,Lorient,Imrân Louza,imran-louza,I. Louza,M,10,178,3377,M,965943,EUR,925516800,M,6,6,False,51.0,43.0,3.0,2.0,22.0,24.0,25.0,32.0,1.0,1.0,4.0,1.0,,,,,,90.0,71.0,8.4,15.0,0.44885,2,,,,,7.0,,1.0,,,1.0,1.0,1.0,,,2.0,0.1228,5.0,3.0,,1.0,2.0,0.3742,4.0,,,1.0,4.0,1.0,1.0,,,,,,
11391385,home,Lorient,Théo Le Bris,theo-le-bris,T. L. Bris,M,11,170,139,M,1131540,EUR,1033430400,M,37,37,False,31.0,27.0,4.0,2.0,9.0,10.0,19.0,25.0,5.0,3.0,3.0,1.0,,,,,,90.0,53.0,6.8,11.0,0.070791,0,,,,,6.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,2.0,,4.0,1.0,2.0,,3.0,,1.0,,,,1.0,,,,,,,,
11391385,home,Lorient,Ayman Kari,ayman-kari,A. Kari,F,,180,678,M,1142673,EUR,1100822400,F,44,44,False,42.0,39.0,1.0,1.0,15.0,15.0,24.0,27.0,6.0,,6.0,2.0,,,,,,90.0,58.0,8.6,5.0,0.301164,1,,,,1.0,5.0,2.0,,1.0,1.0,2.0,,,,,1.0,0.1008,,2.0,2.0,1.0,,0.2435,2.0,,,1.0,,,1.0,,,,,,
11391385,home,Lorient,Julien Ponceau,julien-ponceau,J. Ponceau,M,21,170,165,M,942844,EUR,975369600,F,21,21,False,28.0,24.0,,,7.0,9.0,17.0,19.0,8.0,1.0,3.0,2.0,,,,,,90.0,43.0,7.1,8.0,0.0259647,3,,,,2.0,6.0,3.0,,2.0,,1.0,1.0,1.0,,,3.0,0.1957,,1.0,2.0,1.0,1.0,0.1921,,,,,,,,1.0,1.0,,,,
