match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_challengeLost,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_totalCross,stat_totalContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,captain,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_lastManTackle,stat_clearanceOffLine
10878413,home,Manchester City,Stefan Ortega,stefan-ortega,S. Ortega,G,27,186,11780,M,stefan.ortega1,125274,EUR,721008000,G,18,18,False,34.0,28.0,11.0,5.0,26.0,28.0,2.0,6.0,2.0,9.0,3.0,3.0,90.0,37.0,6.2,6.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10878413,home,Manchester City,Rico Lewis,rico-lewis,R. Lewis,D,82,170,17470,M,Rico_Lewis,1136731,EUR,1100995200,D,82,82,False,71.0,62.0,5.0,2.0,40.0,46.0,22.0,25.0,1.0,8.0,,,90.0,90.0,6.5,18.0,,0,Rico Lewis,,1.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,
10878413,home,Manchester City,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22626,M,manuel_akanji,383560,EUR,806112000,D,25,25,False,36.0,32.0,3.0,2.0,20.0,21.0,12.0,15.0,,3.0,,,61.0,38.0,6.0,5.0,,0,,,,3.0,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10878413,home,Manchester City,Aymeric Laporte,aymeric-laporte,A. Laporte,D,14,191,10350,M,laporte27,149734,EUR,769996800,D,14,14,False,74.0,69.0,8.0,6.0,53.0,55.0,16.0,19.0,1.0,4.0,,,90.0,82.0,7.0,5.0,,0,,,,,3.0,,1.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
10878413,home,Manchester City,Nathan Aké,nathan-ake,N. Aké,D,6,180,21204,M,nathanake,149663,EUR,793065600,D,6,6,False,50.0,37.0,2.0,,22.0,29.0,15.0,22.0,2.0,9.0,,,90.0,71.0,7.0,20.0,,3,,,,2.0,3.0,1.0,2.0,,,2.0,1.0,,,2.0,,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,
10878413,home,Manchester City,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,315719,M,KDB,70996,EUR,678067200,M,17,17,False,43.0,37.0,4.0,2.0,12.0,13.0,29.0,46.0,,7.0,,,90.0,72.0,8.8,22.0,5.0,2,,,,3.0,3.0,1.0,1.0,2.0,1.0,2.0,,,1.0,,,16.0,2.0,,2.0,,2.0,4.0,1.0,2.0,,,,,,,,,
10878413,home,Manchester City,Rodri,rodri,Rodri,M,16,191,87652,M,Rodri,827606,EUR,835401600,M,16,16,False,104.0,101.0,10.0,9.0,62.0,64.0,39.0,40.0,2.0,9.0,,,90.0,119.0,8.1,5.0,1.0,1,,,1.0,3.0,8.0,1.0,1.0,4.0,2.0,,2.0,,2.0,2.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,
10878413,home,Manchester City,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180,50691,M,IGunny,45853,EUR,656726400,M,8,8,False,57.0,50.0,3.0,3.0,18.0,21.0,32.0,36.0,,6.0,,,88.0,69.0,7.5,9.0,1.0,3,,,,1.0,5.0,,2.0,2.0,2.0,2.0,,1.0,,2.0,,,1.0,,1.0,,,,1.0,1.0,,True,2.0,,,,,,
10878413,home,Manchester City,Riyad Mahrez,riyad-mahrez,R. Mahrez,M,7,179,70718,M,RMahrez,158213,EUR,667094400,F,26,26,False,29.0,21.0,2.0,2.0,8.0,9.0,13.0,22.0,,2.0,,,90.0,49.0,7.3,19.0,2.0,2,,,,4.0,2.0,2.0,1.0,,,5.0,2.0,,,,,2.0,2.0,,1.0,1.0,,,,,1.0,,,,,,,,
10878413,home,Manchester City,Erling Haaland,erling-haaland,E. Haaland,F,9,194,849024,M,EHaaland,839956,EUR,964137600,F,9,9,False,9.0,8.0,,,5.0,5.0,3.0,4.0,,1.0,,,73.0,15.0,7.0,3.0,1.0,2,,,1.0,3.0,2.0,,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,
