match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,player_firstName,stat_shotOffTarget,stat_outfielderBlock,stat_fouls,stat_expectedGoals,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_totalOffside,captain,stat_interceptionWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,player_lastName,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,stat_errorLeadToAShot,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11368704,home,Barcelona,Marc-André Ter Stegen,marc-andre-ter-stegen,M. ter Stegen,G,22,187,119658,M,terStegen,88625,EUR,704592000,G,1,1,False,26.0,23.0,7.0,4.0,21.0,21.0,2.0,5.0,3.0,90.0,29.0,6.8,3.0,0.00040312,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368704,home,Barcelona,Jules Koundé,jules-kounde,J. Koundé,D,23,180,147044,M,JKoundé,827212,EUR,910828800,D,23,23,False,98.0,88.0,4.0,1.0,29.0,32.0,59.0,66.0,9.0,90.0,122.0,7.8,12.0,0.65601,0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368704,home,Barcelona,Pau Cubarsí,pau-cubarsi,P. Cubarsí,D,5,184,156448,M,PauCubarsí,1402913,EUR,1169424000,D,33,33,False,91.0,87.0,3.0,3.0,39.0,42.0,48.0,49.0,7.0,90.0,103.0,7.7,6.0,0.0284869,1,2.0,1.0,5.0,2.0,1.0,,,5.0,1.0,1.0,1.0,1.0,Pau Cubarsí,1.0,2.0,3.0,0.0242,,,,,,,,,,,,,,,,,,,,,,,
11368704,home,Barcelona,Iñigo Martínez,inigo-martinez,I. Martínez,D,26,181,62317,M,IñigoMartínez,173883,EUR,674438400,D,5,5,False,107.0,97.0,10.0,5.0,27.0,28.0,70.0,79.0,3.0,90.0,110.0,7.4,10.0,0.0553722,0,,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
11368704,home,Barcelona,João Cancelo,joao-cancelo,J. Cancelo,D,2,182,90478,M,JCancelo,138892,EUR,769996800,D,2,2,False,73.0,63.0,5.0,3.0,13.0,15.0,51.0,62.0,3.0,90.0,101.0,7.6,19.0,0.319076,2,,,5.0,5.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,,2.0,,1.0,0.0345,1.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11368704,home,Barcelona,Fermín López,fermin-lopez,F. López,M,16,176,179218,M,FermínLópez,1153270,EUR,1052611200,M,16,16,False,20.0,16.0,1.0,,6.0,6.0,10.0,15.0,5.0,56.0,33.0,6.8,10.0,0.0078848,2,2.0,,6.0,3.0,1.0,1.0,,,3.0,2.0,1.0,,Fermín López,2.0,,1.0,0.134,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
11368704,home,Barcelona,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180,51151,M,IGunny,45853,EUR,656726400,M,22,22,False,67.0,61.0,2.0,2.0,17.0,18.0,44.0,51.0,5.0,90.0,86.0,7.3,14.0,0.0768019,0,,,7.0,8.0,2.0,5.0,,,2.0,2.0,1.0,2.0,,,1.0,1.0,,3.0,2.0,,2.0,3.0,,,,,,,,,,,,,,,,,,
11368704,home,Barcelona,Sergi Roberto,sergi-roberto,S. Roberto,M,8,178,10482,M,sergiroberto,123976,EUR,697420800,M,20,20,False,80.0,75.0,2.0,1.0,21.0,22.0,54.0,58.0,5.0,81.0,94.0,6.8,10.0,0.0431776,0,1.0,1.0,6.0,5.0,1.0,1.0,,,3.0,1.0,2.0,,,,,2.0,,,,,2.0,1.0,,True,1.0,,,,,,,,,,,,,,,
11368704,home,Barcelona,Lamine Yamal,lamine-yamal,L. Yamal,M,10,180,1693852,M,Lamiyamal,1402912,EUR,1184284800,F,27,27,False,34.0,27.0,,,6.0,6.0,21.0,31.0,3.0,71.0,56.0,6.3,19.0,0.0172552,0,,,9.0,3.0,1.0,5.0,,,2.0,1.0,1.0,,,,,,,1.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,
11368704,home,Barcelona,Robert Lewandowski,robert-lewandowski,R. Lewandowski,F,9,186,575097,M,Lewa,41789,EUR,588124800,F,9,9,False,18.0,14.0,1.0,1.0,2.0,3.0,12.0,16.0,3.0,81.0,28.0,6.9,6.0,0.0523264,3,,,1.0,2.0,,1.0,,,,,,,,2.0,,,0.3352,2.0,1.0,,,,3.0,,2.0,1.0,1.0,1.0,0.1179,,,,,,,,,,,
