match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_fouls,stat_keyPass,stat_goalAssist,stat_aerialLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_blockedScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_dispossessed,stat_bigChanceMissed,stat_wasFouled,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_goodHighClaim,stat_errorLeadToAShot
10385610,home,Newcastle United,Nick Pope,,,nick-pope,N. Pope,G,1,198,4628,M,npope29,162653,EUR,703641600,G,22,22,False,14.0,7.0,12.0,5.0,3.0,3.0,4.0,11.0,9.0,2.0,2.0,1.0,1.0,90.0,23.0,6.6,7.0,0.0,0.0,0.00026177,0,0.0672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385610,home,Newcastle United,Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8369,M,ktrippier2,69256,EUR,653702400,D,2,2,False,51.0,44.0,4.0,3.0,15.0,15.0,33.0,46.0,3.0,,,,,70.0,68.0,7.3,14.0,0.0,0.0,0.391647,0,,True,10.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,
10385610,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3172,M,,101882,EUR,693187200,D,5,5,False,40.0,31.0,7.0,6.0,18.0,23.0,13.0,17.0,5.0,,,,,74.0,47.0,8.2,9.0,0.0324,0.0,0.188459,1,,,,,4.0,2.0,8.0,1.0,,,1.0,,,2.0,2.0,1.0,1.0,1.0,4.0,4.0,,,,,,,,,,,
10385610,home,Newcastle United,Sven Botman,,,sven-botman,S. Botman,D,4,193,3377,M,,910046,EUR,947635200,D,4,4,False,49.0,47.0,1.0,,31.0,33.0,16.0,16.0,4.0,,,,,90.0,56.0,6.8,3.0,0.0243,0.0,0.00464231,1,,,,,2.0,,2.0,,,,,1.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,
10385610,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201,4473,M,,99090,EUR,705369600,D,33,33,False,50.0,40.0,6.0,1.0,20.0,21.0,20.0,30.0,4.0,,,,,90.0,81.0,6.8,16.0,0.1795,0.0,0.0234342,2,,,1.0,,,5.0,6.0,,2.0,1.0,,3.0,2.0,,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,
10385610,home,Newcastle United,Sean Longstaff,,,sean-longstaff,S. Longstaff,M,8,187,1652,M,,866191,EUR,878169600,M,36,36,False,35.0,34.0,1.0,1.0,18.0,18.0,16.0,17.0,3.0,,,,,90.0,47.0,6.9,5.0,0.2743,0.0,0.018842,3,,,,,,3.0,2.0,,1.0,,1.0,,,2.0,1.0,1.0,,,1.0,,3.0,,2.0,1.0,,1.0,1.0,,,,
10385610,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31550,M,BrunoGuimarães,866469,EUR,879638400,M,39,39,False,68.0,61.0,10.0,9.0,16.0,18.0,46.0,53.0,14.0,,,,,70.0,81.0,7.7,12.0,0.0,0.0,0.362077,0,,,3.0,1.0,,3.0,6.0,,1.0,1.0,,,,4.0,,1.0,,,2.0,1.0,,,1.0,2.0,,3.0,,,,,
10385610,home,Newcastle United,Joe Willock,,,joe-willock,J. Willock,M,28,186,2651,M,,888550,EUR,935107200,M,28,28,False,48.0,42.0,2.0,1.0,14.0,14.0,28.0,34.0,2.0,,,,,90.0,62.0,7.2,10.0,0.3887,0.0,0.270409,3,,,,,1.0,6.0,6.0,2.0,5.0,3.0,2.0,,1.0,3.0,1.0,,1.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,,,,,
10385610,home,Newcastle United,Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176,3564,M,,372336,EUR,793584000,F,23,23,False,21.0,14.0,1.0,1.0,1.0,3.0,14.0,21.0,4.0,,,,,66.0,35.0,8.6,11.0,0.3596,1.132,0.0811362,3,,,3.0,1.0,,2.0,3.0,1.0,2.0,1.0,,,,1.0,,,1.0,1.0,,,,,1.0,,,2.0,1.0,2.0,2.0,,
10385610,home,Newcastle United,Alexander Isak,,,alexander-isak,A. Isak,F,9,193,100485,M,AlexIsak,823941,EUR,937872000,F,14,14,False,17.0,14.0,3.0,3.0,2.0,2.0,12.0,15.0,2.0,,,,,66.0,29.0,8.5,7.0,0.683,1.16,0.0191669,4,,,,,,3.0,2.0,,3.0,2.0,,,1.0,,,,1.0,,,,1.0,,2.0,1.0,,,,2.0,2.0,,
