match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_goalAssist,stat_dispossessed,stat_penaltyConceded,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,captain,player_sofascoreId,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyWon
11407490,home,Lecce,Wladimiro Falcone,,,wladimiro-falcone,W. Falcone,G,30,195,839,M,256667,EUR,797644800,G,30,30,False,28.0,10.0,23.0,5.0,8.0,9.0,2.0,19.0,1.0,1.0,1.0,7.0,3.0,1.0,4.0,1.0,90.0,36.0,7.2,18.0,0.00071539,0,0.4016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407490,home,Lecce,Valentin Gendrey,,,valentin-gendrey,V. Gendrey,D,15,179,294,M,944899,EUR,961545600,D,17,17,False,23.0,17.0,6.0,3.0,11.0,13.0,6.0,14.0,4.0,10.0,4.0,3.0,,,,,90.0,48.0,7.1,12.0,0.0269536,1,,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0641,,,,,,,,,,,,,,,,,,,
11407490,home,Lecce,Marin Pongračić,,,marin-pongracic,M. Pongračić,D,5,193,2505,M,847467,EUR,873936000,D,5,5,False,41.0,36.0,9.0,8.0,22.0,25.0,14.0,16.0,2.0,6.0,3.0,5.0,,,,,90.0,55.0,7.4,6.0,0.023434,1,,,,1.0,,,,,1.0,4.0,3.0,1.0,0.0386,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11407490,home,Lecce,Federico Baschirotto,,,federico-baschirotto,F. Baschirotto,D,6,187,1366,M,786175,EUR,843177600,D,6,6,False,41.0,32.0,9.0,3.0,22.0,23.0,10.0,18.0,,1.0,2.0,7.0,,,,,90.0,49.0,6.9,9.0,0.00216928,0,,,3.0,3.0,,,,,3.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,
11407490,home,Lecce,Antonino Gallo,,,antonino-gallo,A. Gallo,D,25,183,673,M,945616,EUR,947030400,D,25,25,False,29.0,19.0,8.0,3.0,7.0,11.0,12.0,19.0,,4.0,,7.0,,,,,90.0,44.0,6.6,15.0,0.0159714,1,,1.0,,6.0,4.0,,,1.0,,2.0,2.0,2.0,0.0169,,,,2.0,,1.0,2.0,,,,,,,,,,,,
11407490,home,Lecce,Alexis Blin,,,alexis-blin,A. Blin,M,28,184,149,M,318657,EUR,842832000,M,29,29,False,24.0,20.0,1.0,,7.0,7.0,13.0,18.0,1.0,4.0,3.0,6.0,,,,,75.0,42.0,6.5,10.0,0.00443316,0,,1.0,,6.0,2.0,2.0,,,3.0,2.0,2.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,
11407490,home,Lecce,Ylber Ramadani,,,ylber-ramadani,Y. Ramadani,M,20,185,1041,M,841977,EUR,829267200,M,20,20,False,26.0,18.0,8.0,6.0,12.0,13.0,7.0,14.0,2.0,6.0,1.0,5.0,,,,,90.0,43.0,7.2,11.0,0.0465543,2,,1.0,1.0,7.0,2.0,2.0,,,1.0,3.0,,1.0,0.0322,,,1.0,,,,1.0,,1.0,2.0,1.0,0.1473,,,,,,,
11407490,home,Lecce,Rémi Oudin,,,remi-oudin,R. Oudin,M,28,185,292,M,842709,EUR,848275200,M,10,10,False,26.0,18.0,3.0,2.0,6.0,7.0,14.0,25.0,1.0,5.0,,4.0,,,,,83.0,46.0,7.1,15.0,0.133412,1,,6.0,,2.0,,2.0,2.0,,,2.0,,,0.0401,1.0,,,4.0,,,2.0,,2.0,,,,1.0,,,,,,
11407490,home,Lecce,Gabriel Strefezza,,,gabriel-strefezza,G. Strefezza,M,7,168,2181,M,877201,EUR,861321600,F,27,27,False,17.0,14.0,3.0,2.0,2.0,4.0,13.0,14.0,1.0,4.0,,4.0,,,,,76.0,30.0,7.2,4.0,0.0445644,2,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0475,,,1.0,1.0,,,,,1.0,1.0,,0.0508,,True,,,,,
11407490,home,Lecce,Roberto Piccoli,,,roberto-piccoli,R. Piccoli,F,91,190,1557,M,958982,EUR,980553600,F,91,91,False,16.0,10.0,,,1.0,1.0,9.0,16.0,2.0,5.0,,6.0,,,,,89.0,33.0,7.6,13.0,0.0247356,4,,1.0,8.0,12.0,,3.0,2.0,2.0,,,,1.0,0.1761,,3.0,2.0,1.0,,,2.0,,,2.0,1.0,0.1251,3.0,,,,,,
