match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,captain,stat_wasFouled,player_sofascoreId,stat_blockedScoringAttempt,stat_expectedGoals,stat_accurateCross,stat_goalAssist,stat_bigChanceCreated,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded
11368686,home,Granada,Augusto Batalla,augusto-batalla,A. Batalla,G,13,186,1488,M,358910,EUR,830822400,G,25,25,False,43.0,28.0,32.0,17.0,12.0,14.0,16.0,29.0,4.0,16.0,2.0,2.0,3.0,90.0,56.0,7.8,15.0,0.0101112,0,0.4828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368686,home,Granada,Bruno Méndez,bruno-mendez,Bruno Méndez,D,4,184,752,M,923000,EUR,936921600,D,2,2,False,23.0,14.0,10.0,4.0,7.0,9.0,7.0,15.0,1.0,3.0,,,,90.0,46.0,7.2,15.0,0.0110921,0,,,,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11368686,home,Granada,Miguel Rubio,miguel-rubio,M. Rubio,D,15,191,184,M,934351,EUR,889574400,D,4,4,False,27.0,18.0,4.0,,17.0,22.0,1.0,5.0,2.0,2.0,,,,90.0,38.0,7.1,9.0,0.00039758,0,,,,,3.0,2.0,4.0,2.0,,,,2.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11368686,home,Granada,Ignasi Miquel,ignasi-miquel,I. Miquel,D,5,189,102,M,144606,EUR,717638400,D,14,14,False,36.0,23.0,13.0,3.0,17.0,20.0,6.0,16.0,2.0,2.0,,,,90.0,45.0,6.4,15.0,0.0052417,0,,,,,7.0,1.0,10.0,2.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11368686,home,Granada,Carlos Neva,neva-carlos,C. Neva,D,21,174,128,M,914178,EUR,834537600,D,15,15,False,15.0,9.0,3.0,1.0,5.0,7.0,4.0,10.0,1.0,1.0,,,,90.0,34.0,6.8,14.0,0.00452878,0,,,,2.0,,,1.0,2.0,,,,,1.0,1.0,,,1.0,,True,1.0,,,,,,,,,,,,,,,,,,,
11368686,home,Granada,Facundo Pellistri,facundo-pellistri,F. Pellistri,M,28,174,7659,M,989803,EUR,1008806400,M,19,19,False,9.0,5.0,1.0,,1.0,3.0,4.0,7.0,1.0,3.0,,,,90.0,27.0,7.0,7.0,0.0174682,1,,,,1.0,3.0,2.0,10.0,8.0,4.0,1.0,1.0,,1.0,2.0,2.0,2.0,3.0,,,3.0,facupellistri,1.0,0.0808,,,,,,,,,,,,,,,,
11368686,home,Granada,Gerard Gumbau,gerard-gumbau,G. Gumbau,M,15,187,380,M,326471,EUR,787708800,M,23,23,False,30.0,20.0,6.0,,9.0,13.0,12.0,20.0,2.0,5.0,,,,83.0,46.0,6.3,14.0,0.0369298,1,,,,3.0,1.0,2.0,8.0,5.0,2.0,3.0,1.0,,2.0,1.0,1.0,,3.0,,,1.0,,1.0,0.0265,1.0,,,,,,,,,,,,,,,
11368686,home,Granada,Sergio Ruiz Alonso,sergio-ruiz-alonso,S. R. Alonso,M,20,171,83,M,857227,EUR,787536000,M,20,20,False,36.0,30.0,6.0,3.0,16.0,16.0,15.0,21.0,3.0,8.0,,,,90.0,59.0,8.0,9.0,0.339462,1,,,,1.0,1.0,1.0,3.0,9.0,,2.0,1.0,,2.0,5.0,3.0,2.0,1.0,,,2.0,,1.0,0.0542,1.0,1.0,1.0,2.0,,,,,,,,,,,,
11368686,home,Granada,Kamil Jóźwiak,kamil-jozwiak,K. Jóźwiak,M,72,176,2028,M,814820,EUR,893203200,M,18,18,False,13.0,12.0,,,3.0,3.0,9.0,10.0,,1.0,,,,64.0,27.0,7.2,6.0,0.0657249,0,,,,,1.0,2.0,6.0,8.0,1.0,1.0,1.0,,,4.0,2.0,3.0,2.0,2.0,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,
11368686,home,Granada,Lucas Boyé,lucas-boye,L. Boyé,F,15,183,1345,M,814385,EUR,825465600,F,7,7,False,23.0,16.0,,,5.0,5.0,11.0,18.0,3.0,8.0,,,,83.0,55.0,7.8,20.0,0.00725769,3,,,,,2.0,6.0,8.0,12.0,1.0,5.0,3.0,,1.0,2.0,2.0,8.0,1.0,2.0,,1.0,,,0.4141,,,,,1.0,2.0,1.0,1.0,1.0,0.5512,,,,,,
