match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_totalClearance,stat_errorLeadToAShot,stat_fouls,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,captain,stat_blockedScoringAttempt,stat_totalOffside,stat_hitWoodwork,player_sofascoreId,stat_bigChanceMissed,stat_goalAssist,stat_bigChanceCreated,stat_goals
10390062,home,Ajaccio,Benjamin Leroy,,,benjamin-leroy,B. Leroy,G,16,184,45,M,80392,EUR,607910400,G,1,1,False,26.0,10.0,21.0,5.0,6.0,10.0,4.0,16.0,9.0,1.0,2.0,2.0,90.0,31.0,6.5,16.0,0.0,0.0,0.00103883,0,-0.4868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390062,home,Ajaccio,Mohamed Youssouf,,,mohamed-youssouf,M. Youssouf,D,20,168,49,M,38081,EUR,575337600,D,20,20,False,37.0,27.0,7.0,2.0,13.0,17.0,15.0,24.0,9.0,,,,90.0,67.0,7.3,17.0,0.0,0.0,0.123642,0,,4.0,1.0,2.0,1.0,3.0,6.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10390062,home,Ajaccio,Cedric Avinel,,,cedric-avinel,C. Avinel,D,,183,14,M,23568,EUR,526780800,D,21,21,False,23.0,21.0,2.0,1.0,17.0,17.0,4.0,6.0,6.0,,,,90.0,31.0,6.4,3.0,0.0,0.0,0.00118816,0,,,,1.0,,2.0,,,,2.0,,,1.0,,,4.0,1.0,1.0,,,,,,,,,,,,,,
10390062,home,Ajaccio,Clement Vidal,,,clement-vidal,C. Vidal,D,5,181,43,M,940993,EUR,961286400,D,15,15,False,36.0,27.0,9.0,4.0,21.0,24.0,6.0,12.0,3.0,,,,90.0,44.0,6.6,9.0,0.0,0.0,0.00801857,0,,,,,2.0,1.0,4.0,,,1.0,,,,2.0,,2.0,,,1.0,,,,,,,,,,,,,
10390062,home,Ajaccio,Ismaël Diallo,,,ismael-diallo,I. Diallo,D,5,177,979,M,359208,EUR,854496000,D,3,3,False,33.0,28.0,2.0,2.0,18.0,21.0,11.0,13.0,6.0,,,,81.0,59.0,6.6,13.0,0.0,0.0,0.014071,0,,1.0,1.0,,1.0,4.0,4.0,,,,2.0,1.0,1.0,1.0,,2.0,,2.0,,2.0,,,,,,,,,,,,
10390062,home,Ajaccio,Cyrille Bayala,,,cyrille-bayala,C. Bayala,F,,181,606,M,785876,EUR,832896000,M,14,14,False,32.0,15.0,7.0,1.0,5.0,11.0,10.0,26.0,7.0,,,,90.0,58.0,7.0,29.0,0.4158,0.0638,0.010685,3,,5.0,,8.0,5.0,12.0,10.0,1.0,,,3.0,3.0,4.0,1.0,1.0,,,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,
10390062,home,Ajaccio,Vincent Marchetti,,,vincent-marchetti,V. Marchetti,M,4,181,112,M,795508,EUR,867974400,M,8,8,False,42.0,33.0,7.0,2.0,17.0,18.0,16.0,25.0,11.0,,,,90.0,63.0,6.7,16.0,0.0408,0.0,0.0217806,1,,1.0,,,,8.0,6.0,2.0,1.0,,3.0,2.0,2.0,,,2.0,,2.0,3.0,4.0,3.0,1.0,,,,,,,,,,
10390062,home,Ajaccio,Mathieu Coutadeur,,,mathieu-coutadeur,M. Coutadeur,M,,170,9,M,16655,EUR,511660800,M,6,6,False,56.0,49.0,10.0,7.0,22.0,24.0,27.0,32.0,7.0,,,,81.0,65.0,7.0,10.0,0.0,0.0,0.358897,0,,,,,,3.0,3.0,1.0,,,2.0,1.0,1.0,,3.0,,,,2.0,1.0,1.0,,,True,,,,,,,,
10390062,home,Ajaccio,Kevin Spadanuda,,,spadanuda-kevin,K. Spadanuda,M,7,177,69,M,993155,EUR,853372800,M,27,27,False,9.0,7.0,1.0,,2.0,2.0,5.0,7.0,4.0,,,,30.0,14.0,6.7,4.0,0.0,0.0,0.00189518,0,,,,,,1.0,3.0,,,,,,2.0,,,,,,1.0,3.0,3.0,,,,,,,,,,,
10390062,home,Ajaccio,Yoann Touzghar,,,yoann-touzghar,Y. Touzghar,F,,179,154,M,128333,EUR,533606400,F,9,9,False,23.0,17.0,,,9.0,10.0,8.0,13.0,2.0,,,,74.0,32.0,6.7,7.0,0.1231,0.0,0.019257,1,,,,3.0,1.0,4.0,4.0,,,,1.0,1.0,1.0,2.0,,,,1.0,,,,,,,1.0,1.0,,,,,,
